"Company: ","Hewlett Packard Enterprise Co (HPE:US)","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","",""
"Last Close Price: ","21.12","","","","","","","","","","","",""
"Industry: ","Technology Hardware, Storage & Peripherals","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","",""
"Market Cap.: ","27117","","","","","","","","","","","",""
"Enterprise Value: ","31931","","","","","","","","","","","",""
"period_end_date","2012-10","2013-10","2014-10","2015-10","2016-10","2017-10","2018-10","2019-10","2020-10","2021-10","2022-10","2023-10","TTM"
"revenue","61042","57371","55123","31077","30280","28871","30852","29135","26982","27784","28496","29135","28312"
"cogs","44143","41630","39486","21013","20507","20202","21621","19642","18513","18408","18990","18896","18410"
"gross_profit","16899","15741","15637","10064","9773","8669","9231","9493","8469","9376","9506","10239","9902"
"sga","8678","8601","8717","5142","5380","5012","4921","4907","4624","4929","4941","5160","5065"
"rnd","2120","1956","2197","1676","1714","1490","1667","1842","1874","1979","2045","2349","2328"
"special_charges","","","","","","","","","","","","",""
"other_opex","1641","1228","906","229","272","321","294","267","379","354","293","288","282"
"total_opex","12439","11785","11820","7047","7366","6823","6882","7016","6877","7262","7279","7797","7675"
"operating_income","4460","3956","3817","3017","2407","1846","2349","2477","1592","2114","2227","2442","2227"
"net_interest_income_normal","-175","-81","-91","-9","-284","-327","-274","-177","-215","-211","-188","-156","-187"
"other_nonoperating_income","-18599","-1004","-1482","-1073","1737","-1247","-1807","-747","-1819","1684","-1163","-56","-27"
"pretax_income","-14314","2871","2244","1935","3860","272","268","1553","-442","3587","876","2230","2013"
"income_tax","-447","-820","-596","705","-623","164","1744","-504","120","-160","-8","-205","-206"
"net_income_continuing","-14761","2051","1648","2640","3237","436","2012","1049","-322","3427","868","2025","1807"
"net_income_discontinued","","","","-179","-76","-92","-104","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","",""
"other_income_statement_items","","","","","","","","","","","","",""
"net_income","-14761","2051","1648","2461","3161","344","1908","1049","-322","3427","868","2025","1807"
"preferred_dividends","","","","","","","","","","","","",""
"net_income_available_to_shareholders","-14761","2051","1648","2461","3161","344","1908","1049","-322","3427","868","2025","1807"
"eps_basic","-8.029999999999999","1.14","0.92","1.36","1.84","0.21","1.25","0.78","-0.25","2.62","0.67","1.56","1.4"
"eps_diluted","-8.029999999999999","1.12","0.9","1.34","1.82","0.21","1.23","0.77","-0.25","2.58","0.66","1.54","1.37"
"shares_basic","1839","1801","1801","1804","1715","1646","1529","1353","1294","1309","1303","1299","1299"
"shares_diluted","1869","1826","1826","1834","1739","1674","1553","1366","1294","1330","1322","1316","1316"
"cash_and_equiv","","2182","2319","9842","12987","9579","4880","3753","4233","3996","4163","4270","4270"
"st_investments","","","","","","","","","","","","",""
"receivables","","14571","13339","14986","8259","8455","8942","6529","7180","7911","7623","7024","7024"
"inventories","","2078","1884","2198","1720","2315","2447","2387","2674","4511","5161","4607","4607"
"other_current_assets","","5548","4489","2938","5951","1095","1003","2474","2469","2460","3559","3047","3047"
"total_current_assets","","24379","22031","29964","28917","21444","17272","15143","16556","18878","20506","18948","18948"
"equity_and_other_investments","","","","","2648","2535","2398","2254","2170","2210","2160","2197","2197"
"ppe_gross","","17062","16960","21424","12897","11877","11816","11901","12529","12446","12160","12949","12949"
"accumulated_depreciation","","-8552","-8440","-11538","-6522","-5608","-5678","-5847","-5974","-5949","-5522","-5980","-5980"
"ppe_net","","8510","8520","9886","6375","6269","6138","6054","6555","6497","6638","6969","6969"
"intangible_assets","","2937","2057","1930","675","1042","789","1128","1103","1022","733","654","654"
"goodwill","","25945","25960","27261","16090","17516","17537","18306","18017","18306","17403","17988","17988"
"other_lt_assets","","7004","6503","10875","24924","12600","11359","8918","9614","10786","9683","10397","10397"
"total_assets","","68775","65071","79916","79629","61406","55493","51803","54015","57699","57123","57153","57153"
"accounts_payable","","4335","4889","5828","4945","6072","6092","5595","5383","7004","8717","7136","7136"
"tax_payable","","2336","2050","1840","962","1358","1388","992","990","951","1078","941","941"
"current_accrued_liabilities","","4568","4061","5578","3172","3360","3124","3391","3601","3629","3239","3154","3154"
"st_debt","","1058","894","691","3525","3850","2005","4425","3755","3552","4612","4868","4868"
"current_deferred_revenue","","5528","5129","5154","2996","3128","3177","3234","3430","3408","3451","3658","3658"
"current_deferred_tax_liability","","","","","","","","","","","","",""
"other_current_liabilities","","3087","2737","2902","6929","1156","1412","1522","1391","1951","1909","1931","1931"
"total_current_liabilities","","20912","19760","21993","22529","18924","17198","19159","18738","20687","23174","21882","21882"
"lt_debt","","617","485","15103","12168","10182","10136","9395","12186","9896","7853","7487","7487"
"noncurrent_capital_leases","","","","","","","","","898","938","851","966","966"
