"Company: ","Hologic Inc (HOLX:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","71.65000000000001","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Health Care Equipment & Supplies","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","16915","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","17249","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-09","2001-09","2002-09","2003-09","2004-09","2005-09","2006-09","2007-09","2008-09","2009-09","2010-09","2011-09","2012-09","2013-09","2014-09","2015-09","2016-09","2017-09","2018-09","2019-09","2020-09","2021-09","2022-09","2023-09","TTM"
"revenue","94.337","180.196","190.192","204.035","228.705","287.684","462.68","738.3680000000001","1674.499","1637.134","1679.552","1789.349","2002.6","2492.3","2530.7","2705","2832.7","3058.8","3217.9","3367.3","3776.4","5632.3","4862.8","4030.4","3960.6"
"cogs","65.45399999999999","119.446","118.376","130.455","143.336","174.659","269.148","392.801","781.981","779.648","942.914","866.168","1008.2","1330.9","1285.2","1272.3","1269.4","1437.8","1521.2","2196.4","1548.9","1836.5","1865.4","1958.9","1983"
"gross_profit","28.883","60.75","71.816","73.58","85.369","113.025","193.532","345.567","892.518","857.486","736.638","923.181","994.4","1161.4","1245.5","1432.7","1563.3","1621","1696.7","1170.9","2227.5","3795.8","2997.4","2071.5","1977.6"
"sga","39.064","54.71","47.227","52.174","56.124","61.777","98.461","147.747","408.929","379.677","395.714","446.293","542.8","569.8","591.5","624","682.4","841.9","910.7","897.2","840.3","994.4","1038","987.6","977.7"
"rnd","17.178","23.328","20.362","18.381","16.659","18.617","28.294","44.484","81.42100000000001","102.453","104.305","116.696","131","197.6","203.2","214.9","232.1","232.8","218.7","232.2","222.5","276.3","283.4","294.3","286.9"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","","-3.462","5.584","25.227","51.21","54.858","58.334","72","112.6","113.8","110.2","89.7","62.5","59.3","52","39.7","42.2","45.2","28.1","32.3"
