"Company: ","Home Depot Inc (HD:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","338.32","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Specialty Retail","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","334203","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","371999","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2001-01","2002-01","2003-01","2004-01","2005-01","2006-01","2007-01","2008-01","2009-01","2010-01","2011-01","2012-01","2013-01","2014-01","2015-01","2016-01","2017-01","2018-01","2019-01","2020-01","2021-01","2022-01","2023-01","2024-01","TTM"
"revenue","45738","53553","58247","64816","73094","77019","79022","77349","71288","66176","67997","70395","74754","78812","83176","88519","94595","100904","108203","110225","132110","151157","157403","152669","151830"
"cogs","32057","37406","40139","44236","48664","51081","52476","51352","47298","43764","44693","46133","48912","51897","54787","58254","62282","66548","71043","72653","87257","100325","104625","101709","100994"
"gross_profit","13681","16147","18108","20580","24430","25938","26546","25997","23990","22412","23304","24262","25842","26915","28389","30265","32313","34356","37160","37572","44853","50832","52778","50960","50836"
"sga","9490","11215","12278","13734","16504","15480","16106","17053","17846","15902","15849","16028","16508","16122","16280","16801","17132","17864","19513","19740","24447","25406","26284","26598","26910"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","1411","1574","1702","1785","1707","1616","1573","1568","1627","1640","1690","1754","1811","1870","1989","2128","2386","2455","2673","2709"
"total_opex","9490","11215","12278","13734","16504","16891","17680","18755","19631","17609","17465","17601","18076","17749","17920","18491","18886","19675","21383","21729","26575","27792","28739","29271","29619"
"operating_income","4191","4932","5830","6846","7926","9047","8866","7242","4359","4803","5839","6661","7766","9166","10469","11774","13427","14681","15777","15843","18278","23040","24039","21689","21217"
"net_interest_income_normal","","","","","","","","-622","-606","-658","-515","-593","-612","-699","-493","-753","-936","-983","-958","-1128","-1300","-1303","-1562","-1765","-1752"
"other_nonoperating_income","26","25","42","-3","-14","-80","-364","","-163","-163","-51","","67","","","","","","-263","","","","","",""
"pretax_income","4217","4957","5872","6843","7912","8967","8502","6620","3590","3982","5273","6068","7221","8467","9976","11021","12491","13698","14556","14715","16978","21737","22477","19924","19465"
"income_tax","-1636","-1913","-2208","-2539","-2911","-3326","-3236","-2410","-1278","-1362","-1935","-2185","-2686","-3082","-3631","-4012","-4534","-5068","-3435","-3473","-4112","-5304","-5372","-4781","-4595"
"net_income_continuing","2581","3044","3664","4304","5001","5641","5266","4210","2312","2620","3338","3883","4535","5385","6345","7009","7957","8630","11121","11242","12866","16433","17105","15143","14870"
"net_income_discontinued","","","","","","197","495","185","-52","41","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income","2581","3044","3664","4304","5001","5838","5761","4395","2260","2661","3338","3883","4535","5385","6345","7009","7957","8630","11121","11242","12866","16433","17105","15143","14870"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","2581","3044","3664","4304","5001","5838","5761","4395","2260","2661","3338","3883","4535","5385","6345","7009","7957","8630","11121","11242","12866","16433","17105","15143","14870"
"eps_basic","1.11","1.3","1.57","1.88","2.27","2.73","2.8","2.38","1.34","1.58","2.03","2.49","3.03","3.78","4.74","5.49","6.47","7.33","9.779999999999999","10.29","11.98","15.59","16.74","15.16","14.96"
"eps_diluted","1.1","1.29","1.56","1.88","2.26","2.72","2.79","2.37","1.34","1.57","2.01","2.47","3","3.76","4.71","5.46","6.45","7.29","9.73","10.25","11.94","15.53","16.69","15.11","14.91"
"shares_basic","2315","2335","2336","2283","2207","2138","2054","1849","1682","1683","1648","1562","1499","1425","1338","1277","1229","1178","1137","1093","1074","1054","1022","999","999"
"shares_diluted","2352","2353","2344","2289","2216","2147","2062","1856","1686","1692","1658","1570","1511","1434","1346","1283","1234","1184","1143","1097","1078","1058","1025","1002","1002"
"cash_and_equiv","167","2477","2188","1103","506","793","600","445","519","1421","545","1987","2494","1929","1723","2216","2538","3595","1778","2133","7895","2343","2757","3760","3760"
"st_investments","10","69","65","1749","1659","14","14","12","6","","","","","","","","","","","","","","","",""
