"Company: ","Honeywell International Inc (HON:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","214.45","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Industrial Conglomerates","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","140584","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","150762","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","25023","23652","22274","23103","25593","27653","31367","34589","36556","30908","32350","36529","37665","39055","40306","38581","39302","40534","41802","36709","32637","34392","35466","36662","36903"
"cogs","19090","20429","17615","18235","20752","21524","24096","26300","27994","24012","24721","28556","28291","28364","28957","26747","27677","28144","29046","24339","22169","22061","22347","22995","23080"
"gross_profit","5933","3223","4659","4868","4841","6129","7271","8289","8562","6896","7629","7973","9374","10691","11349","11834","11625","12390","12756","12370","10468","12331","13119","13667","13823"
"sga","3134","3064","2757","2950","3316","3707","4210","4565","5033","4443","4618","5399","5218","5190","5518","5006","5574","6087","6051","5519","4772","4798","5214","5127","5112"
"rnd","","","","","","","","","","","","","","","","","","","","","","1333","1478","1456","1459"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","3134","3064","2757","2950","3316","3707","4210","4565","5033","4443","4618","5399","5218","5190","5518","5006","5574","6087","6051","5519","4772","6131","6692","6583","6571"
"operating_income","2799","159","1902","1918","1525","2422","3061","3724","3529","2453","3011","2574","4156","5501","5831","6828","6051","6303","6705","6851","5696","6200","6427","7084","7252"
"net_interest_income_normal","","","","","","","","","-354","-459","-347","-318","-293","-258","-216","-206","-232","-165","-150","-102","-252","-241","-276","-444","-465"
"other_nonoperating_income","-401","-581","-2847","-278","98","-126","-263","-403","646","55","58","26","12","169","203","-36","633","812","932","810","568","1276","228","519","461"
"pretax_income","2398","-422","-945","1640","1623","2296","2798","3321","3821","2049","2722","2282","3875","5412","5818","6586","6452","6950","7487","7559","6012","7235","6379","7159","7248"
"income_tax","-739","323","725","-296","-377","-732","-720","-877","-1009","-465","-765","-417","-944","-1450","-1489","-1739","-1603","-5362","-659","-1329","-1147","-1625","-1412","-1487","-1509"
"net_income_continuing","1659","-99","-220","1344","1246","1564","2078","2444","2812","1584","1957","1865","2931","3962","4329","4847","4849","1588","6828","6230","4865","5610","4967","5672","5739"
"net_income_discontinued","","","","","","95","5","","","","78","209","","","","","","","","","","","","",""
