"Company: ","Hubbell Inc (HUBB:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","378.04","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Electrical Equipment","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","20441","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","21936","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","1424.1","1312.2","1587.8","1770.7","1993","2104.9","2414.3","2533.9","2704.4","2355.6","2541.2","2871.6","3044.4","3183.9","3359.4","3390.4","3505.2","3668.8","4481.7","3946.6","3682.5","4194.1","4947.9","5372.9","5486.6"
"cogs","1000.1","998.2","1178.7","1289.2","1431.1","1509.9","1757.5","1798.1","1901","1629.7","1712.5","1947.9","2032.2","2113.4","2250.4","2298.6","2400.1","2513.7","3181.3","2775","2596.7","3042.6","3476.3","3484.8","3599.1"
"gross_profit","424","314","409.1","481.5","561.9","595","656.8","735.8","803.4","725.9","828.7","923.7","1012.2","1070.5","1109","1091.8","1105.1","1155.1","1300.4","1171.6","1085.8","1151.5","1471.6","1888.1","1887.5"
"sga","220.9","222.2","265.3","303.9","333.9","357.9","415.6","436.4","457.4","431.2","460.9","499.9","540.4","562.9","591.6","617.2","615.3","636.3","743.5","644.9","591.3","619.2","769.5","849.6","869.3"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","54.9","35.3","5.3","5.7","15.4","10.3","7.3","","","","","","","","","","","","","","","","","",""
"total_opex","275.8","257.5","270.6","309.6","349.3","368.2","422.9","436.4","457.4","431.2","460.9","499.9","540.4","562.9","591.6","617.2","615.3","636.3","743.5","644.9","591.3","619.2","769.5","849.6","869.3"
