"Company: ","Huntington Bancshares Incorporated (HBAN:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","12.75","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Banks","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","18811","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","21300","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"total_interest_income","2108.505","1654.789","1293.195","1305.756","1347.315","1641.765","2070.519","2742.963","2798.322","2238.142","2145.392","1970.226","1930.263","1860.637","1976.462","2115","2632","3433","3949","4201","3647","4191","5969","8916","9268"
"total_interest_expense","1166.073","939.501","543.621","456.77","435.941","679.354","1051.342","1441.451","1266.631","813.855","526.587","341.056","219.739","156.029","139.321","164","263","431","760","988","423","89","696","3477","3951"
"net_interest_income","942.432","715.288","749.574","848.986","911.374","962.4109999999999","1019.177","1301.512","1531.691","1424.287","1618.805","1629.17","1710.524","1704.608","1837.141","1951","2369","3002","3189","3213","3224","4102","5273","5439","5317"
"total_noninterest_revenue","493.559","1199.942","1341.704","1069.153","814.9160000000001","632.282","557.728","676.603","682.051","974.282","1041.858","987.008","1106.321","1012.196","979.179","1036","1149","1305","1321","1454","1591","1889","1981","1921","1933"
"revenue","1435.991","1915.23","2091.278","1918.139","1726.29","1594.693","1576.905","1978.115","2213.742","2398.569","2660.663","2616.178","2816.845","2716.804","2816.32","2987","3518","4307","4510","4667","4815","5991","7254","7360","7250"
