"Company: ","Huntsman Corporation (HUN:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","22.9","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Chemicals","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","4041","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","5149","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","3325.7","2757.4","2661","4822.4","9562.5","8445.9","8730.9","9651","10215","7665","9250","11221","11187","11079","11578","8139","7518","6845","7604","6797","6018","7670","8023","6111","5975"
"cogs","3404.4","","2421","4114.6","8358.700000000001","7032.5","7308.4","8111","8951","6587","7789","9381","9153","9326","9659","6405","6000","5194","5840","5415","4918","6086","6477","5205","5137"
"gross_profit","-78.7","2757.4","240","707.8","1203.8","1413.4","1422.5","1540","1264","1078","1461","1840","2034","1753","1919","1734","1518","1651","1764","1382","1100","1584","1546","906","838"
"sga","","","151.9","482.8","638.8","626","760.7","871","882","850","861","921","951","942","974","791","772","759","789","786","775","739","711","689","677"
"rnd","","","23.8","65.59999999999999","96.2","95.5","115.4","145","154","145","151","166","152","140","158","143","137","132","145","137","135","135","125","115","116"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","3466.8","-2","-4663","-77","31.1","-113.6","-55","27","-18","10","-20","-6","10","-4","","-101","-16","8","31","-45","-33","-48","","5"
"total_opex","","3466.8","173.7","-4114.6","658","752.6","762.5","961","1063","977","1022","1067","1097","1092","1128","934","808","875","942","954","865","841","788","804","798"
"operating_income","-78.7","-709.4","66.3","4822.4","545.8","660.8","660","579","201","101","439","773","937","661","791","800","710","776","822","428","235","743","758","102","40"
