"Company: ","ICU Medical Inc (ICUI:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","114.86","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Health Care Equipment & Supplies","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","2837","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","4152","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","56.191","69.05500000000001","87.807","107.354","75.55","157.532","201.613","188.138","204.726","231.513","282.959","302.195","316.869","313.716","309.26","341.668","379.372","1292.613","1400.04","1266.208","1271.004","1316.308","2279.997","2259.126","2257.132"
"cogs","19.175","28.932","36.464","48.444","39.853","88.128","120.929","109.895","114.91","122.695","153.989","159.841","160.359","158.984","157.859","160.871","177.974","866.518","830.0119999999999","794.3440000000001","809.5069999999999","824.818","1582.236","1519.253","1524.056"
"gross_profit","37.016","40.123","51.343","58.91","35.697","69.404","80.684","78.24299999999999","89.816","108.818","128.97","142.354","156.51","154.732","151.401","180.797","201.398","426.095","570.028","471.864","461.497","491.49","697.761","739.873","733.076"
"sga","14.302","16.816","19.871","23.029","26.409","36.992","44.245","45.484","53.611","68.205","76.636","85.28700000000001","84.604","89.006","88.93899999999999","83.21599999999999","89.426","302.169","320.002","276.982","283.953","302.583","608.345","606.693","611.778"
"rnd","1.48","1.188","1.472","1.757","3.376","4.817","7.659","8.111000000000001","4.822","2.645","4.678","8.587999999999999","10.63","12.407","18.332","15.714","12.955","51.253","52.867","48.611","42.948","47.498","92.98399999999999","85.34399999999999","87.425"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","4.612","","","","","","-2.093","","","","","","","","","","","","41.613","5.737","-0.975","0.127","","",""
"total_opex","20.394","18.004","21.343","24.786","29.785","41.809","49.811","53.595","58.433","70.84999999999999","81.31399999999999","93.875","95.23399999999999","101.413","107.271","98.93000000000001","102.381","353.422","414.482","331.33","325.926","350.208","701.329","692.037","699.203"
"operating_income","16.622","22.119","30","34.124","5.912","27.595","30.873","24.648","31.383","37.968","47.656","48.479","61.276","53.319","44.13","81.867","99.017","72.673","155.546","140.534","135.571","141.282","-3.568","47.836","33.873"
"net_interest_income_normal","","","","","","","","","","","","","","","","-0.039","-0.118","-2.047","-0.709","-0.549","1.924","1.982","-66.375","-95.21899999999999","-96.476"
"other_nonoperating_income","2.096","1.988","1.432","1.123","1.579","2.721","4.462","8.698","4.695","1.181","0.129","17.943","0.5629999999999999","-0.605","-4.338","-12.129","-13.735","-19.343","-132.463","-25.278","-40.001","-20.078","-44.466","-30.916","-39.075"
"pretax_income","18.718","24.107","31.432","35.247","7.491","30.316","35.335","33.346","36.078","39.149","47.785","66.422","61.839","52.714","39.792","69.699","85.164","51.283","22.374","114.707","97.494","123.186","-114.409","-78.29900000000001","-101.678"
"income_tax","-6.93","-8.720000000000001","-11.75","-12.95","-2.6","-10.459","-10.24","-10.337","-11.778","-12.592","-17.862","-21.753","-20.558","-12.296","-13.457","-24.714","-22.08","17.361","6.419","-13.672","-10.624","-20.051","40.123","48.644","42.364"
"net_income_continuing","11.788","15.387","19.682","22.297","4.891","19.857","25.095","23.009","24.3","26.557","29.923","44.669","41.281","40.418","26.335","44.985","63.084","68.64400000000001","28.793","101.035","86.87","103.135","-74.286","-29.655","-59.314"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","0.109","0.417","0.5649999999999999","0.07000000000000001","","","","","","","","","","","","","","","","",""
"other_income_statement_items","","1.7763568394003E-15","","","","","","3.5527136788005E-15","-3.5527136788005E-15","-3.5527136788005E-15","","","","","","","","","","","","","","7.105427357601E-15","7.9936057773011E-15"
"net_income","11.788","15.387","19.682","22.297","5","20.274","25.66","23.079","24.3","26.557","29.923","44.669","41.281","40.418","26.335","44.985","63.084","68.64400000000001","28.793","101.035","86.87","103.135","-74.286","-29.655","-59.314"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","11.788","15.387","19.682","22.297","5","20.274","25.66","23.079","24.3","26.557","29.923","44.669","41.281","40.418","26.335","44.985","63.084","68.64400000000001","28.793","101.035","86.87","103.135","-74.286","-29.655","-59.314"
"eps_basic","0.95","1.2","1.43","1.62","0.37","1.47","1.78","1.62","1.72","1.8","2.2","3.23","2.9","2.75","1.72","2.84","3.9","3.5","1.41","4.9","4.16","4.86","-3.11","-1.23","-2.45"
"eps_diluted","0.87","1.06","1.28","1.48","0.33","1.35","1.64","1.51","1.67","1.77","2.16","3.15","2.8","2.65","1.68","2.73","3.66","3.29","1.33","4.69","4.02","4.74","-3.11","-1.23","-2.45"
"shares_basic","12.495","12.841","13.793","13.753","13.691","13.811","14.412","14.282","14.144","14.72","13.611","13.835","14.223","14.688","15.282","15.848","16.168","19.614","20.394","20.629","20.907","21.206","23.868","24.091","24.091"
"shares_diluted","13.588","14.454","15.352","15.05","14.96","15.04","15.599","15.265","14.565","14.984","13.855","14.161","14.725","15.274","15.647","16.496","17.254","20.858","21.601","21.545","21.591","21.781","23.868","24.091","24.091"
"cash_and_equiv","1.945","3.901","4.165","1.787","5.616","6.854","13.153","7.873","55.696","51.248","78.84999999999999","99.59","146.9","226.022","275.812","336.164","445.082","290.072","344.781","268.67","396.097","552.827","208.784","254.222","254.222"
"st_investments","48.841","69.126","84.3","71.34999999999999","81.72499999999999","79.88800000000001","103.765","87.77","56.093","56.887","14.507","60.395","79.259","70.869","70.952","41.233","","10.061","37.329","23.967","14.687","14.42","4.224","0.501","0.501"
"receivables","12.425","13.062","16.633","29.085","11.556","24.822","26.533","26.115","38.423","47.777","55.106","43.571","49.127","45.318","39.051","57.847","60.127","223.808","213.983","220.419","142.733","124.813","246.9","182.147","182.147"
"inventories","1.435","1.594","5.749","3.398","8.429","15.435","16.315","19.504","17.93","41.327","44.056","40.423","36.333","34.451","36.933","43.632","49.264","288.657","311.163","337.64","314.928","290.235","696.009","709.36","709.36"
"other_current_assets","2.552","2.718","3.362","5.597","9.718","10.763","11.672","11.995","11.246","10.699","15.314","16.429","13.884","17.636","9.781000000000001","26.131","14.624","52.064","19.78","31.501","52.332","47.514","79.279","75.042","75.042"
"total_current_assets","67.19799999999999","90.401","114.209","111.217","117.044","137.762","171.438","153.257","179.388","207.938","207.833","260.408","325.503","394.296","432.529","505.007","569.097","864.662","927.0359999999999","882.197","920.777","1029.809","1235.196","1221.272","1221.272"
"equity_and_other_investments","","","","","","","","","11.35","","","","","","","","","14.579","2.025","","12.974","7.858","3.694","3.12","3.12"
"ppe_gross","40.131","44.947","58.958","71.61499999999999","73.702","91.12","102.318","123.887","131.195","151.734","169.597","182.95","198.773","213.001","224.714","223.048","243.955","608.823","694.864","810.705","892.582","947.624","1240.019","1309.413","1309.413"
"accumulated_depreciation","-16.21","-19.825","-24.35","-30.574","-32.768","-38.926","-43.281","-51.179","-61.298","-73.345","-86.05200000000001","-99.902","-112.836","-125.14","-138.623","-148.728","-158.259","-210.139","-262.223","-320.155","-376.468","-436.739","-526.444","-623.888","-623.888"
"ppe_net","23.921","25.122","34.608","41.041","40.934","52.194","59.037","72.708","69.89700000000001","78.389","83.545","83.048","85.937","87.861","86.09099999999999","74.31999999999999","85.696","398.684","432.641","490.55","516.114","510.885","713.575","685.525","685.525"
