"Company: ","ITT Inc (ITT:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","128.57","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Machinery","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","10757","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","10565","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","4829.4","4675.7","4985.3","5163.5","5965.5","7040.8","7807.9","9003.299999999999","11694.8","10674","1890.7","2085.6","2227.8","2496.9","2654.6","2485.6","2405.4","2585.3","2745.1","2846.4","2477.8","2765","2987.7","3283","3395.7"
"cogs","2993.5","3044.5","3211.9","3733.1","4297.1","5072.6","5618.4","6435","8439.4","7650","1286.8","1440.6","1547.6","1697.1","1788.2","1676.5","1644.5","1765.4","1857.9","1936.3","1695.6","1865.5","2065.4","2175.7","2249.5"
"gross_profit","1835.9","1631.2","1773.4","1430.4","1668.4","1968.2","2189.5","2568.3","3255.4","3024","603.9","645","680.2","799.8","866.4","809.1","760.9","819.9","887.2","910.1","782.2","899.5","922.3","1107.3","1146.2"
"sga","749.8","671.3","720.2","788.6","924.6","1032","1175.9","1342.7","1723.5","1793","340.4","329.9","415.1","516.1","519.5","441.5","430.3","427.9","422.1","407.2","345.2","381.7","374.1","476.6","487"
"rnd","391.2","424.7","519.1","115.2","126.7","156.8","160.9","182.3","244.3","258","59.3","63.5","62.7","67.3","76.59999999999999","78.90000000000001","80.5","93.5","98.40000000000001","97.90000000000001","84.90000000000001","94.90000000000001","96.5","102.6","106.2"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","201.8","40.7","","","","","","","","","384.8","100.4","50.9","63.8","6.1","-82.5","-25.6","-19.9","4.9","47.9","30.8","14.4","","",""
"total_opex","1342.8","1136.7","1239.3","903.8","1051.3","1188.8","1336.8","1525","1967.8","2051","784.5","493.8","528.7","647.2","602.2","437.9","485.2","501.5","525.4","553","460.9","491","470.6","579.2","593.2"
"operating_income","493.1","494.5","534.1","526.6","617.1","779.4","852.7","1043.3","1287.6","973","-180.6","151.2","151.5","152.6","264.2","371.2","275.7","318.4","361.8","357.1","321.3","408.5","451.7","528.1","553"
"net_interest_income_normal","","","","","","","","-65.3","-109.5","-75","-86.3","-72.3","2.7","-3.1","-1.5","2.2","0.8","-9.9","-0.5","4.1","0.7","1.1","-6.4","-10.4","-11.3"
"other_nonoperating_income","-73.2","-161.1","-25.3","-26","-54.1","-105.9","-125.4","-79.5","-90.59999999999999","-88","-5.7","-394.8","-5.1","31","-0.7","8.9","-18.1","0.9","29.7","53.2","-236.8","99.5","16.5","1.8","1.8"
"pretax_income","419.9","333.4","508.8","500.6","563","673.5","727.3","898.5","1087.5","810","-272.6","-315.9","149.1","180.5","262","382.3","258.4","309.4","391","414.4","85.2","509.1","461.8","519.5","543.5"
"income_tax","-155.4","-116.7","-128.9","-130.3","-154.8","-144.7","-227.6","-265.5","-312.3","-169","142.2","-260.6","-39.6","309.6","-71.3","-70.09999999999999","-76","-194.6","-57.7","-89.90000000000001","-15.3","-189.6","-91.09999999999999","-104.8","-117.5"
"net_income_continuing","264.5","216.7","379.9","370.3","408.2","528.8","499.7","633","775.2","641","-130.4","-576.5","109.5","490.1","190.7","312.2","182.4","114.8","333.3","324.5","69.90000000000001","319.5","370.7","414.7","426"
"net_income_discontinued","","60","","33.6","24.1","51.6","81.40000000000001","109.1","19.5","3","934.7","447","15.9","0.8","-3.9","39.4","4.2","-1.5","1.3","1.7","4","1.5","-1.3","-0.9","-0.9"
"income_allocated_to_minority_interest","","","","","","","","","","","","","","-2.4","-2.3","0.2","-0.5","0.2","-0.9","-1.1","-1.4","-4.7","-2.4","-3.3","-3.6"
"other_income_statement_items","","","","-5.6843418860808E-14","","-6.5","1.1368683772162E-13","","","","","","","-5.6843418860808E-14","2.8421709430404E-14","","2.8421709430404E-14","1.4210854715202E-14","-5.6843418860808E-14","5.6843418860808E-14","","","-5.6843418860808E-14","","1.4210854715202E-14"
"net_income","264.5","276.7","379.9","403.9","432.3","573.9","581.1","742.1","794.7","644","804.3","-129.5","125.4","488.5","184.5","351.8","186.1","113.5","333.7","325.1","72.5","316.3","367","410.5","421.5"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","264.5","276.7","379.9","403.9","432.3","573.9","581.1","742.1","794.7","644","804.3","-129.5","125.4","488.5","184.5","351.8","186.1","113.5","333.7","325.1","72.5","316.3","367","410.5","421.5"
"eps_basic","3.01","3.14","4.17","4.38","4.68","3.9","6.3","8.220000000000001","8.800000000000001","7.06","8.75","-1.4","1.35","5.37","2.02","3.92","2.09","1.29","3.81","3.71","0.84","3.68","4.4","4.99","5.12"
"eps_diluted","2.94","3.05","4.06","4.3","4.58","3.82","6.2","8.06","8.66","7","8.75","-1.4","1.33","5.29","1.99","3.88","2.07","1.28","3.76","3.67","0.83","3.66","4.38","4.96","5.1"
"shares_basic","87.874","88.09999999999999","91","92.215","92.3","92.3","92.15000000000001","90.3","90.34999999999999","91.25","92","92.8","93","91","91.5","89.8","89.2","88.3","87.7","87.7","86.7","86","83.40000000000001","82.3","82.3"
"shares_diluted","89.96599999999999","90.59999999999999","93.59999999999999","93.93000000000001","94.40000000000001","94.25","93.7","92","91.7","91.95","92","92.8","94.09999999999999","92.3","92.8","90.7","89.90000000000001","89","88.7","88.59999999999999","87.3","86.5","83.7","82.7","82.7"
"cash_and_equiv","88.7","121.3","202.2","414.2","262.9","451","937.1","1840","964.9","1216","1032","689.8","544.5","507.3","584","415.7","460.7","389.8","561.2","612.1","859.8","647.5","561.2","489.2","489.2"
"st_investments","","","","","","","","","","","","","38.2","112.9","5.4","64.90000000000001","","","","","","","","",""
"receivables","814.9","741.7","868.3","974.6","1110.9","1197.7","1288.9","1935","1961.1","1754","1944","390.5","440.3","496.7","500.1","584.9","523.9","629.6","561.8","596.4","526.6","575.7","655.1","701","701"
"inventories","531.3","528.9","552.9","578.5","685.7","622.9","726.5","887.6","803.8","802","856","248.1","304.2","315.9","302.3","292.7","295.2","311.9","380.5","392.9","360.5","430.9","533.9","575.4","575.4"
"other_current_assets","71.40000000000001","66.90000000000001","77.09999999999999","138.2","428.8","615","365.8","267.2","334.4","579","562","433.3","213.2","232.7","244.4","139.5","122","147.4","141.6","135.4","170.4","68","86.59999999999999","92.09999999999999","92.09999999999999"
"total_current_assets","1506.3","1458.8","1700.5","2105.5","2488.3","2886.6","3318.3","4929.8","4064.2","4351","4394","1761.7","1540.4","1665.5","1636.2","1497.7","1401.8","1478.7","1645.1","1736.8","1917.3","1722.1","1836.8","1857.7","1857.7"
"equity_and_other_investments","","","","","","","","","","","","3.6","8.6","4.7","3.9","5.6","5.6","6.7","7.7","9.800000000000001","11.7","14.5","42.9","46.6","46.6"
"ppe_gross","2125.6","2101.5","2304.8","2507.2","2427.1","2158.5","2352","2633.2","2700.7","2825","3062","1026.6","1110.6","1215.8","1241.2","1292","1313.2","1474.9","1497.3","1672.3","1733.2","1723.4","1759.7","1896.7","1896.7"
