"Company: ","Ingredion Incorporated (INGR:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","115.04","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Food Products","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","7636","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","8931","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","1865","1887","1871","2102","2283","2360","2621","3391","3944","3672","4632","6544","6868","6653","5998","5958","6082","6244","6289","6209","5987","6894","7946","8160","7905"
"cogs","1559","1588","1604","1778","1929","2028","2205","2805","3239","3152","3908","5418","5630","5522","4883","4716","4681","4772","4921","4897","4715","5563","6452","6411","6226"
"gross_profit","306","299","267","324","354","332","416","586","705","520","724","1126","1238","1131","1115","1242","1401","1472","1368","1312","1272","1331","1494","1749","1679"
"sga","135","148","134","149","158","158","202","249","275","247","370","543","556","534","525","555","579","","","","","","","",""
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","15","-15","-20","1","17","-9","-10","-10","-4","-5","-8","-10","-15","-16","-16","2","-3","607","601","591","597","634","728","781","786"
"total_opex","150","133","114","150","175","149","192","239","271","242","362","533","541","518","509","557","576","607","601","591","597","634","728","781","786"
"operating_income","156","166","153","174","179","183","224","347","434","278","362","593","697","613","606","685","825","865","767","721","675","697","766","968","893"
"net_interest_income_normal","","","","","","","","-38","-38","-32","-62","-76","-67","-63","-60","-55","-63","-68","-72","-81","-81","-74","-99","-114","-101"
"other_nonoperating_income","-54","-64","-48","-39","-34","-35","-27","-4","9","-131","-25","76","-29","-3","-26","-31","-20","-28","-74","-58","-88","-375","1","-15","64"
"pretax_income","102","102","105","135","145","148","197","305","405","115","275","593","601","547","520","599","742","769","621","582","506","248","668","839","856"
"income_tax","-36","-36","-42","-49","-43","-55","-69","-102","-130","-68","-99","-170","-167","-144","-157","-187","-246","-237","-167","-158","-152","-123","-166","-188","-181"
"net_income_continuing","66","66","63","86","102","93","128","203","275","47","176","423","434","403","363","412","496","532","454","424","354","125","502","651","675"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","-18","-9","-12","-10","-8","-3","-4","-5","-8","-6","-7","-7","-6","-7","-8","-10","-11","-13","-11","-11","-6","-8","-10","-8","-7"
