"Company: ","Integra LifeSciences Holdings (IART:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","28.82","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Health Care Equipment & Supplies","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","2350","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","1687","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","64.98699999999999","87.687","112.625","185.599","229.825","277.935","419.297","550.4589999999999","654.604","682.487","732.068","780.078","830.871","696.832","796.717","882.734","992.075","1188.236","1472.441","1517.557","1371.868","1542.448","1557.666","1541.573","1529.599"
"cogs","26.816","36.014","45.772","70.59699999999999","87.29900000000001","105.536","168.314","214.674","252.826","244.918","268.188","299.15","314.427","279.548","302.946","326.542","349.089","435.511","571.496","564.681","520.8339999999999","597.808","587.355","656.838","670.901"
"gross_profit","38.171","51.673","66.85299999999999","115.002","142.526","172.399","250.983","335.785","401.778","437.569","463.88","480.928","516.444","417.284","493.771","556.192","642.986","752.725","900.9450000000001","952.876","851.034","944.64","970.311","884.735","858.698"
"sga","43.854","32.366","40.587","59.461","99.36","98.273","157.706","225.187","280.997","281.102","305.055","358.132","373.114","332.19","375.545","415.757","455.629","624.096","690.746","687.599","594.526","637.4450000000001","616.316","656.641","655.782"
"rnd","7.524","7.992","8.304","12.814","14.121","11.96","25.732","30.658","60.495","44.28","48.114","51.451","51.012","42.622","43.559","50.895","58.155","63.455","78.041","79.57299999999999","77.381","93.051","101.193","104.192","104.433"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","5.176","-2.971","-3.553","3.08","4.266","6.061","8.801","12.652","12.875","14.363","12.017","16.433","18.536","7.099","6.81","9.952999999999999","13.862","20.37","21.16","27.028","27.757","16.914","13.882","12.376","19.375"
"total_opex","56.554","37.387","45.338","75.355","117.747","116.294","192.239","268.497","354.367","339.745","365.186","426.016","442.662","381.911","425.914","476.605","527.646","707.921","789.947","794.2","699.664","747.41","731.391","773.2089999999999","779.59"
"operating_income","-18.383","14.286","21.515","39.647","24.779","56.105","58.744","67.288","47.411","97.824","98.694","54.912","73.782","35.373","67.857","79.587","115.34","44.804","110.998","158.676","151.37","197.23","238.92","111.526","79.108"
"net_interest_income_normal","","","","","","","","","-27.971","-22.596","-18.131","-27.175","-21.032","-14.792","-21.799","-23.504","-25.779","-34.764","-61.883","-43.178","-62.284","-43.658","-37.677","-34.175","-34.766"
"other_nonoperating_income","7.536","1.257","1.21","3.542","3.229","-1.004","-10.436","-7.226","-0.905","-2.076","1.551","0.757","-0.721","-1.795","-0.492","4.588","0.845","1.345","8.288","-55.394","4.434","61.105","12.651","3.718","1.719"
"pretax_income","-10.847","15.543","22.725","43.189","28.008","55.101","48.308","60.062","18.535","73.152","82.114","28.494","52.029","18.786","45.566","60.671","90.40600000000001","11.385","57.403","60.104","93.52","214.677","213.894","81.069","46.061"
"income_tax","-0.108","10.863","12.552","-16.328","-10.811","-17.907","-18.901","-26.591","9.192","-22.197","-16.445","-0.505","-10.825","3.241","-9.271000000000001","-53.82","-15.842","53.358","3.398","-9.903","40.372","-45.602","-33.344","-13.328","-5.827"
"net_income_continuing","-10.955","26.406","35.277","26.861","17.197","37.194","29.407","33.471","27.727","50.955","65.669","27.989","41.204","22.027","36.295","6.851","74.56399999999999","64.74299999999999","60.801","50.201","133.892","169.075","180.55","67.741","40.234"
"net_income_discontinued","","","","","","","","","","","","","","-43.094","-2.291","-10.37","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","-0.47","-0.243","","","","","","","","","-1.4210854715202E-14","","-7.105427357601E-15","","-7.105427357601E-15","","-1.4210854715202E-14","","","","","","","","-6.661338147750901E-15"
"net_income","-11.425","26.163","35.277","26.861","17.197","37.194","29.407","33.471","27.727","50.955","65.669","27.989","41.204","-21.067","34.004","-3.519","74.56399999999999","64.74299999999999","60.801","50.201","133.892","169.075","180.55","67.741","40.234"
"preferred_dividends","5.642","1.026","0.159","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","-17.067","25.137","35.118","26.861","17.197","37.194","29.407","33.471","27.727","50.955","65.669","27.989","41.204","-21.067","34.004","-3.519","74.56399999999999","64.74299999999999","60.801","50.201","133.892","169.075","180.55","67.741","40.234"
"eps_basic","-0.49","0.54","0.61","0.46","0.29","0.62","0.5","0.61","0.49","0.88","1.11","0.49","0.73","-0.37","0.52","-0.05","1","0.84","0.73","0.59","1.58","2","2.18","0.85","0.5"
"eps_diluted","-0.49","0.47","0.57","0.43","0.28","0.58","0.49","0.57","0.48","0.87","1.09","0.48","0.72","-0.37","0.52","-0.05","0.9399999999999999","0.82","0.72","0.58","1.57","1.98","2.16","0.84","0.5"
"shares_basic","35.106","46.706","58.042","58.142","60.128","60.39","58.6","55.424","55.562","58.076","59.096","57.904","56.464","56.832","64.864","68.98999999999999","74.386","76.89700000000001","82.857","85.637","84.65000000000001","84.69799999999999","82.997","80.089","80.089"
"shares_diluted","35.106","55.592","61.79","66.208","62.204","69.13","65.494","59.156","56.756","58.584","60.298","58.99","57.032","57.604","65.92","71.354","79.194","79.121","83.999","86.494","85.22799999999999","85.485","83.51600000000001","80.337","80.337"
"cash_and_equiv","14.086","44.518","43.583","78.979","69.855","46.889","22.697","57.339","183.546","71.89100000000001","128.763","100.808","96.938","120.614","71.73399999999999","48.132","102.055","174.935","138.838","198.911","470.166","513.448","456.661","276.402","276.402"
"st_investments","1.052","22.183","55.278","29.567","30.955","80.327","","","","","","","","","","","","","","","","","","32.694","32.694"
"receivables","13.087","14.024","19.412","28.936","46.765","49.007","85.018","103.539","112.417","103.228","106.005","118.129","114.916","118.145","110.414","132.241","148.186","251.799","265.737","275.296","225.532","231.831","263.465","259.327","259.327"
"inventories","16.508","24.609","28.502","41.046","55.947","67.476","94.387","144.535","146.103","140.24","146.928","171.261","171.806","206.919","189.133","211.429","217.263","296.332","280.347","316.054","310.117","317.386","324.583","389.608","389.608"
"other_current_assets","1.484","2.898","5.498","9.365","12.716","22.253","19.659","34.518","55.326","50.004","63.153","62.059","69.39100000000001","75.474","158.04","46.693","27.666","99.08","90.16","67.907","231.387","91.051","116.789","100.005","100.005"
"total_current_assets","46.217","108.232","152.273","187.893","216.238","265.952","221.761","339.931","497.392","365.363","444.849","452.257","453.051","521.152","529.321","438.495","495.17","822.146","775.082","858.168","1237.202","1153.716","1161.498","1058.036","1058.036"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"ppe_gross","22.283","25.382","32.941","38.065","48.017","54.147","80.736","108.765","148.284","173.984","210.027","252.174","316.948","357.507","341.089","373.697","413.208","489.185","555.292","716.535","654.013","711.12","789.3150000000001","863.83","863.83"
"accumulated_depreciation","-10.684","-13.72","-16.385","-17.993","-22.556","-26.696","-38.177","-47.035","-72.28100000000001","-90.458","-110.571","-120.791","-139.05","-157.197","-147.463","-168.516","-190.839","-219.934","-255.18","-284.601","-282.849","-314.874","-329.729","-367.447","-367.447"
"ppe_net","11.599","11.662","16.556","20.072","25.461","27.451","42.559","61.73","76.003","83.526","99.456","131.383","177.898","200.31","193.626","205.181","222.369","269.251","300.112","431.934","371.164","396.246","459.586","496.383","496.383"
"intangible_assets","25.299","-0.0050000000000026","45.164","79.11799999999999","99.054","64.57299999999999","179.72","195.764","226.002","211.118","194.902","237.122","212.264","197.167","412.567","603.739","561.176","1159.622","1079.491","1031.591","989.433","1145.571","1126.61","1067.835","1067.835"
"goodwill","","31.53","","","","68.36","162.41","207.44","212.09","261.94","261.93","292.98","294.07","249.76","363.48","512.39","510.57","937.91","926.48","954.28","932.37","1013.46","1038.88","1055.46","1055.46"
"other_lt_assets","3.399","76.169","60.675","125.443","115.96","22.096","7.1680000000001","13.147","14.527","18.155","16.171","30.367","26.316","23.75","88.425","14.419","18.669","22.328","26.722","27.267","84.967","73.39","103.184","104.274","104.274"
"total_assets","86.514","227.588","274.668","412.526","456.713","448.432","613.6180000000001","818.0119999999999","1026.014","940.102","1017.308","1144.109","1163.599","1192.139","1587.419","1774.224","1807.954","3211.257","3107.887","3303.24","3615.136","3782.383","3889.758","3781.988","3781.988"
"accounts_payable","3.363","2.924","3.764","7.947","10.16","8.978","20.329","23.232","22.964","24.598","27.783","27.656","36.742","50.752","28.867","34.772","29.057","93.967","76.05","113.09","54.608","61.837","102.1","92.32599999999999","92.32599999999999"
"tax_payable","","","","","","","","","","","","","","","","","","","","","","","","",""
"current_accrued_liabilities","","5.55","9.433","11.694","13.052","21.506","29.827","45.576","48.734","51.295","59.367","41.659","31.768","36.354","39.809","39.16","34.97","87.708","84.545","76.809","94.194","120.458","80.033","100.844","100.844"
"st_debt","8.872","3.576","","","","","219.542","119.962","100","76.76000000000001","108.438","","","","3.75","14.375","","60","22.5","45","146.25","45","38.125","14.531","14.531"
"current_deferred_revenue","","0.772","0.8159999999999999","","","0.08799999999999999","4.319","2.901","3.053","4.077","4.444","4.543","3.505","4.197","5.176","5.666","6.812","11.051","3.764","4.772","5.275","5.295","7.253","8.539999999999999","8.539999999999999"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","8.805","6.324","7.908","0.977","1.022","0.715","","","","-2.8421709430404E-14","","28.01","34.914","28.079","48.423","45.154","52.762","96.185","75.693","79.38500000000001","87.86799999999999","92.65600000000001","78.771","75.455","75.455"
"total_current_liabilities","21.04","19.146","21.921","20.618","24.234","31.287","274.017","191.671","174.751","156.73","200.032","101.868","106.929","119.382","126.025","139.127","123.601","348.911","262.552","331.309","401.013","340.021","320.906","306.98","306.98"
"lt_debt","4.758","","","119.257","118.9","118.378","0.508","330","459.48","308.754","294.842","532.264","519.547","392.057","626.246","700.115","665","1781.142","1331.713","1303.061","1408.221","1501.183","1405.19","1485.018","1485.018"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","97.504","88.11799999999999","90.32899999999999","157.42","166.849","166.849"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","1.788","","","","0.31","2.52","31.356","16.052","","9.319000000000001","10.645","5.726","5.393","2.083","100.417","154.891","148.941","65.13","57.778","36.553","16.19","45.788","63.338","35.317","35.317"
"other_lt_liabilities","5.147","4.385","5.15","4.121","5.446","6.429","11.575","19.86","19.474","20.414","11.826","11.613","13.955","12.527","30.409","28.648","30.745","53.768","80.048","118.077","186.727","120.258","138.501","199.94","199.94"
"total_liabilities","32.733","23.531","27.071","143.996","148.89","158.614","317.456","557.583","653.705","495.217","517.345","651.471","645.824","526.049","883.097","1022.781","968.287","2248.951","1732.091","1886.504","2100.269","2097.579","2085.355","2194.104","2194.104"
"common_stock","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1"
"preferred_stock","0.002","0.001","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","-105.729","-79.59999999999999","-44.323","-17.462","-0.265","36.929","66.336","98.175","116.206","167.161","232.83","260.819","302.023","280.956","314.96","145.879","220.443","285.186","348.373","398.574","532.265","698.568","879.1180000000001","946.859","946.859"
"aoci","-0.619","-0.576","1.453","4.226","6.668","-4.773","8.08","19.045","5.355","8.904999999999999","-1.795","-9.093","-4.797","0.927","-23.488","-47.902","-57.154","-23.807","-45.443","-76.402","-74.059","-45.155","10.265","-15.106","-15.106"
"apic","160.134","284.021","292.007","286.716","320.602","333.179","367.277","395.266","502.784","520.849","552.227","607.676","587.301","750.918","779.5549999999999","1019.67","798.652","821.758","1192.601","1213.62","1290.909","1264.943","1276.977","1302.484","1302.484"
"treasury_stock","-0.18","-0.051","-1.812","-5.236","-19.474","-75.815","-145.846","-252.38","-252.38","-252.38","-283.658","-367.121","-367.121","-367.121","-367.121","-367.121","-123.051","-121.644","-120.615","-119.943","-235.141","-234.448","-362.862","-647.2619999999999","-647.2619999999999"
"other_equity","0.17300000000002","0.26199999999994","0.27200000000002","0.28599999999994","0.29199999999997","0.298","0.315","0.32299999999998","0.34399999999999","0.34999999999991","0.35900000000009","0.35699999999991","0.36899999999991","0.41000000000008","0.41599999999994","-0.08299999999997","-0.22299999999996","-0.1869999999999","-0.12000000000012","-0.11299999999983","-0.1070000000002","-0.10399999999981","-0.09500000000002699","-0.091000000000122","-0.091000000000122"
"minority_interest_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_equity","53.781","204.057","247.597","268.53","307.823","289.818","296.162","260.429","372.309","444.885","499.963","492.638","517.775","666.09","704.322","751.443","839.667","962.306","1375.796","1416.736","1514.867","1684.804","1804.403","1587.884","1587.884"
"total_liabilities_and_equity","86.514","227.588","274.668","412.526","456.713","448.432","613.6180000000001","818.0119999999999","1026.014","940.102","1017.308","1144.109","1163.599","1192.139","1587.419","1774.224","1807.954","3211.257","3107.887","3303.24","3615.136","3782.383","3889.758","3781.988","3781.988"
"cfo_net_income","-10.955","26.163","35.277","26.861","17.197","37.194","29.407","33.471","27.727","50.955","65.669","27.989","41.204","22.027","36.295","6.851","74.56399999999999","64.74299999999999","60.801","50.201","133.892","169.075","180.55","67.741","40.234"
"cfo_da","5.176","6.257","7.162","9.042999999999999","11.592","13.221","21.478","27.039","30.717","39.688","39.172","50.172","52.611","31.013","46.434","58.863","72.66500000000001","88.94499999999999","110.73","109.462","116.031","119.836","118.299","123.512","122.935"
"cfo_receivables","-3.475","0.098","-2.109","-4.819","-13.287","0.491","-26.131","-2.841","-23.531","21.151","-3.783","-1.878","3.783","1.01","-17.145","-16.231","-17.518","-89.69799999999999","-17.021","-9.428000000000001","52.105","7.265","-33.905","4.593","11.379"
"cfo_inventory","-3.061","-6.987","1.153","-1.829","-9.738","-9.984","3.461","-18.591","10.823","9.404999999999999","-7.374","1.702","-0.711","-27.364","-24.138","-3.759","-9.576000000000001","0.099","8.300000000000001","-43.308","-48.348","5.374","-29.124","-59.773","-53.371"
"cfo_prepaid_expenses","","-1.443","-1.131","-0.505","-1.949","0.03","-2.465","0.616","3.974","-4.314","-6.452","-0.395","-3.067","1.996","16.526","-0.233","14.912","-33.808","3.933","13.071","1.632","-21.143","8.612","2.652","2.14"
"cfo_other_working_capital","-4.489","3.255","2.518","-7.484","4.791","4.576","22.971","0.602","-14.783","3.537","-1.431","-14.517","-23.614","5.062","-13.342","9.898999999999999","0.953","122.084","6.535","25.156","-46.703","26.667","14.997","-29.046","-22.461"
"cfo_change_in_working_capital","-11.025","-5.077","0.431","-14.637","-20.183","-4.887","-2.164","-20.214","-23.517","29.779","-19.04","-15.088","-23.609","-19.296","-38.099","-10.324","-11.229","-1.323","1.747","-14.509","-41.314","18.163","-39.42","-81.574","-62.313"
"cfo_deferred_tax","","-12.085","-13.401","12.357","6.101","9.895","3.235","-12.72","-33.542","0.548","4.128","1.156","1.537","-1.341","-6.849","-0.351","-6.474","-67.304","-8.183999999999999","-19.046","-64.13800000000001","-2.755","-4.585","-11.885","-16.694"
"cfo_stock_comp","","","","","","","","","32.64","15.58","17.21","26.81","9.050000000000001","9.84","14.55","15.45","17.31","21.55","20.78","21.26","19.59","36.21","27.73","20.14","22.12"
"cfo_other_noncash_items","11.844","0.443","2.516","1.202","24.268","1.425","19.746","19.45","38.565","6.685","-1.568","13.289","-21.693","11.025","31.234","34.365","-30.431","7.933","13.809","84.065","39.771","-28.102","-18.105","22.021","23.273"
"cf_cfo","-4.96","15.701","31.985","34.826","38.975","56.848","71.702","47.026","72.59","143.235","105.571","104.328","59.1","53.268","83.565","104.854","116.405","114.544","199.683","231.433","203.832","312.427","264.469","139.955","129.555"
"cfi_ppe_net","-1.668","-2.86","-2.254","-3.843","-8.507999999999999","-8.053000000000001","-10.831","-22.161","-13.401","-25.238","-37.138","-38.425","-69.03100000000001","-41.766","-38.34","-31.975","-47.012","-43.21","-77.319","-69.5","-35.233","-48.019","-31.198","-66.86499999999999","-68.626"
"cfi_acquisitions_net","","","","","","","","","-86.874","-60.783","-5.178","-151.951","-7.278","-2.98","-320.921","-328.888","0.225","-1195.559","26.704","-30.509","","-113.442","-27.549","",""
"cfi_investment_net","3.59","-85.533","-3.711","-38.587","50.552","27.816","96.798","","","","","","-2.967","","","","","16.951","","1.584","-7.84","0.076","4.909","-27.313","-38.5"
"cfi_intangibles_net","","","","","","","","","","-2.331","","","","","-0.475","","","","","-64.995","-25","-0.058","-4.742","",""
"cfi_other","-16.425","-6.348","-25.015","-51.905","-29.302","-50.602","-228.662","-100.81","-1.4210854715202E-14","","-7.105427357601E-15","-2.8421709430404E-14","1.4210854715202E-14","-5.55","-3.581","-11.147","4.165","0.48299999999995","0.91","0.75200000000001","1.4210854715202E-14","2.8421709430404E-14","","","-27.313"
"cf_cfi","-14.503","-94.741","-30.98","-94.33499999999999","12.742","-30.839","-142.695","-122.971","-100.275","-88.352","-42.316","-190.376","-79.276","-50.296","-363.317","-372.01","-42.622","-1221.335","-49.705","-162.668","-68.07299999999999","-161.443","-58.58","-94.178","-134.439"
"cff_common_stock_net","13.411","123.109","1.562","-21.25","-8.115","-46.959","-54.164","-66.09099999999999","11.504","","-31.278","-83.46299999999999","","152.458","","219.669","","","349.59","","-100","","-125","-275","-125"
"cff_pfd_net","","","","","","","","","","","","","","","","","","","","","","","","",""
"cff_debt_net","0.893","-13.652","-3.6","115.923","","-1.377","98.47","229.955","140.442","-178.005","16.774","161.563","7.805","-135","229.395","76.14700000000001","-16.216","1190","-488.8","-9.199999999999999","305.5","-100","-107.8","54.5","412.1"
"cff_dividend_paid","-0.067","","","","","","","","","","","","","","","","","","","","","","","",""
"cff_other","0.035","","4.4408920985006E-16","","-1.7763568394003E-15","7.105427357601E-15","1.335","-55.379","1.59","6.663","12.93","-17.963","3.945","1.561","9.287000000000001","-47.674","1.1","-21.053","-41.662","0.434","-83.875","1.774","-19.153","-9.425000000000001","4.334"
"cf_cff","14.272","109.457","-2.038","94.673","-8.115","-48.336","45.641","108.485","153.536","-171.342","-1.574","60.137","11.75","19.019","238.682","248.142","-15.116","1168.947","-180.872","-8.766","121.625","-98.226","-251.953","-229.925","291.434"
