"Company: ","Intel Corporation (INTC:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","30.74","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Semiconductors & Semiconductor Equipment","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","130856","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","157414","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","33726","26539","26764","30141","34209","38826","35382","38334","37586","35127","43623","53999","53341","52708","55870","55355","59387","62761","70848","71965","77867","79024","63054","54228","55237"
"cogs","12650","13487","13446","13047","14463","15777","17164","18430","16742","15566","15132","20242","20190","21187","20261","20676","23154","23663","27111","29825","34255","35209","36188","32517","32317"
"gross_profit","21076","13052","13318","17094","19746","23049","18218","19904","20844","19561","28491","33757","33151","31521","35609","34679","36233","39098","43737","42140","43612","43815","26866","21711","22920"
"sga","5089","4464","4334","4278","4659","5688","6096","5401","5452","7931","6309","7670","8057","8088","8136","7930","8377","7452","6950","6350","6180","6543","7002","5634","5887"
"rnd","3897","3796","4034","4360","4778","5145","5873","5755","5722","5653","6576","8350","10148","10611","11537","12128","12685","13035","13543","13362","13556","15190","17528","16046","16319"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","1586","2338","548","918","179","126","42","243","6","35","18","260","308","291","294","265","294","177","","","","","","",""
"total_opex","10572","10598","8916","9556","9616","10959","12011","11399","11180","13619","12903","16280","18513","18990","19967","20323","21356","20664","20493","19712","19736","21733","24530","21680","22206"
"operating_income","10504","2454","4402","7538","10130","12090","6207","8505","9664","5942","15588","17477","14638","12531","15642","14356","14877","18434","23244","22428","23876","22082","2336","31","714"
"net_interest_income_normal","","","","","","","","","584","167","109","192","94","-151","43","-105","-703","-349","126","484","-504","-482","166","629","633"
"other_nonoperating_income","4637","-271","-198","-96","287","520","861","661","-2562","-405","348","112","141","231","116","-39","-1238","2267","-53","1146","1706","103","5266","102","-146"
"pretax_income","15141","2183","4204","7442","10417","12610","7068","9166","7686","5704","16045","17781","14873","12611","15801","14212","12936","20352","23317","24058","25078","21703","7768","762","1201"
"income_tax","-4606","-892","-1087","-1801","-2901","-3946","-2024","-2190","-2394","-1335","-4581","-4839","-3868","-2991","-4097","-2792","-2620","-10751","-2264","-3010","-4179","-1835","249","913","2805"
"net_income_continuing","10535","1291","3117","5641","7516","8664","5044","6976","5292","4369","11464","12942","11005","9620","11704","11420","10316","9601","21053","21048","20899","19868","8017","1675","4006"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","-3","14","60"
"other_income_statement_items","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income","10535","1291","3117","5641","7516","8664","5044","6976","5292","4369","11464","12942","11005","9620","11704","11420","10316","9601","21053","21048","20899","19868","8014","1689","4066"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","10535","1291","3117","5641","7516","8664","5044","6976","5292","4369","11464","12942","11005","9620","11704","11420","10316","9601","21053","21048","20899","19868","8014","1689","4066"
"eps_basic","1.57","0.19","0.47","0.86","1.17","1.42","0.87","1.2","0.93","0.79","2.06","2.46","2.2","1.94","2.39","2.41","2.18","2.04","4.57","4.77","4.98","4.89","1.95","0.4","0.96"
"eps_diluted","1.51","0.19","0.46","0.85","1.16","1.4","0.86","1.18","0.92","0.77","2.01","2.39","2.13","1.89","2.31","2.33","2.12","1.99","4.48","4.71","4.94","4.86","1.94","0.4","0.96"
"shares_basic","6710.191","6794.737","6651","6527","6400","6106","5797","5816","5663","5557","5555","5256","4996","4970","4901","4742","4730","4701","4611","4417","4199","4059","4108","4190","4190"
"shares_diluted","6986","6879","6759","6621","6494","6178","5880","5936","5748","5645","5696","5411","5160","5097","5056","4894","4875","4835","4701","4473","4232","4090","4123","4212","4212"
