"Company: ","Intuitive Surgical Inc (ISRG:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","442.31","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Health Care Equipment & Supplies","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","152183","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","147382","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","26.624","51.673","72.02200000000001","91.675","138.803","227.338","372.682","600.828","874.919","1052.2","1413","1757.3","2178.8","2265.1","2131.7","2384.4","2706.5","3138.2","3724.2","4478.5","4358.4","5710.1","6222.2","7124.1","7318.5"
"cogs","13.279","28.218","38.121","47.646","50.813","73.76900000000001","124.846","186.542","254.142","301.1","383","483.5","608.5","670.9","717.9","806.5","813.6","936.2","1120.1","1368.3","1497.2","1751.6","2026.2","2394.6","2456.6"
"gross_profit","13.345","23.455","33.901","44.029","87.98999999999999","153.569","247.836","414.286","620.777","751.1","1030","1273.8","1570.3","1594.2","1413.8","1577.9","1892.9","2202","2604.1","3110.2","2861.2","3958.5","4196","4729.5","4861.9"
"sga","19.136","29.987","37.327","39.719","48.994","67.443","110.703","158.685","230.57","278.6","358.8","438.8","522.2","574","691","640.5","703.6","810.5","986.6","1178.4","1216.3","1466.5","1739.9","1963.9","1974.9"
"rnd","11.734","13.851","16.793","16.19","17.812","17.354","29.778","48.859","79.372","95.09999999999999","116","140.2","170","167.7","178","197.4","239.6","328.6","418.1","557.3","595.1","671","879","998.8","1038.4"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","4.752","","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","35.622","43.838","54.12","55.909","66.806","84.797","140.481","207.544","309.942","373.7","474.8","579","692.2","741.7","869","837.9","943.2","1139.1","1404.7","1735.7","1811.4","2137.5","2618.9","2962.7","3013.3"
"operating_income","-22.277","-20.383","-20.219","-11.88","21.184","68.77200000000001","107.355","206.742","310.835","377.4","555.2","694.8","878.1","852.5","544.8","740","949.7","1062.9","1199.4","1374.5","1049.8","1821","1577.1","1766.8","1848.6"
"net_interest_income_normal","","","","","","","","","","18.7","17.1","14.9","15.8","18.4","4.2","18.5","35.6","41.9","80.09999999999999","127.7","157.2","69.3","29.7","192.1","227"
"other_nonoperating_income","22.277","20.383","1.798","2.257","3.02","5.035","12.783","30.492","24.368","","","","","","","","","","","","","","","",""
"pretax_income","","","-18.421","-9.622999999999999","24.204","73.807","120.138","237.234","335.203","396.1","572.3","709.7","893.9","870.9","549","758.5","985.3","1104.8","1279.5","1502.2","1207","1890.3","1606.8","1958.9","2075.6"
"income_tax","","","","","-0.726","20.327","-48.094","-92.697","-130.888","-163.5","-190.5","-214.6","-237.3","-199.9","-130.2","-169.7","-247","-433.9","-154.5","-120.4","-140.2","-162.2","-262.4","-141.6","-71.7"
"net_income_continuing","","","-18.421","-9.622999999999999","23.478","94.134","72.044","144.537","204.315","232.6","381.8","495.1","656.6","671","418.8","588.8","738.3","670.9","1125","1381.8","1066.8","1728.1","1344.4","1817.3","2003.9"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","2.9","-2.5","-6.2","-23.5","-22.1","-19.3","-16.3"
