"Company: ","Ionis Pharmaceuticals Inc (IONS:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","47","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Biotechnology","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","6535","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","5560","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","37.255","53.273","80.179","49.99","42.624","40.133","14.859","58.344","107.19","121.6","108.473","99.086","102.049","147.285","214.161","283.703","372.776","514.179","599.674","1122.599","729.264","810.456","587.367","787.647","776.62"
"cogs","-5.535","","","","","","","","","","","","","","","","","","1.82","4.384","11.947","10.842","14.116","9.132999999999999","9.941000000000001"
"gross_profit","42.79","53.273","80.179","49.99","42.624","40.133","14.859","58.344","107.19","121.6","108.473","99.086","102.049","147.285","214.161","283.703","372.776","514.179","597.854","1118.215","717.317","799.614","573.251","778.514","766.679"
"sga","9.231","15.634","5.545","10.202","9.576000000000001","7.888","11.202","13.059","13.811","14.515","11.669","12.789","12.515","14.918","20.14","37.173","48.616","108.488","244.622","286.644","332.2","170.9","150.3","232.6","239.744"
"rnd","57.014","83.741","124.074","116.963","118.474","82.467","69.411","78.20399999999999","106.439","134.623","145.16","157.397","158.458","184.033","241.751","322.292","344.32","374.644","414.604","465.688","535.077","643.453","833.147","899.625","916.027"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","5.535","","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","71.78","99.375","129.619","127.165","128.05","90.355","80.613","91.26300000000001","120.25","149.138","156.829","170.186","170.973","198.951","261.891","359.465","392.936","483.132","659.226","752.332","867.277","814.353","983.447","1132.225","1155.771"
"operating_income","-28.99","-46.102","-49.44","-77.175","-85.426","-50.222","-65.754","-32.919","-13.06","-27.538","-48.356","-71.09999999999999","-68.92400000000001","-51.666","-47.73","-75.762","-20.16","31.047","-61.372","365.883","-149.96","-14.739","-410.196","-353.711","-389.092"
"net_interest_income_normal","","","","","","","","","-0.494","-6.311","-13.232","-16.732","-21.152","-19.355","-22.209","-36.732","-38.795","-44.752","-44.789","-12.44","-9.4","-9.300000000000001","-8.1","-81.497","-86.49299999999999"
"other_nonoperating_income","28.99","46.102","49.44","77.175","85.426","50.222","65.754","32.919","-0.965","2.084","0.429","3.042","15.489","4.463","15.548","24.588","1.489","-3.058","30.005","-14.677","24.808","-5.109","160.311","101.243","111.834"
"pretax_income","","","","","","","","","-14.519","-31.765","-61.159","-84.79000000000001","-74.587","-66.55800000000001","-54.391","-87.90600000000001","-57.466","-16.763","-76.15600000000001","338.766","-134.552","-29.148","-257.985","-333.965","-363.751"
"income_tax","","","","","","","","","","-3.191","-0.092","-0.011","9.109","5.914","15.407","-0.372","-2.934","5.98","291.141","-51.507","-345.191","0.551","-11.737","-32.321","-21.015"
"net_income_continuing","","","","","","","","","-14.519","-34.956","-61.251","-84.801","-65.47799999999999","-60.644","-38.984","-88.27800000000001","-60.4","-10.783","214.985","287.259","-479.743","-28.597","-269.722","-366.286","-384.766"
"net_income_discontinued","","","","","","","-2.9","-6.029","-8.387","185.628","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","23.021","23.786","4.734","4.394","","","","","","","","11.129","58.756","-9.116","35.48","","","",""
"other_income_statement_items","-53.485","-73.83199999999999","-72.242","-94.996","-142.503","-72.401","-66.024","-28.751","-3.5527136788005E-15","2.8421709430404E-14","","","1.4210854715202E-14","7.105427357601E-15","-7.105427357601E-15","","","1.6653345369377E-15","","-5.6843418860808E-14","-5.6843418860808E-14","","5.6843418860808E-14","-5.6843418860808E-14","-1.4210854715202E-14"
"net_income","-53.485","-73.83199999999999","-72.242","-94.996","-142.503","-72.401","-45.903","-10.994","-18.172","155.066","-61.251","-84.801","-65.47799999999999","-60.644","-38.984","-88.27800000000001","-60.4","0.346","273.741","278.143","-444.263","-28.597","-269.722","-366.286","-384.766"
"preferred_dividends","1.214","1.299","1.06","0.694","0.361","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","-54.699","-75.131","-73.30200000000001","-95.69","-142.864","-72.401","-45.903","-10.994","-18.172","155.066","-61.251","-84.801","-65.47799999999999","-60.644","-38.984","-88.27800000000001","-60.4","0.346","273.741","278.143","-444.263","-28.597","-269.722","-366.286","-384.766"
"eps_basic","-1.48","-1.7","-1.35","-1.73","-2.52","-1.15","-0.62","-1.63","-0.19","1.58","-0.62","-0.85","-0.65","-0.55","-0.33","-0.74","-0.5","0.15","2.09","2","-3.18","-0.2","-1.9","-2.56","-2.67"
"eps_diluted","-1.48","-1.7","-1.35","-1.73","-2.52","-1.15","-0.62","-1.63","-0.19","1.58","-0.62","-0.85","-0.65","-0.55","-0.33","-0.74","-0.5","0.15","2.07","1.9","-3.18","-0.2","-1.9","-2.56","-2.67"
"shares_basic","37.023","44.109","54.48","55.463","56.642","62.877","74.30800000000001","83.739","94.566","98.10899999999999","99.143","99.65600000000001","100.576","110.502","117.691","119.719","120.933","124.016","132.32","139.998","139.612","141.021","141.848","143.19","143.19"
"shares_diluted","37.023","44.109","54.48","55.463","56.642","62.877","74.30800000000001","83.739","94.566","98.10899999999999","99.143","99.65600000000001","100.576","110.502","117.691","119.719","120.933","126.098","134.056","153.164","139.612","141.021","141.848","143.19","143.19"
"cash_and_equiv","39.615","127.011","101.856","33.117","27.25","3.65","114.514","138.614","217.918","105.255","70.05200000000001","65.477","124.482","159.973","142.998","128.797","84.685","129.63","278.82","683.287","397.664","869.191","276.472","399.266","399.266"
"st_investments","87.64700000000001","185.007","187.497","182.387","76.633","90.739","78.819","55.105","273.08","469.057","402.301","278.187","283.586","548.884","667.715","675.178","580.538","893.085","1805.252","1816.257","1494.711","1245.782","1710.397","1931.935","1931.935"
"receivables","3.346","10.36","14.906","2.657","10.048","3.918","2.395","6.177","4.121","10.899","1.242","6.921","0.522","11.102","3.903","11.356","108.043","62.955","12.759","63.034","76.20399999999999","61.896","25.538","97.77800000000001","97.77800000000001"
"inventories","","","11.09","13.995","2.722","0.951","0.861","2.817","2.718","2.768","2.484","4.139","6.121","8.032999999999999","6.29","6.899","7.489","9.981999999999999","8.582000000000001","18.18","21.965","24.806","22.033","28.425","28.425"
"other_current_assets","2.596","6.438","4.831","7.405","8.956","6.6","9.614000000000001","4.604","20.547","8.146999999999901","7.058","5.415","8.727","7.518","15.691","14.773","17.177","73.08199999999999","102.473","139.839","140.163","143.374","168.254","184.449","184.449"
"total_current_assets","133.204","328.816","320.18","239.561","125.609","105.858","206.203","207.317","518.384","596.126","483.137","360.139","423.438","735.51","836.597","837.003","797.932","1168.734","2207.886","2720.597","2130.707","2345.049","2202.694","2641.853","2641.853"
"equity_and_other_investments","","","","","","","","","","","0.87","","","","","","","","","","","","","",""
"ppe_gross","53.929","62.697","99.53100000000001","83.486","60.661","34.18","36.052","38.658","49.808","63.697","76.529","144.035","145.549","146.629","155.011","162.939","172.92","209.583","193.634","227.664","268.456","298.696","343.554","339.698","339.698"
"accumulated_depreciation","-31.304","-34.452","-40.437","-48.696","-32.207","-25.05","-28.895","-31.527","-32.437","-36.359","-40.826","-47.42","-54.465","-60.431","-66.053","-72.706","-80.075","-87.676","-61.474","-74.01300000000001","-87.379","-102.653","-87.71599999999999","-96.759","-96.759"
"ppe_net","22.625","28.245","59.094","34.79","28.454","9.130000000000001","7.157","7.131","17.371","27.338","35.703","96.61499999999999","91.084","86.19799999999999","88.958","90.233","92.845","121.907","132.16","153.651","181.077","196.043","255.838","242.939","242.939"
