"Company: ","JPMorgan Chase & Co (JPM:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","198.07","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Banks","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","571117","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","404873","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"total_interest_income","36643","32181","25936","23444","30460","45075","59107","71387","73018","66350","63782","61293","55953","52669","51531","50973","55901","63971","76100","84040","64523","57864","92807","170588","181022"
"total_interest_expense","27131","21379","13758","11107","13933","25520","37865","44981","34239","15198","12781","13604","11043","9350","7897","7463","9818","13874","21041","26795","9960","5553","26097","81321","89384"
"net_interest_income","9512","10802","12178","12337","16527","19555","21242","26406","38779","51152","51001","47689","44910","43319","43634","43510","46083","50097","55059","57245","54563","52311","66710","89267","91638"
"total_noninterest_revenue","23422","18248","17436","20919","25845","34693","40757","44966","28473","49282","51693","49545","52121","54048","51478","50033","50486","50608","53724","58475","65320","69374","61931","65685","67213"
"revenue","32934","29050","29614","33256","42372","54248","61999","71372","67252","100434","102694","97234","97031","97367","95112","93543","96569","100705","108783","115720","119883","121685","128641","154952","158851"
"credit_losses_provision","1377","3185","4331","1540","2544","3483","3270","6864","20979","32015","16639","7574","3385","225","3139","3827","5361","5290","4871","5585","17412","-9220","6335","9282","8866"
"net_interest_income_after_credit_losses_provision","8135","7617","7847","10797","13983","16072","17972","19542","17800","19137","34362","40115","41525","43094","40495","39683","40722","44807","50188","51660","37151","61531","60375","79985","82772"
"total_noninterest_expense","21393","20776","20254","21588","32607","38204","38538","41494","42287","51710","53796","59711","59729","60267","61274","59528","56672","60160","63148","65269","66656","70917","75874","81776","84318"
"pretax_income","8733","2566","2519","10028","5856","11839","19886","22805","2773","16067","24859","26749","28917","26675","30699","30702","34536","35900","40764","44866","35815","59562","46166","61612","62938"
"income_tax","-3006","-847","-856","-3309","-1596","-3585","-6237","-7440","926","-4415","-7489","-7773","-7633","-8789","-8954","-6260","-9803","-11459","-8290","-8435","-6684","-11228","-8490","-12060","-12589"
"net_income_continuing","5727","1719","1663","6719","4260","8254","13649","15365","3699","11652","17370","18976","21284","17886","21745","24442","24733","24441","32474","36431","29131","48334","37676","49552","50349"
"net_income_discontinued","","","","","206","229","795","","1906","76","","","","","","","","","","","","","","",""
"net_income","5727","1694","1663","6719","4466","8483","14444","15365","5605","11728","17370","18976","21284","17886","21745","24442","24733","24441","32474","36431","29131","48334","37676","49552","50349"
"preferred_dividends","96","66","51","51","52","13","4","","674","1327","642","629","653","805","1125","1515","1647","1663","1551","1587","1583","1600","1595","1501","1542"
"net_income_available_to_shareholders","5631","1628","1612","6668","4414","8470","14440","15365","4931","10401","16728","18347","20631","17081","20620","22927","23086","22778","30923","34844","27548","46734","36081","48051","48807"
"eps_basic","2.99","0.83","0.8100000000000001","3.32","1.59","2.43","4.16","4.38","1.35","2.27","3.98","4.5","5.22","4.38","5.33","6.05","6.24","6.35","9.039999999999999","10.75","8.890000000000001","15.39","12.1","16.25","16.58"
"eps_diluted","2.86","0.8","0.8","3.24","1.55","2.38","4.04","4.33","1.35","2.26","3.96","4.48","5.2","4.34","5.29","6","6.19","6.31","9","10.72","8.880000000000001","15.36","12.09","16.23","16.56"
"shares_basic","1884.1","1972.4","1990.123","2009","2780","3492","3470","3403.6","3501","3862.8","3956.3","3900.4","3809.4","3782.4","3763.5","3741.2","3658.8","3551.6","3396.4","3221.5","3082.4","3021.5","2965.8","2938.6","2938.6"
"shares_diluted","1969","2023.6","2015","2055","2851","3557","3574","3445.3","3522","3879.7","3976.9","3920.3","3822.2","3814.9","3797.5","3773.6","3690","3576.8","3414","3230.4","3087.4","3026.6","2970","2943.1","2943.1"
"cash_and_equiv","32305","35343","28160","30443","56848","58331","53959","51610","165034","89436","49240","144881","175537","355822","512308","360505","389635","431304","278793","263631","527609","740834","567234","624151","624151"
"loans_gross","216050","219269","218254","220808","402114","419148","483127","519374","744898","633458","692927","723720","733796","738418","757336","837299","894765","930697","984554","997620","1012853","1077714","1135647","1323706","1323706"
"allowance_for_loan_losses","-3665","-4524","-5350","-4523","-7320","-7090","-7279","-9234","-23164","-31602","-32266","-27609","-21936","-16264","-14185","-13555","-13776","-13604","-13445","-13123","-28328","-16386","-19726","-22420","-22420"
"loans_net","212385","212920","211014","214995","394794","412058","475848","510140","721734","601856","660661","696111","711860","722154","743151","823744","880989","917093","971109","984497","984525","1061328","1115921","1301286","1301286"
"total_investments","321688","294942","375135","362199","438490","248706","375239","497630","640864","733205","733174","718901","712397","612168","621958","519382","545342","521915","586469","646079","930253","984829","982116","973946","973946"
"ppe_net","7087","6292","6829","6487","9145","9081","8735","9319","10045","11118","13355","14041","14519","14891","15133","14362","14131","14159","14934","25813","27109","27070","27734","30157","30157"
"intangible_assets","15833","15347","12902","14991","57887","14559","14852","14731","14984","20152","17688","10430","9849","11232","8628","7623","6958","6885","6878","5518","4180","6376","9197","11747","11747"
"goodwill","","","","","","43621","45185","45270","48027","48357","48854","48188","48175","48081","47647","47325","47288","47507","47471","47823","49248","50315","51662","52634","52634"
"other_lt_assets","126050","128731","124760","141797","200084","412586","377702","433447","574364","527865","594633","633240","686804","651341","623449","578757","606629","594737","716878","714018","861833","872815","911879","881472","881472"
"total_assets","715348","693575","758800","770912","1157248","1198942","1351520","1562147","2175052","2031989","2117605","2265792","2359141","2415689","2572274","2351698","2490972","2533600","2622532","2687379","3384757","3743567","3665743","3875393","3875393"
"deposits_liability","279365","293650","304753","326491","521456","554991","638788","740728","1009277","938367","930369","1127806","1193593","1287765","1363427","1279715","1375179","1443982","1470666","1562431","2144257","2462303","2340179","2400688","2400688"
"st_debt","44691","29345","25537","23209","21644","13863","18849","49596","49037","41794","35363","73539","55367","57848","66344","15562","34443","51802","69276","40920","45208","53594","44027","44712","44712"
"lt_debt","43299","43622","45190","54782","105718","130365","163683","227845","391891","322058","304978","256775","275660","295883","306601","309756","295245","284080","282031","291498","281685","301005","295865","391825","391825"
"other_lt_liabilities","301166","285309","341014","307981","354716","392512","414410","420757","557963","564405","670789","624099","630452","563015","604175","499092","531915","498043","544044","531200","634253","632538","693340","710290","710290"
"total_liabilities","668521","651926","716494","712463","1003534","1091731","1235730","1438926","2008168","1866624","1941499","2082219","2155072","2204511","2340547","2104125","2236782","2277907","2366017","2426049","3105403","3449440","3373411","3547515","3547515"
"common_stock","1940","1997","2024","2044","3585","3618","3658","3658","3942","4105","4105","4105","4105","4105","4105","4105","4105","4105","4105","4105","4105","4105","4105","4105","4105"
"preferred_stock","2070","1009","1009","1009","339","139","","","31939","8152","7800","7800","9058","11158","20063","26068","26068","26068","26068","26993","30063","34838","27404","27404","27404"
"retained_earnings","28096","26993","25851","29681","30209","33848","43600","54715","54013","62481","73998","88315","104223","115756","129977","146420","162440","177676","199202","223211","236990","272268","296456","332901","332901"
"aoci","-241","-442","1227","-30","-208","-626","-1557","-917","-5687","-91","1001","944","4102","1199","2189","192","-1175","-119","-1507","1569","7986","-84","-17341","-10443","-10443"
"apic","11598","12495","13222","13512","72801","74994","77807","78597","92143","97982","97415","95602","94604","93828","93270","92500","91627","90579","89162","88522","88394","88415","89044","90128","90128"
"treasury_stock","-575","-953","-1027","-62","-1073","-4762","-7718","-12832","-9249","-7196","-8160","-13155","-12002","-14847","-17856","-21691","-28854","-42595","-60494","-83049","-88184","-105415","-107336","-116217","-116217"
"other_equity","3939","550","","12295","48061","","","","-217","-68","-53","-38","-21","-21","-21","-21","-21","-21","-21","-21","","","","",""
"total_equity","46827","41649","42306","58449","153714","107211","115790","123221","166884","165365","176106","183573","204069","211178","231727","247573","254190","255693","256515","261330","279354","294127","292332","327878","327878"
"total_liabilities_and_equity","715348","693575","758800","770912","1157248","1198942","1351520","1562147","2175052","2031989","2117605","2265792","2359141","2415689","2572274","2351698","2490972","2533600","2622532","2687379","3384757","3743567","3665743","3875393","3875393"
"cfo_net_income","5727","1694","1663","6719","4466","8483","14444","15365","5605","11728","17370","18976","21284","17886","21745","24442","24733","24441","32474","36431","29131","48334","37676","49552","50349"
"cfo_da","2545","2891","3426","3101","3835","4318","3577","3821","4528","4358","4965","5105","5147","5306","4759","4940","5478","6179","7791","8368","8614","7932","7051","7512","7867"
