"Company: ","Jazz Pharmaceuticals PLC (JAZZ:US)","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","108.08","","","","","","","","","","","","","","","","","","",""
"Industry: ","Pharmaceuticals","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","6926","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","10212","","","","","","","","","","","","","","","","","","",""
"period_end_date","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","21.442","44.856","65.303","67.514","128.449","173.781","272.277","585.979","872.423","1172.875","1324.803","1487.973","1618.693","1890.922","2161.761","2363.567","3094.238","3659.374","3834.204","3843.375"
"cogs","4.292","6.968","8.903","13.924","9.638","13.559","13.942","78.425","102.146","117.418","102.526","105.386","110.188","121.544","127.93","148.917","440.76","540.5170000000001","435.577","402.42"
"gross_profit","17.15","37.888","56.4","53.59","118.811","160.222","258.335","507.554","770.277","1055.457","1222.277","1382.587","1508.505","1769.378","2033.831","2214.65","2653.478","3118.857","3398.627","3440.955"
"sga","23.551","51.384","78.54000000000001","111.401","58.652","68.996","108.936","223.882","304.303","406.114","449.119","502.892","544.1559999999999","683.53","736.942","854.2329999999999","1451.683","1416.967","1343.105","1396.9"
"rnd","45.783","54.956","69.792","69.96299999999999","36.561","25.612","14.12","20.477","41.632","85.181","135.253","162.297","198.442","226.616","299.726","335.375","505.748","590.453","849.658","883.095"
"special_charges","","","","","","","","","","","","","","","","","","","",""
"other_opex","4.96","9.6","46.846","12.828","7.668","7.825","7.448","65.351","79.042","126.584","98.16200000000001","101.994","152.065","201.498","354.814","259.58","525.769","599.169","608.284","614.228"
"total_opex","74.294","115.94","195.178","194.192","102.881","102.433","130.504","309.71","424.977","617.879","682.534","767.183","894.663","1111.644","1391.482","1449.188","2483.2","2606.589","2801.047","2894.223"
"operating_income","-57.144","-78.05200000000001","-138.778","-140.602","15.93","57.789","127.831","197.844","345.3","437.578","539.7430000000001","615.404","613.842","657.734","642.349","765.462","170.278","512.268","597.58","546.732"
"net_interest_income_normal","","","","-17.908","-22.762","-12.724","-1.6","-16.869","-26.916","-52.713","-56.917","-61.942","-77.756","-78.5","-72.261","-99.70699999999999","-278.766","-288.242","-289.438","-281.407"
"other_nonoperating_income","57.144","78.05200000000001","138.778","158.51","6.832","-12.287","-1.247","-3.62","-10.434","-233.308","-46.893","-21.016","-94.96899999999999","-49.771","-115.786","-390.66","-4.35","-596.8099999999999","-10.213","-24.099"
"pretax_income","","","","","","32.778","124.984","177.355","307.95","151.557","435.933","532.446","441.117","529.463","454.302","275.095","-112.838","-372.784","297.929","241.226"
"income_tax","","","","","","","","83.794","-91.63800000000001","-94.23099999999999","-106.399","-135.236","47.74","-80.16200000000001","73.154","-33.517","-216.116","158.645","119.912","92.919"
"net_income_continuing","","","","","","32.778","124.984","261.149","216.312","57.326","329.534","397.21","488.857","449.301","527.456","241.578","-328.954","-214.139","417.841","334.145"
"net_income_discontinued","","","","","","","","27.437","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","1.061","0.001","","","","","","","","",""
"other_income_statement_items","-85.15600000000001","-59.391","-138.826","-184.339","-6.836","","","","2.8421709430404E-14","7.105427357601E-15","5.6843418860808E-14","-0.37900000000002","-1.009","-2.2029999999999","-4.0890000000001","-2.962","-0.714","-9.920999999999999","-3.009","-3.351"
"net_income","-85.15600000000001","-59.391","-138.826","-184.339","-6.836","32.778","124.984","288.586","216.312","58.387","329.535","396.831","487.848","447.098","523.367","238.616","-329.668","-224.06","414.832","330.794"
"preferred_dividends","","21.92","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","-85.15600000000001","-81.31100000000001","-138.826","-184.339","-6.836","32.778","124.984","288.586","216.312","58.387","329.535","396.831","487.848","447.098","523.367","238.616","-329.668","-224.06","414.832","330.794"
"eps_basic","-6.32","-6.04","-10.04","-7.19","-0.23","0.9","3.01","5.09","3.71","0.98","5.38","6.56","8.130000000000001","7.45","9.220000000000001","4.28","-5.52","-3.58","6.55","5.23"
"eps_diluted","-6.32","-6.04","-10.04","-7.19","-0.23","0.83","2.67","4.79","3.51","0.93","5.23","6.41","7.96","7.3","9.09","4.22","-5.52","-3.58","6.1","4.85"
"shares_basic","13.466","13.466","13.829","25.646","30.018","36.343","41.499","56.643","58.298","59.746","61.232","60.5","60.018","59.976","56.749","55.712","59.694","62.539","63.291","63.291"
"shares_diluted","13.466","13.466","13.829","25.646","30.018","39.411","46.798","60.195","61.569","62.614","63.036","61.87","61.317","61.221","57.55","56.517","59.694","62.539","72.066","72.066"
"cash_and_equiv","20.614","78.94799999999999","102.945","24.903","15.595","44.794","82.07599999999999","387.196","636.504","684.042","988.785","365.963","386.035","309.622","637.3440000000001","1057.769","591.448","881.482","1506.31","1506.31"
"st_investments","","","","1.004","","","75.822","","","","","60","215","515","440","1075","","","120","120"
"receivables","3.597","5.38","5.389","6.643","12.313","22.081","34.374","75.48","124.805","186.371","209.685","234.244","224.129","263.838","355.987","396.49","563.36","651.4930000000001","705.794","705.794"
"inventories","3.262","3.026","2.213","4.294","3.426","5.046","3.909","26.525","28.669","30.037","19.451","34.051","43.245","52.956","78.608","95.396","1072.721","714.061","597.039","597.039"
"other_current_assets","3.911","4.209","5.544","7.155","5.62","2.537","2.95","62.371","74.639","115.395","39.746","53.811","99.86799999999999","92.589","118.329","214.913","383.805","359.104","506.285","506.285"
"total_current_assets","31.384","91.563","116.091","43.999","36.954","74.458","199.131","551.572","864.617","1015.845","1257.667","748.069","968.277","1234.005","1630.268","2839.568","2611.334","2606.14","3435.428","3435.428"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","",""
"ppe_gross","2.547","3.342","6.463","6.499","6.512","6.922","8.140000000000001","15.06","24.859","73.55500000000001","109.252","139.632","211.283","249.966","326.148","324.692","428.794","409.023","368.337","368.337"
"accumulated_depreciation","-0.606","-1.235","-2.522","-3.985","-5.388","-6.232","-6.583","-7.779","-10.613","-15.192","-23.68","-32.142","-41.203","-49.608","-55.257","-67.58799999999999","-85.371","-107.647","-133.351","-133.351"
"ppe_net","1.941","2.107","3.941","2.514","1.124","0.6899999999999999","1.557","7.281","14.246","58.363","85.572","107.49","170.08","200.358","270.891","257.104","343.423","301.376","234.986","234.986"
"intangible_assets","78.74299999999999","69.143","36.043","32.529","29.861","22.036","14.588","869.952","812.3920000000001","1437.438","1185.605","3012.001","2979.124","2731.334","2440.975","2195.054","7152.327","5794.439","5418.039","5418.039"
"goodwill","38.88","38.21","38.21","38.21","38.21","38.21","38.21","442.6","450.46","702.71","657.14","893.8099999999999","947.54","927.63","920.02","958.3","1827.61","1692.66","1753.13","1753.13"
"other_lt_assets","13.833","13.548","13.269","0.246","1.247","0.33500000000001","0.08700000000001801","95.08799999999999","96.506","124.599","146.628","38.856999999999","58.651","110.164","276.743","285.875","363.945","440.64","551.776","551.776"
"total_assets","164.781","214.571","207.554","117.498","107.396","135.729","253.573","1966.493","2238.221","3338.955","3332.612","4800.227","5123.672","5203.491","5538.897","6535.901","12298.639","10835.255","11393.359","11393.359"
"accounts_payable","4.786","5.443","2.856","5.736","2.158","3.049","5.129","15.887","21.005","25.126","21.807","22.415","24.368","40.602","45.732","26.945","100.298","90.758","102.75","102.75"
"tax_payable","","","","","","","","39.884","0.336","7.588","1.808","4.506","21.577","1.197","10.965","25.2","9.608000000000001","7.717","35.074","35.074"
"current_accrued_liabilities","11.121","12.943","29.047","16.491","14.296","23.572","18.838","53.381","66.779","103.909","122.365","145.539","134.789","202.374","171.928","213.681","457.438","617.91","632.1420000000001","632.1420000000001"
"st_debt","","2.191","3.459","122.409","33.158","23.414","","29.688","5.572","9.428000000000001","37.587","36.094","40.605","33.387","33.387","246.322","31","31","604.954","604.954"
"current_deferred_revenue","","1.422","1.494","12.322","2.675","1.273","1.138","1.138","1.138","1.138","1.37","1.123","8.618","5.414","4.72","2.546","2.093","0.463","",""
"current_deferred_tax_liability","","","","","","","","0.275","6.259","9.43","","","","","","","","","",""
"other_current_liabilities","7.429","8.521000000000001","","16.533","6.954","8.628","27.765","51.285","102.939","60.182","41.705","47.729","63.99","62.513","85.03","124.594","193.103","169.407","142.325","142.325"
"total_current_liabilities","23.336","30.52","36.856","173.491","59.241","59.936","52.87","191.538","204.028","216.801","226.642","257.406","293.947","345.487","364.49","653.745","809.303","933.193","1536.692","1536.692"
"lt_debt","73.629","74.283","75.116","","91.107","24.629","","427.073","544.404","1333","1150.857","1993.531","1540.433","1563.025","1573.87","1848.516","6018.943","5693.341","5107.988","5107.988"
"noncurrent_capital_leases","","","","","","","","","","","","","","","151.226","140.035","87.2","71.83799999999999","59.225","59.225"
"pension_liabilities","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","","","11.33","10.22","9.135","7.915","185.169","174.215","379.553","287.214","559.3339999999999","399.587","318.678","228.956","132.712","1301.004","944.337","847.706","847.706"
"other_lt_liabilities","186.064","286.064","40.59","25.555","19.658","11.478","","41.421","20.04","38.393","69.253","112.617","176.608","218.879","109.374","101.148","116.998","106.812","104.751","104.751"
"total_liabilities","283.029","390.867","152.562","210.376","180.226","105.178","60.785","845.201","942.687","1967.747","1733.966","2922.888","2410.575","2446.069","2427.916","2876.156","8333.448","7749.521","7656.362","7656.362"
"common_stock","","","","","","","","","","","","","","","","","","","",""
"preferred_stock","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","-118.252","-177.643","-316.469","-500.808","-507.644","-474.866","-349.882","-61.296","18.532","34.704","302.686","528.907","917.956","841.05","1067.815","1159.894","830.226","733.586","878.6559999999999","878.6559999999999"
"aoci","0.004","0.012","0.019","0.004","","","-0.031","31.046","56.153","-122.097","-267.472","-317.333","-140.878","-197.791","-223.393","-134.352","-400.36","-1125.509","-842.147","-842.147"
"apic","","1.335","371.44","407.923","434.811","505.413","542.697","1151.481","1220.788","1458.476","1563.371","1665.704","1935.958","2114.102","2266.498","2634.142","3535.264","3477.596","3700.427","3700.427"
"treasury_stock","","","","","","","","","","","","","","","","","","","",""
"other_equity","-1.4210854715202E-14","","0.0019999999999882","0.0029999999999717","0.0030000000000285","0.003999999999972899","0.0040000000000191","0.060999999999922","0.061000000000149","0.060999999999922","0.060999999999922","0.060999999999922","0.061000000000149","0.061000000000149","0.061000000000149","0.061000000000149","0.060999999999694","0.061000000000149","0.060999999999694","0.060999999999694"
"minority_interest_liability","","","","","","","","","","0.064","","","","","","","","","",""
"total_equity","-118.248","-176.296","54.992","-92.878","-72.83","30.551","192.788","1121.292","1295.534","1371.208","1598.646","1877.339","2713.097","2757.422","3110.981","3659.745","3965.191","3085.734","3736.997","3736.997"
"total_liabilities_and_equity","164.781","214.571","207.554","117.498","107.396","135.729","253.573","1966.493","2238.221","3338.955","3332.612","4800.227","5123.672","5203.491","5538.897","6535.901","12298.639","10835.255","11393.359","11393.359"
"cfo_net_income","-85.15600000000001","-59.391","-138.826","-184.339","-6.836","32.778","124.984","288.586","216.312","57.326","329.534","396.831","487.848","447.098","523.367","238.616","-329.668","-224.06","414.832","330.794"
"cfo_da","5.439","10.31","10.526","15.026","9.097","8.711","7.827","74.229","82.09","133.681","108.056","113.78","165.154","216.731","370.156","278.253","552.4829999999999","629.471","638.696","644.7190000000001"
"cfo_receivables","-0.249","-1.783","-0.25","-1.254","-5.67","-9.768000000000001","-12.293","-4.724","-48.846","-55.041","-24.841","-25.603","12.278","-40.132","-92.32599999999999","-38.647","-92.735","-90.13500000000001","-51.883","-88.786"
"cfo_inventory","-0.219","-0.521","0.459","-2.18","0.883","-1.539","1.239","1.697","-8.516","-7.63","6.271","-17.024","-8.667","-18.512","-32.79","-30.537","-48.861","-49.642","-13.42","-19.998"
