"Company: ","KBR Inc (KBR:US)","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","64.40000000000001","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Professional Services","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","8647","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","10298","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","5125","8810","11960","10206","9633","8745","11581","12105","9962","9103","7770","7214","6366","5096","4268","4171","4913","5639","5767","7339","6564","6956","7071"
"cogs","5218","","12171","9716","9285","8225","10820","11348","9273","8463","7252","6797","6431","4771","4156","3732","4329","4986","5101","6533","5736","5979","6091"
"gross_profit","-93","8810","-211","490","348","520","761","757","689","640","518","417","-65","325","112","439","584","653","666","806","828","977","980"
"sga","89","","92","85","108","226","223","217","212","214","222","248","239","155","133","244","294","341","335","393","420","488","485"
"rnd","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","54","-50","-6","","-3","-2","","","","","","","","","","","","14","4","4","1"
"total_opex","89","","146","35","102","226","220","215","212","214","222","248","239","155","133","244","294","341","335","407","424","492","486"
"operating_income","-182","8810","-357","455","246","294","541","542","477","426","296","169","-304","170","-21","195","290","312","331","399","404","485","494"
"net_interest_income_normal","","","","","","62","35","-1","-17","-18","-7","-5","","-11","-13","-21","-66","-99","-83","-80","-87","-115","-120"
"other_nonoperating_income","1","-8810","-28","-22","-26","-14","-8","-9","126","164","-1","136","-473","153","67","73","172","55","-273","-173","-33","-536","-527"
"pretax_income","-181","","-385","433","220","342","568","532","586","572","288","300","-777","312","33","247","396","268","-25","146","284","-166","-153"
"income_tax","98","","96","-182","-129","-138","-212","-168","-191","-32","-86","-129","-421","-86","-84","193","-86","-59","-26","-111","-92","-95","-100"
"net_income_continuing","-83","","-289","251","91","204","356","364","395","540","202","171","-1198","226","-51","440","310","209","-51","35","192","-261","-253"
"net_income_discontinued","","9","11","30","87","120","11","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","-45","","-25","-41","-10","-22","-48","-74","-68","-60","-58","-96","-64","-23","-10","-8","-29","-7","-21","-8","-2","-4","-5"
"other_income_statement_items","36","-142","","","","","","","","","","","","","","","","","","","","",""
"net_income","-92","-133","-303","240","168","302","319","290","327","480","144","75","-1262","203","-61","432","281","202","-72","27","190","-265","-258"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","",""
