"Company: ","Kellanova (K:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","58.07","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Food Products","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","19918","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","24071","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","6086.7","7548.4","8304.1","8811.5","9613.9","10177","10907","11776","12822","12575","12397","13198","14197","14792","14580","13525","12965","12854","13547","13578","13770","11747","12653","13122","12269"
"cogs","3401.7","4211.4","4569","4898.9","5298.7","5612","6082","6597","7455","7184","7055","8046","8763","8689","9517","8844","8131","8155","8821","9197","9043","7929","8842","8839","8165"
"gross_profit","2685","3337","3735.1","3912.6","4315.2","4565","4825","5179","5367","5391","5342","5152","5434","6103","5063","4681","4834","4699","4726","4381","4727","3818","3811","4283","4104"
"sga","1608.7","2135.8","2227","2368.5","2634.1","2815","3059","3311","3414","3390","3305","3725","3872","3266","4039","3590","3351","3312","3020","2980","2966","2435","2600","2778","2646"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","1608.7","2135.8","2227","2368.5","2634.1","2815","3059","3311","3414","3390","3305","3725","3872","3266","4039","3590","3351","3312","3020","2980","2966","2435","2600","2778","2646"
"operating_income","1076.3","1201.2","1508.1","1544.1","1681.1","1750","1766","1868","1953","2001","2037","1427","1562","2837","1024","1091","1483","1387","1706","1401","1761","1383","1211","1505","1458"
"net_interest_income_normal","","","","","","","-307","-319","-308","-295","-248","-233","-261","-235","-209","-227","-406","-256","-287","-284","-281","-205","-168","-202","-205"
"other_nonoperating_income","-208.6","-397.1","-363.8","-374.6","-315.2","-325","13","-2","-14","-22","1","-10","24","4","10","-91","-143","526","-90","188","121","274","-141","-263","-246"
"pretax_income","867.7","804.1","1144.3","1169.5","1365.9","1425","1472","1547","1631","1684","1790","1184","1325","2606","825","773","934","1657","1329","1305","1601","1452","902","1040","1007"
