"Company: ","Kenvue Inc. (KVUE:US)","","","","",""
"Exchange: ","NYSE","","","","",""
"Last Close Price: ","18.65","","","","",""
"Industry: ","Personal Care Products","","","","",""
"Currency: ","USD","","","","",""
"Country: ","US","","","","",""
"Market Cap.: ","35711","","","","",""
"Enterprise Value: ","41589","","","","",""
"period_end_date","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","14324","14467","15054","14950","15444","15486"
"cogs","6662","6619","6635","6665","6801","6726"
"gross_profit","7662","7848","8419","8285","8643","8760"
"sga","5198","4956","5484","5633","6141","6212"
"rnd","","","","","",""
"special_charges","","","","","",""
"other_opex","65","-96","-99","-24","18","33"
"total_opex","5263","4860","5385","5609","6159","6245"
"operating_income","2399","2988","3034","2676","2484","2515"
"net_interest_income_normal","","","","","-250","-344"
"other_nonoperating_income","-279","-4004","-109","-39","-44","-163"
"pretax_income","2120","-1016","2925","2637","2190","2008"
"income_tax","-685","137","-847","-573","-526","-517"
"net_income_continuing","1435","-879","2078","2064","1664","1491"
"net_income_discontinued","","","","","",""
"income_allocated_to_minority_interest","","","","","",""
"other_income_statement_items","","","","","",""
"net_income","1435","-879","2078","2064","1664","1491"
"preferred_dividends","","","","","",""
"net_income_available_to_shareholders","1435","-879","2078","2064","1664","1491"
"eps_basic","0.76","-0.47","1.1","1.09","0.9","0.78"
"eps_diluted","0.76","-0.47","1.1","1.09","0.9","0.78"
"shares_basic","1888.973","1888.973","1888.973","1888.973","1846.135","1846.135"
"shares_diluted","1888.973","1888.973","1888.973","1888.973","1850.325","1850.325"
"cash_and_equiv","","618","740","1231","1382","1382"
"st_investments","","","","","",""
"receivables","","2130","2331","2297","2640","2640"
"inventories","","1685","1702","2226","1851","1851"
"other_current_assets","","162","154","123","265","265"
"total_current_assets","","4595","4927","5877","6138","6138"
"equity_and_other_investments","","","","","",""
"ppe_gross","","5969","5770","5700","6243","6243"
"accumulated_depreciation","","-4012","-3943","-3880","-4201","-4201"
"ppe_net","","1957","1827","1820","2042","2042"
"intangible_assets","","11610","10701","9853","9619","9619"
"goodwill","","10326","9810","9185","9271","9271"
"other_lt_assets","","689","664","581","781","781"
"total_assets","","29177","27929","27316","27851","27851"
"accounts_payable","","1579","1827","1829","2489","2489"
"tax_payable","","393","357","329","142","142"
"current_accrued_liabilities","","5270","1545","1461","1801","1801"
"st_debt","","","","","599","599"
"current_deferred_revenue","","","","","",""
"current_deferred_tax_liability","","","","","",""
"other_current_liabilities","","252","266","272","406","406"
"total_current_liabilities","","7494","4042","3926","5481","5481"
"lt_debt","","","","8930","7687","7687"
"noncurrent_capital_leases","","","82","81","97","97"
"pension_liabilities","","345","302","214","360","360"
"noncurrent_deferred_revenue","","1756","2430","2479","2621","2621"
"other_lt_liabilities","","1226","674","-8284","394","394"
"total_liabilities","","10821","7530","7346","16640","16640"
"common_stock","","","","","19","19"
"preferred_stock","","","","","",""
"retained_earnings","","","","","429","429"
"aoci","","-3572","-4473","-5455","-5377","-5377"
"apic","","","","","16147","16147"
"treasury_stock","","","","","-7","-7"
"other_equity","","21928","24872","25425","",""
"minority_interest_liability","","","","","",""
"total_equity","","18356","20399","19970","11211","11211"
"total_liabilities_and_equity","","29177","27929","27316","27851","27851"
"cfo_net_income","1435","-879","2078","2064","1664","1491"
"cfo_da","709","746","731","644","627","624"
"cfo_receivables","40","265","-303","-142","44","-103"
"cfo_inventory","180","109","-77","-582","349","269"
"cfo_prepaid_expenses","","","","","",""
"cfo_other_working_capital","584","3868","-2752","211","404","174"
"cfo_change_in_working_capital","804","4242","-3132","-513","797","340"
"cfo_deferred_tax","97","-801","521","180","-114","-146"
"cfo_stock_comp","102","115","141","137","188","234"
"cfo_other_noncash_items","-149","-26","-5","13","6","110"
"cf_cfo","2998","3397","334","2525","3168","2653"
"cfi_ppe_net","-289","-229","-295","-375","-469","-567"
"cfi_acquisitions_net","-1846","176","136","-10","",""
"cfi_investment_net","-20","-30","-12","-5","",""
"cfi_intangibles_net","","","","","",""
"cfi_other","","","","","-19","-32"
"cf_cfi","-2155","-83","-171","-390","-488","-599"
"cff_common_stock_net","","","","","4241","4150"
"cff_pfd_net","","","","","",""
"cff_debt_net","-40","-11","-7","14","8246","732"
"cff_dividend_paid","","","","","-766","-383"
"cff_other","-645","-3446","7","-1597","-14248","-14740"
"cf_cff","-685","-3457","","-1583","-2527","-10241"
"ebitda","3108","3734","3765","3320","3111","3139"
"capex","-289","-229","-295","-375","-469","-567"
"fcf","2709","3168","39","2150","2699","2086"
"book_value","","18356","20399","19970","11211","10621"
"tangible_book_value","","-3580","-112","932","-7679","-7789"
"roa","","-0.06","0.07000000000000001","0.07000000000000001","0.06","0.05"
"roe","","-0.1","0.11","0.1","0.11","0.1"
"roic","","-0.1","0.11","0.08","0.07000000000000001","0.06"
"roce","","0.28","0.13","0.11","0.11","0.09"
"rotce","","-23.62","1.94","0.6899999999999999","0.59","0.3"
"gross_margin","0.53","0.54","0.5600000000000001","0.55","0.5600000000000001","0.57"
"ebitda_margin","0.22","0.26","0.25","0.22","0.2","0.2"
"operating_margin","0.17","0.21","0.2","0.18","0.16","0.16"
"pretax_margin","0.15","-0.07000000000000001","0.19","0.18","0.14","0.13"
"net_income_margin","0.1","-0.06","0.14","0.14","0.11","0.1"
"fcf_margin","0.19","0.22","","0.14","0.17","0.13"
"assets_to_equity","","1.59","1.37","1.37","2.48","2.57"
"equity_to_assets","","0.63","0.73","0.73","0.4","0.39"
"debt_to_equity","","","","0.45","0.75","0.8100000000000001"
"debt_to_assets","","","","0.33","0.3","0.32"
"revenue_per_share","7.58","7.66","7.97","7.91","8.35","8.16"
"ebitda_per_share","1.65","1.98","1.99","1.76","1.68","1.65"
"operating_income_per_share","1.27","1.58","1.61","1.42","1.34","1.33"
"pretax_income_per_share","1.12","-0.54","1.55","1.4","1.18","1.06"
"fcf_per_share","1.43","1.68","0.02","1.14","1.46","1.1"
"book_value_per_share","","9.720000000000001","10.8","10.57","6.06","5.53"
"tangible_book_per_share","","-1.9","-0.06","0.49","-4.15","-4.06"
"payout_ratio","","","","","0.44","0.77"
"revenue_growth","","0.01","0.04","-0.01","0.03",""
"gross_profit_growth","","0.02","0.07000000000000001","-0.02","0.04",""
"ebitda_growth","","0.2","0.01","-0.12","-0.06",""
"operating_income_growth","","0.25","0.02","-0.12","-0.07000000000000001",""
"pretax_income_growth","","-1.48","3.88","-0.1","-0.17",""
"net_income_growth","","-1.61","3.36","-0.01","-0.19",""
"eps_diluted_growth","","-1.61","3.37","-0.01","-0.18",""
"shares_diluted_growth","","","","","-0.02",""
"cash_and_equiv_growth","","","0.2","0.66","0.12",""
"ppe_growth","","","-0.07000000000000001","","0.12",""
"total_assets_growth","","","-0.04","-0.02","0.02",""
"total_equity_growth","","","0.11","-0.02","-0.44",""
"cfo_growth","","0.13","-0.9","6.56","0.25",""
"capex_growth","","0.21","-0.29","-0.27","-0.25",""
"fcf_growth","","0.17","-0.99","54.13","0.26",""
"shares_eop","1888.973","1888.973","1888.973","1888.97","1915.41","1914.65"
"dividends","","","","","0.4","0.6"
"price_to_earnings","","","","","24.78","27.56"
"price_to_book","","","","","3.68","3.87"
"price_to_sales","","","","","2.67","2.65"
"price_to_tangible_book","","","","","-5.37","-5.28"
"price_to_fcf","","","","","15.28","19.7"
"market_cap","","","","","41238.7773","41088.389"
"period_end_price","","","","","21.53","21.53"
