"Company: ","Kimberly-Clark Corporation (KMB:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","138.42","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Household Products","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","47038","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","53346","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","13982","13287.6","13231.5","14026.3","15083.2","15902.6","16746.9","18266","19415","19115","19746","20846","19467","19561","19724","18591","18287","18348","18486","18450","19140","19440","20175","20431","20385"
"cogs","7636.8","8618","8537.700000000001","9231.9","10014.7","10827.4","11664.8","12562.1","13557","12695","13196","14694","13338","12952","13041","11967","11596","11761","12889","12415","12318","13452","13956","13399","13168"
"gross_profit","6345.2","4669.6","4693.8","4794.4","5068.5","5075.2","5082.1","5703.9","5858","6420","6550","6152","6129","6609","6683","6624","6691","6587","5597","6035","6822","5988","6219","7032","7217"
"sga","2864.8","2158.3","2251.8","2350.3","2510.9","2737.4","2948.3","3105.9","3291","3498","3673","3761","3757","3699","3709","3443","3300","3202","3367","3254","3632","3399","3581","3961","4076"
"rnd","277.4","295.3","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","673.4","-122.2","73.7","112.5","51.2","27.2","32.3","-18.4","20","97","104","-51","-5","7","453","1568","8","27","1","-210","-54","28","-43","69","73"
"total_opex","3815.6","2331.4","2325.5","2462.8","2562.1","2764.6","2980.6","3087.5","3311","3595","3777","3710","3752","3706","4162","5011","3308","3229","3368","3044","3578","3427","3538","4030","4149"
"operating_income","2529.6","2338.2","2368.3","2331.6","2506.4","2310.6","2101.5","2616.4","2547","2825","2773","2442","2377","2903","2521","1613","3383","3358","2229","2991","3244","2561","2681","3002","3068"
"net_interest_income_normal","","","","","","","","","","-249","-223","-259","-267","-262","-266","-278","-308","-308","-253","-250","-244","-250","-268","-227","-218"
"other_nonoperating_income","29.5","-173.8","-166.2","-255.3","-303","-341.7","-256.6","-298.9","-258","","","","","","","","-66","-59","-163","-91","-70","-86","-73","-754","-753"
"pretax_income","2559.1","2164.4","2202.1","2076.3","2203.4","1968.9","1844.9","2317.5","2289","2576","2550","2183","2110","2641","2255","1335","3009","2991","1813","2650","2930","2225","2340","2021","2097"
"income_tax","-758.5","-645.7","-629.9","-484.1","-483.9","-438.4","-469.2","-536.5","-618","-746","-788","-660","-660","-828","-856","-418","-922","-776","-471","-576","-676","-479","-495","-453","-464"
"net_income_continuing","1800.6","1518.7","1572.2","1592.2","1719.5","1530.5","1375.7","1781","1671","1830","1762","1523","1450","1813","1399","917","2087","2215","1342","2074","2254","1746","1845","1568","1633"
"net_income_discontinued","","","58.6","50.6","29.8","","","","","","","","201","203","50","","","","","","","","","",""
"income_allocated_to_minority_interest","-63.3","-63.2","-58.1","-55.6","-73.90000000000001","-86.5","-94.8","-128.1","-139","-110","-100","-93","-78","-79","-69","-53","-53","-41","-35","-40","-44","-30","-27","","-2"
