"Company: ","Kinsale Capital Group Inc (KNSL:US)","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","",""
"Last Close Price: ","385.48","","","","","","","","","","",""
"Industry: ","Insurance","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","",""
"Market Cap.: ","9118","","","","","","","","","","",""
"Enterprise Value: ","9166","","","","","","","","","","",""
"period_end_date","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"premiums_earned","45.122","58.996","74.322","133.816","176.053","212.688","282.981","412.754","582.879","794.119","1072.537","1144.897"
"net_investment_income","3.344","3.948","5.643","7.211","10.569","9.132999999999999","32.522","42.965","53.86","23.193","117.425","144.289"
"fees_and_other_income","0.018","0.732","0.631","0.588","0.154","0.293","0.385","4.167","16.733","21.492","34.487","44.909"
"revenue","48.484","63.676","80.596","141.615","186.776","222.114","315.888","459.886","653.472","838.804","1224.449","1334.095"
"sga","","","","","","","","","","","",""
"net_policyholder_claims_expense","28.89","41.108","42.238","70.961","103.68","128.041","169.563","263.802","324.415","457.913","600.2190000000001","647.971"
"policy_acquisition_expense","","","","","","","","","","","",""
"interest_expense_insurance","","","","","","","","0.168","0.994","4.284","10.301","10.153"
"operating_income","12.103","19.473","33.557","39.536","38.521","40.48","76.051","100.413","188.801","195.564","384.017","431.491"
"pretax_income","12.103","19.473","33.557","39.536","38.521","40.48","76.051","100.413","188.801","195.564","384.017","431.491"
"income_tax","0.164","-6.5","-11.284","-13.369","-13.62","-6.693","-12.735","-11.994","-36.142","-36.45","-75.92400000000001","-80.25700000000001"
"net_income_continuing","12.267","12.973","22.273","26.167","24.901","33.787","63.316","88.419","152.659","159.114","308.093","351.234"
"net_income_discontinued","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","",""
"net_income","12.267","12.973","22.273","26.167","24.901","33.787","63.316","88.419","152.659","159.114","308.093","351.234"
