"Company: ","Kohls Corp (KSS:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","23.98","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Broadline Retail","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","2724","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","4134","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2001-01","2002-01","2003-01","2004-01","2005-01","2006-01","2007-01","2008-01","2009-01","2010-01","2011-01","2012-01","2013-01","2014-01","2015-01","2016-01","2017-01","2018-01","2019-01","2020-01","2021-01","2022-01","2023-01","2024-01","TTM"
"revenue","6151.996","7488.654","9120.287","10282.094","11700.619","13444.397","15596.91","16474","16389","17178","18391","18804","19279","19031","19023","19204","19681","20084","20229","19974","15955","19433","18098","17476","17287"
"cogs","4049.852","4923.527","5981.219","6887.033","7586.992","8664.076999999999","9922.073","10460","10334","10680","11359","11625","12289","12087","12098","12265","11944","12176","12199","12140","10360","11437","11457","10498","10374"
"gross_profit","2102.144","2565.127","3139.068","3395.061","4113.627","4780.32","5674.837","6014","6055","6498","7032","7179","6990","6944","6925","6939","7737","7908","8030","7834","5595","7996","6641","6978","6913"
"sga","1317.556","1557.987","1867.905","2148.701","2632.127","3025.223","3472.362","3758","3978","3951","4190","4243","4267","4313","4350","4452","5430","5501","5601","5705","5021","5478","5587","5512","5502"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","133.273","157.165","193.497","239.558","288.173","338.916","387.674","452","541","688","750","778","833","889","886","934","938","991","964","917","874","838","808","749","749"
"total_opex","1450.829","1715.152","2061.402","2388.259","2920.3","3364.139","3860.036","4210","4519","4639","4940","5021","5100","5202","5236","5386","6368","6492","6565","6622","5895","6316","6395","6261","6251"
"operating_income","651.3150000000001","849.975","1077.666","1006.802","1193.327","1416.181","1814.801","1804","1536","1859","2092","2158","1890","1742","1689","1553","1369","1416","1465","1212","-300","1680","246","717","662"
"net_interest_income_normal","","","","","","","","","-111","-301","-304","-299","-329","-338","-340","-327","-308","-299","-256","-207","-284","-260","-304","-344","-343"
"other_nonoperating_income","-46.201","-50.111","-56.009","-72.931","-62.452","-70.39100000000001","-40.356","-62","","","","","","","","-169","-186","","-167","-104","38","-201","","",""
"pretax_income","605.114","799.864","1021.657","933.871","1130.875","1345.79","1774.445","1742","1425","1558","1788","1859","1561","1404","1349","1057","875","1117","1042","901","-546","1219","-58","373","319"
"income_tax","-232.966","-304.188","-386.187","-352.974","-427.474","-503.83","-665.764","-658","-540","-585","-668","-692","-575","-515","-482","-384","-319","-258","-241","-210","383","-281","39","-56","-43"
"net_income_continuing","372.148","495.676","635.47","580.897","703.401","841.96","1108.681","1084","885","973","1120","1167","986","889","867","673","556","859","801","691","-163","938","-19","317","276"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","","-5.6843418860808E-14","","1.1368683772162E-13","-1.1368683772162E-13","","","","","","","","","","","","","","","","","","","",""
"net_income","372.148","495.676","635.47","580.897","703.401","841.96","1108.681","1084","885","973","1120","1167","986","889","867","673","556","859","801","691","-163","938","-19","317","276"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","372.148","495.676","635.47","580.897","703.401","841.96","1108.681","1084","885","973","1120","1167","986","889","867","673","556","859","801","691","-163","938","-19","317","276"
"eps_basic","1.13","1.48","1.89","1.61","2.06","2.45","3.34","3.41","2.89","3.19","3.69","4.33","4.19","4.08","4.28","3.48","3.12","5.14","4.88","4.39","-1.06","6.41","-0.15","2.88","2.51"
"eps_diluted","1.1","1.45","1.85","1.59","2.04","2.43","3.31","3.39","2.89","3.17","3.66","4.3","4.17","4.05","4.24","3.46","3.11","5.12","4.84","4.37","-1.06","6.32","-0.15","2.85","2.48"
"shares_basic","333.113","335.138","336.676","360.806","341.457","343.657","331.94","318","306","305","304","270","235","218","203","193","178","167","164","157","154","146","120","110","110"
"shares_diluted","333.113","335.138","346.728","365.344","344.804","346.486","334.949","320","307","306","306","271","237","220","204","195","179","168","165","158","154","148","120","111","111"
"cash_and_equiv","123.621","106.722","90.08499999999999","112.748","116.717","126.839","189.17","181","643","2267","2277","1205","537","971","1407","707","1074","1308","934","723","2271","1587","153","183","183"
"st_investments","48.6","229.377","475.991","34.285","88.767","160.077","431.23","483","","","","","","","","","","","","","","","","",""
"receivables","681.256","835.946","990.8099999999999","1150.157","1389.632","1652.065","","","","","","","","","","","","","","197","789","190","210","167","167"
"inventories","1003.29","1198.307","1626.996","1606.99","1946.977","2237.568","2578.378","2856","2799","2923","3036","3216","3748","3874","3814","4038","3795","3542","3475","3537","2590","3067","3189","2880","2880"
"other_current_assets","65.13","93.69199999999999","100.407","120.716","101.344","90.004","195.109","204","286","295","332","408","434","469","359","331","378","530","426","192","185","179","184","180","180"
"total_current_assets","1921.897","2464.044","3284.289","3024.896","3643.437","4266.553","3393.887","3724","3728","5485","5645","4829","4719","5314","5580","5076","5247","5380","4835","4649","5835","5023","3736","3410","3410"
"equity_and_other_investments","","","","","","","","","333","321","277","153","53","","","","","","","","","","","",""
"ppe_gross","2111.938","2689.982","3356.284","4099.712","4973.151","5858.002","7006.709","8540","9449","12119","10604","13462","13980","14124","14405","14518","14891","15179","15390","16745","16670","17613","17511","17433","17433"
"accumulated_depreciation","-385.488","-490.488","-616.994","-783.226","-985.206","-1241.699","-1653.735","-2030","-2465","-3613","-3348","-4557","-5108","-5379","-5890","-6210","-6788","-7406","-7962","-7002","-7583","-8061","-7281","-7214","-7214"
"ppe_net","1726.45","2199.494","2739.29","3316.486","3987.945","4616.303","5352.974","6510","6984","8506","7256","8905","8872","8745","8515","8308","8103","7773","7428","9743","9087","9552","10230","10219","10219"
"intangible_assets","14.538","9.337999999999999","189.758","244.829","9.337999999999999","212.378","219.284","210","201","","193","","","","","","","","","","","1318.67","1345.79","",""
"goodwill","","","","","","9.34","9.34","9","","","","","","","","","","","","","","","","",""
"other_lt_assets","192.269","256.71","102.361","104.539","338.579","48.92","58.538999999999","107","117","153","193","261","261","298","238","222","224","236","206","163","415","-839.67","-966.79","380","380"
"total_assets","3855.154","4929.586","6315.698","6690.75","7979.299","9153.494000000001","9034.023999999999","10560","11363","14465","13564","14148","13905","14357","14333","13606","13574","13389","12469","14555","15337","15054","14345","14009","14009"
"accounts_payable","399.939","478.87","650.731","532.599","704.655","829.971","934.376","836","881","1188","1138","1233","1307","1365","1511","1251","1507","1271","1187","1206","1476","1683","1330","1134","1134"
"tax_payable","","","","","","","","","105","184","127","299","290","282","263","314","295","250","224","182","206","287","196","202","202"
"current_accrued_liabilities","188.863","259.598","359.842","441.961","570.7569999999999","642.091","725.025","798","841","1005","1027","981","833","676","668","699","712","732","874","765","725","700","668","672","672"
"st_debt","21.568","16.418","355.464","12.529","3.464","107.941","18.841","13","","78","418","","","","","","","","","","","","360","92","92"
"current_deferred_revenue","","","","","","","","","","","","","","296","307","323","329","330","330","334","339","353","356","327","327"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","112.927","125.085","142.15","135.527","177.182","166.908","233.263","124","","","","","","","","","","","","","","","","",""
"total_current_liabilities","723.297","879.971","1508.187","1122.616","1456.058","1746.911","1911.505","1771","1844","2455","2710","2607","2535","2758","2859","2714","2974","2709","2730","2769","3022","3286","3115","2612","2612"
"lt_debt","803.081","1095.42","1058.784","1075.973","1103.441","1046.104","1040.057","2052","2053","3862","1678","2141","2492","2792","2780","2792","2795","2797","1861","1856","2451","1910","1637","1638","1638"
"noncurrent_capital_leases","","","","","","","","","","","","2009","1956","1930","1858","1789","1685","1591","1523","3986","4012","4612","5364","5461","5461"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","84.256","114.228","171.951","209.893","229.381","217.801","243.53","262","320","214","418","423","362","339","298","257","272","211","184","260","302","206","129","107","107"
"other_lt_liabilities","41.881","48.561","64.85899999999999","133.759","156.521","185.34","235.537","373","407","339","656","460","512","560","547","563","671","662","644","234","354","379","337","298","298"
