"Company: ","Kraft Heinz Co (KHC:US)","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","",""
"Last Close Price: ","32.8","","","","","","","","","","","","","",""
"Industry: ","Food Products","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","",""
"Market Cap.: ","40205","","","","","","","","","","","","","",""
"Enterprise Value: ","58502","","","","","","","","","","","","","",""
"period_end_date","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","17797","18576","18271","18218","18205","18338","26300","26076","26268","24977","26185","26042","26485","26640","26562"
"cogs","11777","12813","12499","11395","13360","12577","17154","17043","17347","16830","17008","17360","18363","17714","17506"
"gross_profit","6020","5763","5772","6823","4845","5761","9146","9033","8921","8147","9177","8682","8122","8926","9056"
"sga","3063","2937","2961","2124","2956","3122","3527","2927","3150","3006","3449","3374","3440","3759","3822"
"rnd","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","","",""
"total_opex","3063","2937","2961","2124","2956","3122","3527","2927","3150","3006","3449","3374","3440","3759","3822"
"operating_income","2957","2826","2811","4699","1889","2639","5619","6106","5771","5141","5728","5308","4682","5167","5234"
"net_interest_income_normal","-3","-4","-258","-501","-484","-1321","-1134","-1234","-1249","-1325","-1367","-2032","-894","-872","-861"
"other_nonoperating_income","48","54","-100","-108","1","-305","454","578","-15843","-1155","-3331","-1568","-822","-662","-762"
"pretax_income","3002","2876","2453","4090","1406","1013","4939","5450","-11321","2661","1030","1708","2966","3633","3611"
"income_tax","-1112","-1101","-811","-1375","-363","-366","-1333","5482","1067","-728","-669","-684","-598","-787","-798"
"net_income_continuing","1890","1775","1642","2715","1043","647","3606","10932","-10254","1933","361","1024","2368","2846","2813"
"net_income_discontinued","1644","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","-13","-10","9","62","2","-5","-12","-5","9","7"
"other_income_statement_items","","","","","","","","","","","","","","",""
"net_income","3534","1775","1642","2715","1043","634","3596","10941","-10192","1935","356","1012","2363","2855","2820"
"preferred_dividends","","","","","","900","180","","","","","","","",""
"net_income_available_to_shareholders","3534","1775","1642","2715","1043","-266","3416","10941","-10192","1935","356","1012","2363","2855","2820"
"eps_basic","5.98","3","2.77","4.55","1.75","-0.34","2.81","8.98","-8.359999999999999","1.59","0.29","0.83","1.93","2.33","2.3"
"eps_diluted","5.98","3","2.75","4.51","1.74","-0.34","2.78","8.91","-8.359999999999999","1.58","0.29","0.82","1.91","2.31","2.29"
"shares_basic","591","591","591","594","593","786","1217","1218","1219","1221","1223","1224","1226","1227","1227"
"shares_diluted","591","591","596","599","598","786","1226","1228","1219","1224","1228","1224","1235","1235","1235"
"cash_and_equiv","","","1255","1686","1293","4837","4204","1629","1130","2279","3417","3445","1040","1400","1400"
"st_investments","","","","","","","","","","","","","","",""
"receivables","","903","1089","1048","1080","1454","1158","1812","2281","1973","2063","1957","2120","2112","2112"
"inventories","","1943","1928","1616","1775","2618","2684","2760","2667","2721","2773","2729","3651","3614","3614"
"other_current_assets","","426","551","558","643","871","707","1000","2997","1124","2569","863","1086","803","803"
"total_current_assets","","3272","4823","4908","4791","9780","8753","7201","9075","8097","10822","8994","7897","7929","7929"
"equity_and_other_investments","","","","","","","","","","","","","","",""
"ppe_gross","","8169","8402","7822","8043","7430","8518","9150","9662","10242","10439","10674","10952","11925","11925"
"accumulated_depreciation","","-3891","-4198","-3707","-3851","-906","-1830","-2089","-2584","-3187","-3563","-3868","-4212","-4803","-4803"
"ppe_net","","4278","4204","4115","4192","6524","6688","7061","7078","7055","6876","6806","6740","7122","7122"
"intangible_assets","","2630","2228","2229","2234","62120","59297","59432","49468","48652","46667","43542","42649","42448","42448"
"goodwill","","11316","11599","11505","11404","43051","44125","44825","36503","35546","33089","31296","30833","30459","30459"
"other_lt_assets","","43","325","391","326","1498","1617","1573","1337","2100","2376","2756","2394","2381","2381"
"total_assets","","21539","23179","23148","22947","122973","120480","120092","103461","101450","99830","93394","90513","90339","90339"
"accounts_payable","","1447","1556","1548","1537","2844","3996","4362","4153","4003","4304","4753","4848","4627","4627"
"tax_payable","","","","","","417","255","","","","114","541","136","",""
"current_accrued_liabilities","","575","740","685","511","1257","1164","1108","1130","1031","1304","1072","1013","991","991"
"st_debt","","8","","4","1405","83","2691","3195","398","1028","236","754","837","638","638"
"current_deferred_revenue","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","",""
"other_current_liabilities","","542","1310","1173","1320","2331","1395","1489","1822","1813","2103","1944","2194","1781","1781"
"total_current_liabilities","","2572","3606","3410","4773","6932","9501","10154","7503","7875","8061","9064","9028","8037","8037"
"lt_debt","","27","9966","9976","8627","25151","29713","28308","30770","28216","28070","21061","19233","19394","19394"
"noncurrent_capital_leases","","","","","","","","","","","","","","",""
"pension_liabilities","","117","5492","3485","4504","2405","2038","427","306","273","243","205","144","143","143"
"noncurrent_deferred_revenue","","1594","138","662","340","21497","20848","14039","12202","11878","11468","12070","11629","11625","11625"
"other_lt_liabilities","","641","405","428","338","752","806","1088","902","1459","1745","1542","1609","1418","1418"
"total_liabilities","","4951","19607","17961","18582","56737","62906","54016","51683","49701","49587","43942","41643","40617","40617"
"common_stock","","","","","","12","12","12","12","12","12","12","12","12","12"
"preferred_stock","","","","","","8320","","","","","","","","",""
"retained_earnings","","","-206","1281","1045","","588","8495","-4853","-3060","-2694","-1682","489","1367","1367"
"aoci","","-125","-460","-499","-562","-671","-1628","-1054","-1943","-1886","-1967","-1824","-2810","-2604","-2604"
"apic","","","4240","4434","4678","58375","58593","58634","58723","56828","55096","53379","51834","52037","52037"
"treasury_stock","","","-2","-29","-796","-31","-207","-224","-282","-271","-344","-587","-847","-1286","-1286"
"other_equity","","16713","","","","","","","","","","","","",""
"minority_interest_liability","","","","","","231","216","213","121","126","140","154","192","196","196"
"total_equity","","16588","3572","5187","4365","66236","57574","66076","51778","51749","50243","49452","48870","49722","49722"
"total_liabilities_and_equity","","21539","23179","23148","22947","122973","120480","120092","103461","101450","99830","93394","90513","90339","90339"
"cfo_net_income","1938","1775","1642","2715","1043","647","3606","10932","-10254","1933","361","1024","2368","2846","2813"
"cfo_da","354","364","428","393","385","740","1337","1031","983","994","969","910","933","961","971"
"cfo_receivables","-80","238","220","35","-22","-915","-2055","-2629","-2280","140","-26","87","-228","18","24"
"cfo_inventory","-69","-169","21","235","-53","25","-130","-236","-251","-307","-249","-144","-1121","-106","244"
"cfo_prepaid_expenses","","","","","","","","","","","","","","",""
"cfo_other_working_capital","-1350","144","-210","-713","-475","257","690","-499","468","-68","733","463","-134","-718","-806"
"cfo_change_in_working_capital","-1499","213","31","-443","-550","-633","-1495","-3364","-2063","-235","458","406","-1483","-806","-538"
"cfo_deferred_tax","-74","41","470","708","-361","-317","-72","-6495","-1967","-293","-343","-1042","-278","17","21"
"cfo_stock_comp","49","51","54","65","95","133","46","46","33","46","156","197","148","141","141"
"cfo_other_noncash_items","60","220","410","-1395","1408","702","-774","-1649","15842","1107","3328","3869","781","817","853"
"cf_cfo","828","2664","3035","2043","2020","1272","2648","501","2574","3552","4929","5364","2469","3976","4261"
"cfi_ppe_net","-448","-401","18","131","2","-648","-1247","-1194","-826","-768","-596","-905","-916","-1013","-1041"
"cfi_acquisitions_net","3698","","","","","-9468","","","-230","1676","","4940","-393","","-3"
"cfi_investment_net","","","","","","488","91","6","24","590","25","-28","208","31",""
"cfi_intangibles_net","","","","","","","","","","","","","","",""
"cfi_other","","","-440","-557","-537","1319","2608","2365","1320","13","49","31","10","66","105"
"cf_cfi","3250","-401","-422","-426","-535","-8309","1452","1177","288","1511","-522","4038","-1091","-916","-939"
"cff_common_stock_net","","","","","-740","10000","","","","","","-271","-280","-455","-329"
"cff_pfd_net","","","","","","","-8320","","","","","","","",""
"cff_debt_net","-9","-9","5963","","","2415","7533","-1351","-152","-1927","-1313","-7126","-1455","-191","402"
"cff_dividend_paid","","","","-1207","-1266","-2202","-3764","-2888","-3183","-1953","-1958","-1959","-1960","-1965","-1960"
"cff_other","-4069","-2256","-7321","36","140","-166","-69","18","-28","-33","-60","12","-19","-67","-591"
"cf_cff","-4078","-2265","-1358","-1171","-1866","10047","-4620","-4221","-3363","-3913","-3331","-9344","-3714","-2678","-2478"
"ebitda","3311","3190","3239","5092","2274","3379","6956","7137","6754","6135","6697","6218","5615","6128","6205"
"capex","-448","-401","18","131","2","-648","-1247","-1194","-826","-768","-596","-905","-916","-1013","-1041"
"fcf","380","2263","3053","2174","2022","624","1401","-693","1748","2784","4333","4459","1553","2963","3220"
"book_value","","16588","3572","5187","4365","57916","57574","66076","51778","51749","50243","49452","48870","49722","49688"
"tangible_book_value","","2642","-10255","-8547","-9273","-47255","-45848","-38181","-34193","-32449","-29513","-25386","-24612","-23185","-22998"
"roa","","0.16","0.07000000000000001","0.12","0.05","0.01","0.03","0.09","-0.09","0.02","","0.01","0.03","0.03","0.03"
"roe","","0.21","0.16","0.62","0.22","0.02","0.06","0.18","-0.17","0.04","0.01","0.02","0.05","0.06","0.06"
"roic","","0.21","0.11","0.19","0.07000000000000001","0.01","0.04","0.12","-0.11","0.02","","0.01","0.03","0.04","0.04"
"roce","","0.3","0.15","0.24","0.1","0.04","0.05","0.05","0.06","0.05","0.06","0.06","0.06","0.06","0.06"
"rotce","","1.12","0.52","0.8","0.32","0.31","0.53","0.64","0.6","0.49","0.51","0.47","0.49","0.55","0.52"
"gross_margin","0.34","0.31","0.32","0.37","0.27","0.31","0.35","0.35","0.34","0.33","0.35","0.33","0.31","0.34","0.34"
"ebitda_margin","0.19","0.17","0.18","0.28","0.12","0.18","0.26","0.27","0.26","0.25","0.26","0.24","0.21","0.23","0.23"
"operating_margin","0.17","0.15","0.15","0.26","0.1","0.14","0.21","0.23","0.22","0.21","0.22","0.2","0.18","0.19","0.2"
"pretax_margin","0.17","0.15","0.13","0.22","0.08","0.06","0.19","0.21","-0.43","0.11","0.04","0.07000000000000001","0.11","0.14","0.14"
"net_income_margin","0.2","0.1","0.09","0.15","0.06","0.03","0.14","0.42","-0.39","0.08","0.01","0.04","0.09","0.11","0.11"
"fcf_margin","0.02","0.12","0.17","0.12","0.11","0.03","0.05","-0.03","0.07000000000000001","0.11","0.17","0.17","0.06","0.11","0.12"
"assets_to_equity","","1.3","6.49","4.46","5.26","1.86","2.09","1.82","2","1.96","1.99","1.89","1.85","1.82","1.82"
"equity_to_assets","","0.77","0.15","0.22","0.19","0.54","0.48","0.55","0.5","0.51","0.5","0.53","0.54","0.55","0.55"
"debt_to_equity","","","2.79","1.92","2.3","0.38","0.5600000000000001","0.48","0.6","0.57","0.5600000000000001","0.44","0.41","0.4","0.41"
"debt_to_assets","","","0.43","0.43","0.44","0.21","0.27","0.26","0.3","0.29","0.28","0.23","0.22","0.22","0.23"
"revenue_per_share","30.11","31.43","30.66","30.41","30.44","23.33","21.45","21.23","21.55","20.41","21.32","21.28","21.45","21.57","21.56"
"ebitda_per_share","5.6","5.4","5.43","8.5","3.8","4.3","5.67","5.81","5.54","5.01","5.45","5.08","4.55","4.96","5.04"
"operating_income_per_share","5","4.78","4.72","7.84","3.16","3.36","4.58","4.97","4.73","4.2","4.66","4.34","3.79","4.18","4.25"
"pretax_income_per_share","5.08","4.87","4.12","6.83","2.35","1.29","4.03","4.44","-9.289999999999999","2.17","0.84","1.4","2.4","2.94","2.93"
"fcf_per_share","0.64","3.83","5.12","3.63","3.38","0.79","1.14","-0.5600000000000001","1.43","2.27","3.53","3.64","1.26","2.4","2.61"
"book_value_per_share","","28.07","5.99","8.66","7.3","73.68000000000001","46.96","53.81","42.48","42.28","40.91","40.4","39.57","40.26","40.63"
