"Company: ","Kyndryl Holdings Inc (KD:US)","","","","","",""
"Exchange: ","NYSE","","","","","",""
"Last Close Price: ","25.54","","","","","",""
"Industry: ","IT Services","","","","","",""
"Currency: ","USD","","","","","",""
"Country: ","US","","","","","",""
"Market Cap.: ","5871","","","","","",""
"Enterprise Value: ","7430","","","","","",""
"period_end_date","2018-12","2019-12","2020-12","2021-03","2023-03","2024-03","TTM"
"revenue","21796","20279","19352","18657","17026","16052","16052"
"cogs","19238","17682","17137","16550","14498","13189","13189"
"gross_profit","2558","2597","2215","2107","2528","2863","2863"
"sga","2924","2970","2948","2776","2914","2773","2773"
"rnd","69","","76","","","",""
"special_charges","","","","","","",""
"other_opex","","","-76","","","",""
"total_opex","2993","2970","2948","2776","2914","2773","2773"
"operating_income","-435","-373","-733","-669","-386","90","90"
"net_interest_income_normal","-85","-76","-63","-64","-94","-122","-122"
"other_nonoperating_income","-110","-130","-964","-1170","-371","-136","-136"
"pretax_income","-630","-579","-1760","-1903","-851","-168","-168"
"income_tax","-350","-364","-247","-402","-524","-172","-172"
"net_income_continuing","-980","-943","-2007","-2305","-1375","-340","-340"
"net_income_discontinued","","","","","","",""
"income_allocated_to_minority_interest","","","","","","",""
"other_income_statement_items","","","","1","1","",""
"net_income","-980","-943","-2007","-2304","-1374","-340","-340"
"preferred_dividends","","","","","","",""
"net_income_available_to_shareholders","-980","-943","-2007","-2304","-1374","-340","-340"
"eps_basic","-4.38","-4.21","-8.960000000000001","-10.28","-6.06","-1.48","-1.48"
"eps_diluted","-4.38","-4.21","-8.960000000000001","-10.28","-6.06","-1.48","-1.48"
"shares_basic","223.92","223.92","223.92","224.1","226.7","229.2","229.2"
"shares_diluted","223.92","223.92","223.92","224.1","226.7","229.2","229.2"
"cash_and_equiv","","36","24","","1847","1553","1553"
"st_investments","","","","","","",""
"receivables","","1790","1444","","1523","1599","1599"
"inventories","","","","","","",""
"other_current_assets","","1325","1375","","1593","1595","1595"
"total_current_assets","","3151","2843","","4963","4747","4747"
"equity_and_other_investments","","","","","","",""
"ppe_gross","","14206","14599","","10981","10164","10164"
"accumulated_depreciation","","-8863","-9478","","-7237","-6626","-6626"
"ppe_net","","5343","5121","","3744","3538","3538"
"intangible_assets","","89","59","","171","188","188"
"goodwill","","1162","1230","","812","805","805"
"other_lt_assets","","1999","1952","","1774","1312","1312"
"total_assets","","11744","11205","","11464","10590","10590"
"accounts_payable","","826","919","","1774","1408","1408"
"tax_payable","","","","","347","327","327"
"current_accrued_liabilities","","359","279","","895","963","963"
"st_debt","","","","","110","126","126"
"current_deferred_revenue","","896","854","","820","825","825"
"current_deferred_tax_liability","","","","","","",""
"other_current_liabilities","","957","1456","","606","655","655"
"total_current_liabilities","","3408","3910","","4868","4589","4589"
"lt_debt","","","140","","3111","3112","3112"
"noncurrent_capital_leases","","990","850","","707","622","622"
"pension_liabilities","","489","550","","504","500","500"
"noncurrent_deferred_revenue","","695","621","","545","459","459"
"other_lt_liabilities","","214","204","","267","186","186"
"total_liabilities","","5796","6275","","10002","9468","9468"
"common_stock","","7112","5972","","4428","4524","4524"
"preferred_stock","","","","","","",""
"retained_earnings","","","","","-1978","-2319","-2319"
"aoci","","-1220","-1100","","-1062","-1145","-1145"
"apic","","","","","","",""
"treasury_stock","","","","","-23","-45","-45"
"other_equity","","","","","","",""
"minority_interest_liability","","56","58","","97","107","107"
"total_equity","","5948","4930","","1462","1122","1122"
"total_liabilities_and_equity","","11744","11205","","11464","10590","10590"
"cfo_net_income","-980","-943","-2007","-2304","-1374","-340","-340"
"cfo_da","1525","1927","1898","1664","1374","1183","1183"
"cfo_receivables","220","23","387","-1076","664","11","11"
"cfo_inventory","","","","","","",""
"cfo_prepaid_expenses","","","","","","",""
"cfo_other_working_capital","-2210","-2001","-1725","-392","-1955","-2312","-2312"
"cfo_change_in_working_capital","-1990","-1978","-1338","-1468","-1291","-2301","-2301"
"cfo_deferred_tax","40","-33","-52","-401","285","-13","-13"
"cfo_stock_comp","57","51","64","71","113","95","95"
"cfo_other_noncash_items","2022","2110","2063","2319","1674","1830","1830"
"cf_cfo","674","1134","628","-119","781","454","454"
"cfi_ppe_net","-1449","-1127","84","194","23","138","138"
"cfi_acquisitions_net","","","","","","",""
"cfi_investment_net","","","","","","",""
"cfi_intangibles_net","","","","","","",""
"cfi_other","-2","-1","-1037","-766","-858","-691","-691"
"cf_cfi","-1451","-1128","-953","-572","-835","-553","-553"
"cff_common_stock_net","","","","-1","-19","-22","-22"
"cff_pfd_net","","","","","","",""
"cff_debt_net","","-18","-66","2947","-118","-150","-150"
"cff_dividend_paid","","","","","","",""
"cff_other","791","18","378","-31","-4","2","2"
"cf_cff","791","","312","2915","-141","-170","-170"
"ebitda","1090","1554","1165","995","988","1273","1273"
"capex","-1449","-1127","84","194","23","138","138"
"fcf","-775","7","712","75","804","592","592"
"book_value","","5948","4930","","1462","1122","1122"
"tangible_book_value","","4697","3641","","479","129","129"
"roa","","-0.16","-0.17","-0.41","-0.24","-0.03","-0.03"
"roe","","-0.32","-0.37","-0.93","-1.88","-0.26","-0.26"
"roic","","-0.27","-0.31","-0.77","-0.5","-0.06","-0.06"
"roce","","-0.09","-0.09","-0.18","-0.12","0.01","0.01"
"rotce","","-0.11","-0.11","-0.22","-0.13","0.02","0.02"
"gross_margin","0.12","0.13","0.11","0.11","0.15","0.18","0.18"
"ebitda_margin","0.05","0.08","0.06","0.05","0.06","0.08","0.08"
"operating_margin","-0.02","-0.02","-0.04","-0.04","-0.02","0.01","0.01"
"pretax_margin","-0.03","-0.03","-0.09","-0.1","-0.05","-0.01","-0.01"
"net_income_margin","-0.04","-0.05","-0.1","-0.12","-0.08","-0.02","-0.02"
"fcf_margin","-0.04","","0.04","","0.05","0.04","0.04"
"assets_to_equity","","1.97","2.27","","7.84","9.44","9.44"
"equity_to_assets","","0.51","0.44","","0.13","0.11","0.11"
"debt_to_equity","","0.17","0.2","","2.69","3.44","3.44"
"debt_to_assets","","0.08","0.09","","0.34","0.36","0.36"
"revenue_per_share","97.34","90.56","86.42","83.25","75.09999999999999","70.03","70.03"
