"Company: ","LKQ Corporation (LKQ:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","41.49","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Distributors","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","11196","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","15013","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","226.304","250.462","287.125","327.974","424.756","547.3920000000001","789.381","1126.825","1908.532","2047.942","2469.881","3269.862","4122.93","5062.528","6740.064","7192.633","8584.031000000001","9736.909","11876.674","12506.109","11628.83","13089","12794","13866","14220"
"cogs","119.313","132.52","154.574","174.238","227.14","289.788","431.832","621.076","1064.706","1120.129","1376.401","1877.869","2398.79","2987.126","4088.151","4359.104","5232.328","5937.286","7301.817","7654.315","7035.559","7767","7571","8291","8565"
"gross_profit","106.991","117.942","132.551","153.736","197.616","257.604","357.549","505.749","843.826","927.813","1093.48","1391.993","1724.14","2075.402","2651.913","2833.529","3351.703","3799.623","4574.857","4851.794","4593.271","5322","5223","5575","5655"
"sga","21.889","64.259","106.693","122.231","155.837","196.088","268.56","365.605","611.753","659.698","522.946","679.568","871.426","1028.999","1340.229","1431.23","2359.11","2715.407","3352.731","3580.3","3266.065","3568","3544","3870","3983"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","80.48699999999999","40.571","5.014","5.446","6.872","8.574","11.823","17.099","30.204","34.113","271.989","343.352","412.01","506.05","647.01","678.1609999999999","191.433","219.546","274.213","290.77","272.292","260","237","283","314"
"total_opex","102.376","104.83","111.707","127.677","162.709","204.662","280.383","382.704","641.957","693.811","794.9349999999999","1022.92","1283.436","1535.049","1987.239","2109.391","2550.543","2934.953","3626.944","3871.07","3538.357","3828","3781","4153","4297"
"operating_income","4.615","13.112","20.844","26.059","34.907","52.942","77.166","123.045","201.869","234.002","298.545","369.073","440.704","540.353","664.674","724.138","801.16","864.67","947.913","980.724","1054.914","1494","1442","1422","1358"
"net_interest_income_normal","","","","","","","","","-35.522","-30.899","-27.752","-21.775","-27.143","-49.054","-61.656","-55.597","-86.01600000000001","-77.91500000000001","-120.873","-70.063","-128.19","-51","-63","-170","-201"
"other_nonoperating_income","-4.856","-4.943","-2.576","-1.906","-1.05","-1.259","-4.345","-14.774","-7.214","2.214","-0.668","-11.527","-4.394","-15.472","-15.13","-19.511","-37.863","-20.128","-83.60899999999999","-119.639","-41.729","-44","139","-17","-52"
"pretax_income","-0.241","8.169","18.268","24.153","33.857","51.683","72.821","108.271","159.133","205.317","270.125","335.771","409.167","475.827","587.888","649.03","677.2809999999999","766.627","743.431","791.022","884.995","1399","1518","1235","1105"
"income_tax","-0.637","","-7.263","-9.577","-13.284","-20.796","-28.426","-42.37","-62.041","-78.18000000000001","-103.007","-125.507","-147.942","-164.204","-204.264","-219.703","-220.566","-235.56","-191.395","-215.33","-249.498","-331","-385","-306","-283"
"net_income_continuing","-0.878","8.169","11.005","14.576","20.573","30.887","44.395","65.901","97.092","127.137","167.118","210.264","261.225","311.623","383.624","429.327","456.715","531.067","552.0359999999999","575.692","635.497","1068","1133","929","822"
"net_income_discontinued","","","","","","","","","2.807","0.384","1.953","","","","","","7.852","-6.746","-4.397","1.619","-0.095","1","6","-6","-6"
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","3.516","-3.05","-3.774","-1.991","-1","-1","-2","-2"
"other_income_statement_items","","-3.939","-49.899","1.7763568394003E-15","","","7.105427357601E-15","-1.4210854715202E-14","-1.4210854715202E-14","","","","5.6843418860808E-14","","-2.105","-6.104","-0.59199999999987","5.907","-64.471","-32.277","5.0119999999999","23","11","15","10"
"net_income","-0.878","4.23","-38.894","14.576","20.573","30.887","44.395","65.901","99.899","127.521","169.071","210.264","261.225","311.623","381.519","423.223","463.975","533.744","480.118","541.26","638.423","1091","1149","936","824"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","-0.878","4.23","-38.894","14.576","20.573","30.887","44.395","65.901","99.899","127.521","169.071","210.264","261.225","311.623","381.519","423.223","463.975","533.744","480.118","541.26","638.423","1091","1149","936","824"
"eps_basic","-0.01","0.03","-0.28","0.11","0.13","0.18","0.21","0.29","0.37","0.46","0.59","0.72","0.88","1.04","1.26","1.39","1.51","1.72","1.54","1.76","2.1","3.68","4.15","3.51","3.08"
"eps_diluted","-0.01","0.03","-0.28","0.1","0.12","0.16","0.2","0.28","0.36","0.45","0.58","0.71","0.87","1.02","1.25","1.38","1.5","1.71","1.53","1.75","2.1","3.67","4.14","3.5","3.08"
"shares_basic","140.48","141","141.23","129.562","161.357","176.497","211.405","227.245","272.976","281.082","286.542","292.252","295.81","299.574","302.343","304.722","306.897","308.607","314.428","310.155","304.64","296.8","277.1","267.6","267.6"
"shares_diluted","140.48","153.818","155.19","145.758","178.896","196.108","221.975","239.64","282.046","287.98","291.714","296.75","300.693","304.131","306.045","307.496","309.784","310.649","315.849","310.969","305.006","297.7","278","268.3","268.3"
"cash_and_equiv","","","0.584","16.082","1.612","3.173","4.031","74.241","79.06699999999999","108.906","95.68899999999999","48.247","59.77","150.488","114.605","87.39700000000001","227.4","279.766","331.761","523.02","312.154","274","278","299","299"
"st_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"receivables","","","18.592","22.542","28.305","39.5","49.254","125.572","147.886","152.443","191.085","281.764","311.808","458.094","601.422","590.16","860.549","1027.106","1154.083","1131.132","1073.389","1073","998","1165","1165"
"inventories","","","53.779","54.004","74.15000000000001","103.655","124.541","320.238","330.511","385.686","492.688","736.846","900.803","1076.952","1433.847","1556.552","1935.237","2380.783","2836.075","2772.777","2414.612","2611","2752","3121","3121"
"other_current_assets","","","1.449","3.077","3.375","5.009","5.988","33.241","72.65300000000001","55.833","57.414","82.878","111.97","114.283","85.79900000000001","106.603","544.408","134.479","199.03","260.89","233.877","296","230","283","283"
"total_current_assets","","","74.404","95.705","107.442","151.337","183.814","553.292","630.117","702.8680000000001","836.876","1149.735","1384.351","1799.817","2235.673","2340.712","3567.594","3822.134","4520.949","4687.819","4034.032","4254","4258","4868","4868"
"equity_and_other_investments","","","","","","","","","","","","","","","","2.755","183.467","208.404","179.169","139.243","155.224","181","141","159","159"
"ppe_gross","","","56.02","64.935","97.033","132.347","170.153","270.967","331.06","397.861","473.713","604.048","725.509","840.8339999999999","1004.278","1134.513","1307.22","1519.201","1905.913","3350.591","3496.976","3647","3512","4025","4025"
"accumulated_depreciation","","","-16.159","-21.042","-26.303","-35.129","-43.069","-53.908","-76.714","-107.959","-142.401","-179.95","-231.13","-294.183","-374.291","-437.946","-495.644","-606.112","-685.751","-807.6799999999999","-895.149","-987","-1049","-1173","-1173"
"ppe_net","","","39.861","43.893","70.73","97.218","127.084","217.059","254.346","289.902","331.312","424.098","494.379","546.651","629.987","696.567","811.576","913.0890000000001","1220.162","2542.911","2601.827","2660","2463","2852","2852"
"intangible_assets","","","49.328","50.846","100.364","181.88","","74.952","71.148","67.242","69.30500000000001","108.913","106.719","153.743","245.52","215.113","584.23","743.77","928.75","850.333","814.218","746","653","1313","1313"
"goodwill","","","","","","","246.3","825.88","907.22","938.78","1032.97","1476.06","1690.28","1937.44","2288.9","2319.25","3054.77","3536.51","4381.46","4406.54","4591.57","4540","4319","5600","5600"
"other_lt_assets","233.203","227.217","13.154","12.71","9.739000000000001","8.991","7.156999999999901","21.472","18.973","21.329","29.046","40.898000000001","47.727","81.123000000001","75.65900000000001","73.44000000000099","101.562","142.965","162.912","153.11","163.662","225","204","287","287"
"total_assets","233.203","227.217","176.747","203.154","288.275","439.426","564.355","1692.655","1881.804","2020.121","2299.509","3199.704","3723.456","4518.774","5475.739","5647.837","8303.199000000001","9366.871999999999","11393.402","12779.956","12360.533","12606","12038","15079","15079"
"accounts_payable","","","4.536","6.831","8.423999999999999","15.496","19.242","68.871","65.363","51.3","76.437","210.875","219.335","349.069","400.202","415.588","633.773","788.6130000000001","942.398","942.795","932.4059999999999","1176","1339","1648","1648"
"tax_payable","","","","","","","","","","","","7.262","2.748","","","","","","","","","","","",""
"current_accrued_liabilities","","","11.277","11.107","16.97","23.714","29.504","73.172","74.82899999999999","94.027","84.02800000000001","131.025","134.822","198.769","213.795","210.993","327.856","362.024","460.43","468.886","543.6079999999999","532","512","569","569"
"st_debt","","","6.449","1.553","0.317","1.481","8.484999999999999","16.936","21.934","10.063","52.888","29.524","71.71599999999999","41.535","61.938","56.034","66.10899999999999","126.36","121.826","326.367","58.497","35","34","596","596"
"current_deferred_revenue","","","1.363","2.03","2.602","3.44","3.859","4.844","4.733","9.259","9.224","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","","","0.109","","1.25","3.43","0.30399999999999","","0.35399999999998","3.832","2.744","19.007","59.323","88.58","68.569","69.355","183.047","45.727","165.694","218.937","232.169","219","198","281","281"
"total_current_liabilities","","","23.734","21.521","29.563","47.561","61.394","163.823","167.213","168.481","225.321","397.693","487.944","677.953","744.504","751.97","1210.785","1322.724","1690.348","2178.512","1988.491","2165","2271","3318","3318"
"lt_debt","","","27.756","2.444","49.945","45.996","91.962","641.526","620.9400000000001","592.982","548.066","926.552","1046.762","1264.246","1784.21","1528.668","3275.662","3277.62","4188.674","3715.389","2812.641","2777","2622","3655","3655"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","1137.597","1197.963","1209","1091","1163","1163"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","","","","","","1.848","25.607","43.518","52.209","66.059","88.79600000000001","102.275","133.822","106.938","127.239","199.657","252.359","311.434","310.129","291.421","279","280","448","448"
"other_lt_liabilities","77.973","67.11199999999999","4.128","5.178","4.696","4.649","7.949","11.922","29.627","27.015","45.902","142.578","122.381","92.008","119.43","125.278","174.146","307.516","364.194","389.749","374.64","365","283","314","314"
"total_liabilities","77.973","67.11199999999999","55.618","29.143","84.20399999999999","98.206","163.153","842.878","861.298","840.687","885.348","1555.619","1759.362","2168.029","2755.082","2533.155","4860.25","5160.219","6554.65","7731.376","6665.156","6795","6547","8898","8898"
"common_stock","","","","","","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","","","-34.009","-19.433","1.14","32.027","76.422","142.039","241.938","369.459","538.53","748.794","1010.019","1321.642","1703.161","2126.384","2590.359","3124.103","3598.876","4140.136","4776.04","5794","6656","7290","7290"
"aoci","","","0.47","1.646","1.241","1.375","1.058","0.619","-13.764","-7.397","4.378","-8.961","0.759","20.011","-40.225","-105.47","-267.175","-70.476","-174.95","-200.885","-99.009","-153","-323","-240","-240"
"apic","","","154.491","191.602","201.485","307.304","323.189","705.778","790.933","815.952","869.798","901.313","950.338","1006.084","1054.686","1090.713","1116.69","1141.451","1415.188","1418.239","1444.584","1474","1506","1538","1538"
"treasury_stock","","","","","","","","","","","","","","","","","","","-60","-351.813","-469.105","-1346","-2389","-2424","-2424"
"other_equity","155.23","160.105","0.17699999999999","0.196","0.20499999999998","-0.48599999999993","-0.46700000000004","0.34100000000001","0.399","0.41999999999985","0.45499999999993","-0.060999999999922","-0.021999999999935","0.007999999999810799","0.034999999999854","0.054999999999836","0.07500000000027299","0.091000000000349","0.1840000000002","0.19900000000052","0.20800000000054","","","",""
"minority_interest_liability","","","","","","","","","","","","","","","","","","8.484","56.454","39.704","39.659","39","38","14","14"
"total_equity","155.23","160.105","121.129","174.011","204.071","341.22","401.202","849.777","1020.506","1179.434","1414.161","1644.085","1964.094","2350.745","2720.657","3114.682","3442.949","4206.653","4838.752","5048.58","5695.377","5811","5491","6181","6181"
"total_liabilities_and_equity","233.203","227.217","176.747","203.154","288.275","439.426","564.355","1692.655","1881.804","2020.121","2299.509","3199.704","3723.456","4518.774","5475.739","5647.837","8303.199000000001","9366.871999999999","11393.402","12779.956","12360.533","12606","12038","15079","15079"
"cfo_net_income","-0.878","4.23","-38.894","14.576","20.573","30.887","44.395","65.901","99.899","127.521","169.071","210.264","261.225","311.623","381.519","423.223","463.975","530.228","483.168","545.034","640","1092","1150","938","826"
"cfo_da","7.541","7.897","5.014","5.446","6.872","8.574","12.086","18.018","33.421","38.062","41.428","54.505","70.16500000000001","86.46299999999999","125.437","128.192","206.086","230.203","294.077","314.406","299","284","264","319","354"
"cfo_receivables","","","-1.816","-3.893","-2.143","-2.429","-4.133","-11.026","-15.026","-0.384","-12.309","-18.074","-12.813","-44.67","-61.739","14.704","-50.801","-55.979","0.241","26.419","94","-16","-16","5","-8"
"cfo_inventory","","","-1.161","0.545","-5.175","-8.554","-8.670999999999999","-35.134","4.232","-20.428","-67.795","-90.09099999999999","-95.042","-69.22199999999999","-122.59","-83.188","-64.114","-203.857","-127.153","15.46","433","-235","-342","71","-38"
"cfo_prepaid_expenses","","","1.526","-1.706","0.176","-0.996","-1.242","17","10.201","18.753","-5.24","-5.094","-18.952","-5.224","-19.191","","","","","","","","","",""
"cfo_other_working_capital","","","1.783","3.724","1.585","8.836","11.707","11.238","-9.603999999999999","-1.47","30.138","39.27","-7.027","131.489","50.419","10.279","27.23","33.327","-72.779","56.062","-29","248","323","1","187"
"cfo_change_in_working_capital","","","0.332","-1.33","-5.557","-3.143","-2.339","-17.922","-10.197","-3.529","-55.206","-73.989","-133.834","12.373","-153.101","-58.205","-87.685","-226.509","-199.691","97.941","498","-3","-35","77","141"
"cfo_deferred_tax","","","1.118","2.328","3.487","1.667","3.618","4.304","13.535","5.882","8.962999999999999","9.302","4.222","4.279","6.242","22.388","-16.162","-46.537","-2.18","7.109","-34","-27","6","13",""
"cfo_stock_comp","","","","","","","","","5.5","7.28","9.970000000000001","13.11","15.63","22.04","22.02","21.34","22.47","22.83","22.76","27.7","29","34","38","40","38"
"cfo_other_noncash_items","-10.047","-12.127","50.17","-0.07099999999999801","0.526","-0.452","-5.379","-15.932","-9.196999999999999","-11.214","-15.043","-1.42","-11.218","-8.722","6.594","7.3439999999999","46.33","8.6850000000001","112.605","71.843","12","-13","-173","-31","27"
"cf_cfo","-3.384","","17.74","20.949","25.901","37.533","52.381","54.369","132.961","164.002","159.183","211.772","206.19","428.056","388.711","544.282","635.014","518.9","710.739","1064.033","1444","1367","1250","1356","1386"
"cfi_ppe_net","","","-6.747","-8.936","-25.567","-25.393","-35.902","-37.799","-64.702","-54.8","-59.997","-84.673","-87.19799999999999","-88.086","-140.95","-170.49","-203.564","-170.383","-222.368","-249.685","-156","-273","-213","-347","-346"
"cfi_acquisitions_net","","","","","","","","","-74.208","-47.694","-131.586","-486.934","-265.336","-408.384","-778.1609999999999","-170.199","-1524.706","-219.455","-1275.295","-8.827","-2","-117","395","-2115","-2217"
"cfi_investment_net","","","","","-0.65","0.433","0.848","","","","","","","","","","","","","","","","","49",""
"cfi_intangibles_net","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfi_other","-8.308","","0.0009999999999994499","-3.286","-61.606","-101.062","-75.60299999999999","-868.022","","","2.8421709430404E-14","","","-9.135999999999999","-1.8830000000002","10.696","18.342","5.2429999999999","38.724","-6.341","-8","-29","-10","-29","130"
"cf_cfi","-8.308","","-6.746","-12.222","-87.82299999999999","-126.022","-110.657","-905.821","-138.91","-102.494","-191.583","-571.607","-352.534","-505.606","-920.994","-329.993","-1709.928","-384.595","-1458.939","-264.853","-166","-419","172","-2442","-2433"
"cff_common_stock_net","","","-0.059","36.73","4.942","99.69499999999999","6.262","360.484","10.402","","","","","","","","","","-60","-291.813","-117","-877","-1040","-38","-30"
"cff_pfd_net","","","","","","","","","","","","","","","","","","","","","","","","",""
