"Company: ","Laboratory Corporation of America Holdings (LH:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","207.84","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Health Care Providers & Services","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","17461","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","20410","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","1919.3","2199.8","2507.7","2939.4","3084.8","3327.6","3590.8","4068.2","4505.2","4694.7","5003.9","5542.3","5671.4","5808.3","6011.6","8680.1","9552.9","10308","11333.4","11554.8","13978.5","13136.1","11863.9","12161.6","12300.4"
"cogs","1096.6","1274.2","1445.9","1714.8","1795.5","1937.3","2061.4","2377","2631.4","2723.8","2906.1","3267.6","3421.7","3585.1","3808.5","5776.8","6698.9","7216.2","8157","8302.299999999999","9025.700000000001","8143.7","8155","8796.700000000001","8888.299999999999"
"gross_profit","822.7","925.6","1061.8","1224.6","1289.3","1390.3","1529.4","1691.2","1873.8","1970.9","2097.8","2274.7","2249.7","2223.2","2203.1","2903.3","2854","3091.8","3176.4","3252.5","4952.8","4992.4","3708.9","3364.9","3412.1"
"sga","483","516.5","585.5","651.8","649.1","703.9","779.1","808.7","935.1","958.9","1034.3","1159.6","1114.6","1128.8","1204.3","1628.1","1345.5","1499.2","1570.9","1624.5","1729.3","1690.3","1763.1","2021.4","2072.6"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","89.59999999999999","41.5","23.8","37.6","42.7","51.4","52.2","54.9","57.9","62.6","72.7","85.8","86.3","81.7","76.7","164.5","179.5","216.5","231.7","243.2","275.4","229.5","193.6","219.8","226.5"
"total_opex","572.6","558","609.3","689.4","691.8","755.3","831.3","863.6","993","1021.5","1107","1245.4","1200.9","1210.5","1281","1792.6","1525","1715.7","1802.6","1867.7","2004.7","1919.8","1956.7","2241.2","2299.1"
