"Company: ","Lamar Advertising Company (LAMR:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","117.78","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Specialized REITs","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","12054","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","14833","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","687.319","729.05","775.682","810.139","883.51","1021.656","1120.091","1209.555","1198.419","1056.065","1092.291","1130.714","1179.736","1245.842","1287.06","1353.396","1500.294","1541.26","1627.222","1753.644","1568.856","1787.401","2032.14","2110.987","2137.805"
"cogs","217.465","251.483","","292.017","302.157","353.139","390.561","408.397","437.66","397.725","398.467","409.052","418.538","436.844","453.269","473.76","525.597","540.88","561.848","590.078","557.6609999999999","576.5069999999999","667.288","696.799","704.0119999999999"
"gross_profit","469.854","477.567","775.682","518.122","581.353","668.5170000000001","729.53","801.158","760.759","658.34","693.824","721.662","761.198","808.998","833.7910000000001","879.636","974.697","1000.38","1065.374","1163.566","1011.195","1210.894","1364.852","1414.188","1433.793"
"sga","138.072","151.048","441.954","171.52","188.32","212.727","248.937","270.39","257.621","229.423","246.513","248.97","264.406","288.786","299.878","313.941","345.789","338.573","372.324","403.038","358.818","326.951","350.623","344.78","348.806"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","318.096","354.606","277.557","281.525","292.989","288.97","290.823","302.965","324.291","331.301","312.703","299.639","296.083","300.579","258.435","191.433","204.958","211.104","225.261","250.028","251.296","364.871","451.949","399.448","408.728"
"total_opex","456.168","505.654","719.511","453.045","481.309","501.697","539.76","573.355","581.912","560.724","559.216","548.609","560.489","589.365","558.313","505.374","550.747","549.677","597.585","653.066","610.114","691.822","802.572","744.228","757.534"
