"Company: ","Lattice Semiconductor Corporation (LSCC:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","56.86","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Semiconductors & Semiconductor Equipment","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","7791","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","7684","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","567.759","295.326","229.126","209.662","225.832","211.06","245.459","228.709","222.262","194.42","297.768","318.366","279.256","332.525","366.127","405.966","427.054","385.961","398.799","404.093","408.12","515.327","660.356","737.154","693.659"
"cogs","217.83","111.498","91.54600000000001","89.26600000000001","96.857","95.925","106.727","103.157","102.831","90.077","117.943","129.769","128.499","154.281","159.94","186.057","180.62","169.382","179.36","165.671","162.814","193.652","208.306","222.484","211.382"
"gross_profit","349.929","183.828","137.58","120.396","128.975","115.135","138.732","125.552","119.431","104.343","179.825","188.597","150.757","178.244","206.187","219.909","246.434","216.579","219.439","238.422","245.306","321.675","452.05","514.67","482.277"
"sga","81.08199999999999","53.027","48.099","50.773","53.803","57.541","58.45","58.485","58.68","52.545","64.35899999999999","68.83799999999999","72.31699999999999","67.14400000000001","73.527","97.349","98.602","90.718","91.054","82.542","95.331","105.617","122.076","137.244","141.135"
"rnd","77.057","71.679","85.776","87.092","94.375","97.23099999999999","81.968","82.977","68.61","56.133","60.326","71.855","77.61","80.96599999999999","88.07899999999999","136.868","117.518","103.357","82.449","78.617","89.223","110.518","135.767","159.77","164.372"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","81.873","84.349","73.41500000000001","77.127","43.831","14.392","10.806","233.388","5.587","0.228","","","","2.96","2.948","29.58","33.575","31.34","17.69","13.558","4.449","2.613","3.778","3.478","3.478"
"total_opex","240.012","209.055","207.29","214.992","192.009","169.164","151.224","374.85","132.877","108.906","124.685","140.693","149.927","151.07","164.554","263.797","249.695","225.415","191.193","174.717","189.003","218.748","261.621","300.492","308.985"
"operating_income","109.917","-25.227","-69.70999999999999","-94.596","-63.034","-54.029","-12.492","-249.298","-13.446","-4.563","55.14","47.904","0.83","27.174","41.633","-43.888","-3.261","-8.836","28.246","63.705","56.303","102.927","190.429","214.178","173.292"
"net_interest_income_normal","2.166","","","","","","","","","","","1.142","","-0.152","-0.172","-18.389","-20.327","-18.807","-20.6","-11.731","-3.702","-2.738","-4.146","2.041","3.903"
"other_nonoperating_income","149.988","-148.739","-23.659","-3.064","11.373","5.143","16.64","10.168","-24.58","-1.877","2.463","-6.323","-9.691000000000001","-0.536","1.48","-64.416","-20.594","-42.07","-31.615","-6.909","-4.145","-2.563","-4.171","-1.363","-2.988"
"pretax_income","262.071","-173.966","-93.369","-97.66","-51.661","-48.886","4.148","-239.13","-38.026","-6.44","57.603","42.723","-8.861000000000001","26.486","42.941","-126.693","-44.182","-69.71299999999999","-23.969","45.065","48.456","97.626","182.112","214.856","174.207"
"income_tax","-94.184","64.447","-81.866","5.854","-0.318","-0.233","-1.055","-0.6860000000000001","-0.18","-0.517","-0.531","35.509","-20.745","-4.165","5.639","-32.54","-9.917","-0.849","-2.353","-1.572","-1.064","-1.704","-3.23","44.205","43.727"
"net_income_continuing","167.887","-109.519","-175.235","-91.806","-51.979","-49.119","3.093","-239.816","-38.206","-6.957","57.072","78.232","-29.606","22.321","48.58","-159.233","-54.099","-70.562","-26.322","43.493","47.392","95.922","178.882","259.061","217.934"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","0.252","","","","","","","","",""
"other_income_statement_items","-2.8421709430404E-14","","","","","","","","","8.8817841970013E-16","","","","","-7.105427357601E-15","-0.25200000000001","7.105427357601E-15","","3.5527136788005E-15","7.105427357601E-15","","-1.4210854715202E-14","","","-1.7763568394003E-15"
"net_income","167.887","-109.519","-175.235","-91.806","-51.979","-49.119","3.093","-239.816","-38.206","-6.957","57.072","78.232","-29.606","22.321","48.58","-159.233","-54.099","-70.562","-26.322","43.493","47.392","95.922","178.882","259.061","217.934"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","167.887","-109.519","-175.235","-91.806","-51.979","-49.119","3.093","-239.816","-38.206","-6.957","57.072","78.232","-29.606","22.321","48.58","-159.233","-54.099","-70.562","-26.322","43.493","47.392","95.922","178.882","259.061","217.934"
"eps_basic","1.65","-1.01","-1.59","-0.82","-0.46","-0.43","0.03","-2.09","-0.33","-0.06","0.49","0.66","-0.25","0.19","0.41","-1.36","-0.45","-0.58","-0.21","0.33","0.35","0.7","1.3","1.88","1.59"
"eps_diluted","1.47","-1.01","-1.59","-0.82","-0.46","-0.43","0.03","-2.09","-0.33","-0.06","0.48","0.65","-0.25","0.19","0.4","-1.36","-0.45","-0.58","-0.21","0.32","0.34","0.67","1.27","1.85","1.56"
