"Company: ","Lear Corporation (LEA:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","114.89","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Automobile Components","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","6650","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","8463","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","14072.8","13624.7","14424.6","15746.7","16960","17089.2","17838.9","15995","13570.5","9739.6","11954.6","14156.5","14567","16234","17727.3","18211.4","18557.6","20467","21148.5","19810.3","17045.5","19263.1","20891.5","23466.9","23616"
"cogs","12320.4","12589.9","13164.3","14400.3","15557.9","16353.2","16911.2","14846.5","12822.9","9379.4","10936.3","12963.3","13349.5","14934.3","16234.5","16391.6","16435","18175.9","18830.2","18072.8","15936.6","17871.2","19481.6","21756.5","21937.5"
"gross_profit","1752.4","1034.8","1260.3","1346.4","1402.1","736","927.7","1148.5","747.6","360.2","1018.3","1193.2","1217.5","1299.7","1492.8","1819.8","2122.6","2291.1","2318.3","1737.5","1108.9","1391.9","1409.9","1710.4","1678.5"
"sga","524.8","514.2","517.2","573.6","633.7","630.6","646.7","574.7","511.5","447.9","452.7","485.6","479.3","528.7","529.9","580.5","608.2","635.2","612.8","605","588.9","643.2","684.8","714.7","724.4"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","392.2","90.2","","","","","","","5.3","8.6","27.2","28","33","34.4","33.7","52.5","53","47.6","51.4","62.3","65.90000000000001","73.3","70.8","62.5","61.7"
"total_opex","917","604.4","517.2","573.6","633.7","630.6","646.7","574.7","516.8","456.5","479.9","513.6","512.3","563.1","563.6","633","661.2","682.8","664.2","667.3","654.8","716.5","755.6","777.2","786.1"
"operating_income","835.4","430.4","743.1","772.8","768.4","105.4","281","573.8","230.8","-96.3","538.4","679.6","705.2","736.6","929.2","1186.8","1461.4","1608.3","1654.1","1070.2","454.1","675.4","654.3","933.2","892.4"
"net_interest_income_normal","","","","","","","","","-190.3","-162.5","-55.4","-39.7","-49.9","-68.40000000000001","-67.5","-86.7","-82.5","-85.7","-84.09999999999999","-92","-99.59999999999999","-91.8","-98.59999999999999","-101.1","-103"
"other_nonoperating_income","-363.4","-327.5","-262.6","-238.4","-204.1","-1234","-934.4","-250.6","-581.9","1152.6","-34.2","-24.2","-6.4","-58.1","-74.3","-68.59999999999999","-40.6","4.1","-31.6","-24.6","-55.2","-0.1","-46.4","-54.9","-54.7"
"pretax_income","472","102.9","480.5","534.4","564.3","-1128.6","-653.4","323.2","-541.4","893.8","448.8","615.7","648.9","610.1","787.4","1031.5","1338.3","1526.7","1538.4","953.6","299.3","583.5","509.3","777.2","734.7"
"income_tax","-197.3","-68.7","-157","-153.7","-128","-194.3","-54.9","-89.90000000000001","-85.8","-5","-24.6","-68.8","638","-192.7","-121.4","-285.5","-370.2","-197.5","-311.9","-146.1","-93.90000000000001","-137.7","-133.7","-180.8","-175.7"
"net_income_continuing","274.7","34.2","323.5","380.7","436.3","-1322.9","-708.3","233.3","-627.2","888.8","424.2","546.9","1286.9","417.4","666","746","968.1","1329.2","1226.5","807.5","205.4","445.8","375.6","596.4","559"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","-13.9","-11.5","-13.3","-8.800000000000001","-16.7","-7.2","-18.3","-25.6","-25.5","-12.3","-23.1","-29.7","-34.4","-24.4","-29.9","-50.3","-65.40000000000001","-67.5","-96.90000000000001","-77.09999999999999","-75.40000000000001","-87.7","-81","-73.2","-70.7"
"other_income_statement_items","13.9","3.6","-297.2","8.6","2.6","-51.4","19.1","33.8","-37.2","-62.1","37.2","23.5","30.3","38.4","36.3","49.8","72.40000000000001","51.7","20.2","23.2","28.5","15.8","33.1","49.3","50.2"
"net_income","274.7","26.3","13","380.5","422.2","-1381.5","-707.5","241.5","-689.9","814.4","438.3","540.7","1282.8","431.4","672.4","745.5","975.1","1313.4","1149.8","753.6","158.5","373.9","327.7","572.5","538.5"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","274.7","26.3","13","380.5","422.2","-1381.5","-707.5","241.5","-689.9","814.4","438.3","540.7","1282.8","431.4","672.4","745.5","975.1","1313.4","1149.8","753.6","158.5","373.9","327.7","572.5","538.5"
