"Company: ","Lincoln Electric Holdings Inc (LECO:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","185.18","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Machinery","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","10735","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","11462","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","1058.601","978.877","994.077","1040.589","1333.675","1601.19","1971.915","2280.784","2479.131","1729.285","2070.172","2694.609","2853.367","2852.671","2813.324","2535.791","2274.614","2624.431","3028.674","3003.272","2655.4","3234.18","3761.211","4191.636","4133.49"
"cogs","668.7910000000001","671.551","694.052","759.924","971.317","1164.275","1419.638","1633.218","1758.98","1273.017","1506.353","1957.872","1986.711","1910.017","1864.027","1694.647","1488.055","1749.324","2000.153","1995.685","1784.059","2165.575","2480.451","2726.191","2655.003"
"gross_profit","389.81","307.326","300.025","280.665","362.358","436.915","552.277","647.566","720.151","456.268","563.819","736.737","866.6559999999999","942.654","949.297","841.144","786.559","875.107","1028.521","1007.587","871.341","1068.605","1280.76","1465.445","1478.487"
"sga","216.217","190.161","198.035","210.703","256.616","285.309","315.829","370.122","405.376","333.138","377.773","439.775","495.221","527.206","545.497","639.486","468.597","541.225","627.697","621.489","543.802","597.109","656.636","758.91","767.5410000000001"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","34.712","","10.468","1.743","2.44","","","","","","","","","","","","","","","","","","","",""
"total_opex","250.929","190.161","208.503","212.446","259.056","285.309","315.829","370.122","405.376","333.138","377.773","439.775","495.221","527.206","545.497","639.486","468.597","541.225","627.697","621.489","543.802","597.109","656.636","758.91","767.5410000000001"
"operating_income","138.881","117.165","91.52200000000001","68.21899999999999","103.302","151.606","236.448","277.444","314.775","123.13","186.046","296.962","371.435","415.448","403.8","201.658","317.962","333.882","400.824","386.098","327.539","471.496","624.124","706.535","710.946"
"net_interest_income_normal","","","","","","","","-3.136","-3.31","-5.059","-4.31","-3.583","-0.203","0.456","-7.341","-19.11","-16.987","-19.432","-17.565","-23.415","-21.973","-22.214","-29.5","-44.371","-39.95"
"other_nonoperating_income","-17.204","-1.124","-3.579","1.008","4.475","2.293","1.724","12.849","-11.656","-31.333","5.372","7.952","-1.662","0.537","-20.646","-12.761","-23.587","51.786","-14.599","5.81","-41.526","-124.284","-1.797","24.702","19.056"
"pretax_income","121.677","116.041","87.943","69.227","107.777","153.899","238.172","287.157","299.809","86.738","187.108","301.331","369.57","416.441","375.813","169.787","277.388","366.236","368.66","368.493","264.04","324.998","592.827","686.866","690.052"
"income_tax","-43.585","-32.452","-21.061","-14.685","-27.181","-31.593","-63.164","-84.42100000000001","-87.523","-37.905","-54.898","-84.318","-112.354","-124.754","-121.933","-42.375","-79.015","-118.761","-81.667","-75.41","-57.896","-48.418","-120.603","-141.618","-143.32"
"net_income_continuing","78.092","83.589","66.88200000000001","54.542","80.596","122.306","175.008","202.736","212.286","48.833","132.21","217.013","257.216","291.687","253.88","127.412","198.373","247.475","286.993","293.083","206.144","276.58","472.224","545.248","546.732"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","-0.257","-1.966","0.173","0.195","2.093","0.806","0.066","0.026","0.028","0.073","0.026","-0.029","-0.114","","",""
"other_income_statement_items","-1.4210854715202E-14","","-37.607","","","","2.8421709430404E-14","","-2.8421709430404E-14","","","-2.8421709430404E-14","","","","-1.4210854715202E-14","","","-5.6843418860808E-14","","","0.11399999999998","","","-1.4210854715202E-14"
