"Company: ","Lincoln National Corporation (LNC:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","31.94","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","5488","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","7092","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"premiums_earned","1813.111","1704.002","315.943","-280.951","-298.904","308","1406","1947","2018","2064","5410","5731","6198","6756","7661","8291","2987","3256","4601","12010","11743","11656","11690","9139","9161"
"net_investment_income","2747.118","2679.617","2608.327","-2638.526","-2704.129","-2702","4057","4378","4130","4178","4381","4528","4545","4684","4843","4773","4772","4972","5299","4797","5109","4405","6475","3795","3754"
"fees_and_other_income","2286.871","1994.381","1711.73","8203.358","8374.307000000001","7869","3499","4150","3076","2257","624","382","792","529","1050","508","5571","6029","6522","452","704","1536","760","-1232","-917"
"revenue","6847.1","6378","4636","5283.881","5371.274","5475","8962","10475","9224","8499","10415","10641","11535","11969","13554","13572","13330","14257","16422","17259","17556","17597","18925","11702","11998"
"sga","1148","1114.5","867.8","894.4","897.4","914.1","","","","","1471","1492","1631","1692","1700","1730","1687","1766","1953","2210","2072","2252","2240","2390",""
"net_policyholder_claims_expense","3557.16","3409.74","2859.505","2414.443","2303.652","2332","1911","2562","3059","2836","3327","3345","3541","3862","4679","5044","4692","5160","6786","7880","8677","8320","11245","5986","5803"
"policy_acquisition_expense","2318.518","860.3","1677.72","1726.774","1931.504","1981","2790","3284","3138","2794","-476","-551","-275","-640","-432","-226","-70","-350","-402","-540","-156","-337","-352","-174",""
"interest_expense_insurance","139.538","121.019","96.613","95.101","100.46","87","224","284","281","197","291","294","273","265","267","272","331","253","297","326","284","270","283","331","330"
"operating_income","","","","1047.563","1035.658","1075","1778","1874","-137","-521","1135","503","1568","1631","1997","1430","1458","1130","1885","919","423","4643","1725","-1148","1550"
"pretax_income","","","","1047.563","1035.658","1075","1778","1874","-137","-521","1135","503","1568","1631","1997","1430","1458","1130","1885","919","423","4643","1725","-1148","1550"
"income_tax","-214.898","-144.712","89.96599999999999","-280.408","-304.147","-244","-483","-553","127","106","-262","-274","-282","-387","-483","-276","-266","949","-244","-33","76","-865","-367","396","-199"
"net_income_continuing","-214.898","-144.712","89.96599999999999","767.155","731.511","831","1295","1321","-10","-415","873","229","1286","1244","1514","1154","1192","2079","1641","886","499","3778","1358","-752","1351"
"net_income_discontinued","","","","","","","21","-106","67","-70","29","-8","27","","1","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income","585.3","545.6","91.59","511.936","707.009","831","1316","1215","57","-485","902","221","1313","1244","1515","1154","1192","2079","1641","886","499","3778","1358","-752","1351"
"preferred_dividends","0.078","0.07099999999999999","","0.058","0.053","0.048","","","","35","167","","","","","","","","","","","","","82","90"
"net_income_available_to_shareholders","585.222","545.529","91.59","511.878","706.956","830.952","1316","1215","57","-520","735","221","1313","1244","1515","1154","1192","2079","1641","886","499","3778","1358","-834","1261"
"eps_basic","3.06","2.89","0.27","2.89","4.01","4.8","5.21","4.5","0.22","-1.85","2.37","0.72","4.68","4.68","5.81","4.6","5.09","9.359999999999999","7.6","4.41","2.58","20.17","7.93","-4.92","7.41"
"eps_diluted","3.03","2.85","0.26","2.85","3.95","4.72","5.13","4.43","0.22","-1.85","2.3","0.6899999999999999","4.56","4.52","5.67","4.51","5.03","9.220000000000001","7.4","4.38","2.56","19.96","7.78","-4.92","7.31"
"shares_basic","191.249","188.764","189.3","177.14","176.298","173.06","252.363","270.3","257.499","280.031","310.005","307.216","280.648","265.631","260.878","250.629","234.182","222.129","215.936","200.609","193.61","187.36","171.035","169.563","169.563"
"shares_diluted","193.143","191.414","189.3","179.627","178.976","176.078","256.169","273.91","259.391","285.636","319.214","314.95","287.591","275.149","267.964","254.938","236.83","226.221","219.552","202.105","194.465","189.638","172.7","170.739","170.739"
"cash_and_equiv","","","","1711.196","1661.686","2312","1622","1665","5926","4025","2741","4510","4230","2364","3919","3146","2722","1628","2345","2563","1708","2612","3343","3365","3365"
"total_investments","6623.882","6475.233","6151.096","39462.156","40976.062","35450","70615","70907","63819","74734","82062","88773","95250","93145","99378","98876","103540","109867","111842","128792","146863","143901","124321","112842","112842"
"receivables","296.705","400.076","212.942","8191.312","232.942","7269","356","401","481","321","335","6934","6829","6461","6203","5999","5695","5303","18318","17609","16982","20295","19953","29843","29843"
"deferred_policy_acquisition_cost","3070.507","2885.311","2970.866","3147.139","3444.965","5163","8420","9580","11936","9510","8930","6776","6667","8886","8207","9510","9134","8403","10264","7694","5812","6083","12235","12397","12397"
"ppe_net","","","","","","","","","","","","","","","","","","","","","","","","",""
"intangible_assets","2842.968","2624.39","2525.205","1230.427","1116.121","","","4144","3944","","","","","","","","","","","","","","","",""
"other_lt_assets","87036.538","85656.59","81324.53599999999","51767.948","67591.629","73472","93345","104738","77030","85830","96737","92225","103620","123816","133397","132104","138263","155194","153596","176325","192805","212276","173335","212822","212822"
"total_assets","99870.60000000001","98041.60000000001","93184.645","106744.868","116219.265","124860","178495","191435","163136","177433","193824","201491","218869","236945","253377","251908","261627","281763","298147","334761","365948","386945","334331","372413","372413"
"unearned_premiums","","","","","","","","","","","","","","","","","","","","","","","","",""
"future_policy_benefits","","","","","","","14771","16007","19260","15958","16339","19813","19780","17251","20057","20708","21576","22887","34648","36420","40814","41030","38826","39864","39864"
"other_current_liabilities","18377.061","19247.894","21286.396","47318.065","70554.545","47295","61239","62892","66595","67315","70407","73199","76399","77786","79921","82019","83898","84626","96038","103100","111627","120656","241947","128842","128842"
"st_debt","312.927","350.203","153.045","43.976","214.415","120","658","550","815","350","351","300","200","500","250","","","450","","550","250","550","500","250","250"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"lt_debt","1144.273","986.297","1119.245","1458.835","1388.436","1333","3458","4618","4731","5050","5399","5391","5439","5320","5270","5553","5345","4894","5839","5817","6432","6075","5955","5699","5699"
"other_lt_liabilities","74310.739","71678.75","64885.811","52112.367","37546.48","69728","86168","95650","63758","77060","88522","89687","102078","122636","132139","130011","136330","151584","147272","169185","184126","197880","42001","190865","190865"
"total_liabilities","94145","92263.144","87444.497","100933.243","109703.876","118476","166294","179717","155159","165733","181018","188390","203896","223493","237637","238291","247149","264441","283797","315072","343249","366191","329229","365520","365520"
"common_stock","1004","1255","1431","1529","1655","1775","7449","7200","7035","7840","8124","7590","7121","6876","6622","6298","5869","5693","5392","5162","5082","4735","4544","4605","4605"
"preferred_stock","","","","0.593","0.5659999999999999","1","1","","","806","","","","","","","","","","","","","986","986","986"
