"Company: ","Linde plc Ordinary Shares (LIN:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","441.17","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Chemicals","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","213024","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","223403","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","5043","5158","5128","5613","6594","7656","8324","9402","10796","8956","10116","11252","11224","11925","12273","10776","10534","11358","14836","28228","27243","30793","33364","32854","32761"
"cogs","3075","3060","2950","3328","3987","4641","4968","5557","6495","5032","5754","6458","6396","6744","6962","5960","5855","6382","9020","16644","15383","17543","19450","17492","17277"
"gross_profit","1968","2098","2178","2285","2607","3015","3356","3845","4301","3924","4362","4794","4828","5181","5311","4816","4679","4976","5816","11584","11860","13250","13914","15362","15484"
"sga","683","699","751","766","869","987","1086","1190","1312","1088","1196","1239","1270","1349","1308","1152","1145","1207","1629","3457","3193","2997","2870","3131","3119"
"rnd","65","66","69","75","77","80","87","98","97","74","79","90","98","98","96","93","92","93","113","184","152","143","143","146","148"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","513","533","435","522","558","655","664","771","992","881","906","1003","1001","1109","1170","1106","1122","1184","1830","4675","4626","4635","4204","3816","3817"
"total_opex","1261","1298","1255","1363","1504","1722","1837","2059","2401","2043","2181","2332","2369","2556","2574","2351","2359","2484","3572","8316","7971","7775","7217","7093","7084"
"operating_income","707","800","923","922","1103","1293","1519","1786","1900","1881","2181","2462","2459","2625","2737","2465","2320","2492","2244","3268","3889","5475","6697","8269","8400"
"net_interest_income_normal","","","","","","","","","","-133","-118","-145","-141","-178","-213","-161","-190","-161","-202","-38","-115","-77","-63","-200","-228"
"other_nonoperating_income","-224","-224","-206","-151","-155","-163","-155","-173","-215","-306","-99","6","-22","","-129","-144","-82","-44","3007","-303","-390","-299","-1091","-81","-45"
"pretax_income","483","576","717","771","948","1130","1364","1613","1685","1442","1964","2323","2296","2447","2395","2160","2048","2287","5049","2927","3384","5099","5543","7988","8127"
"income_tax","-103","-135","-158","-174","-232","-376","-355","-419","-465","-169","-768","-641","-586","-649","-691","-612","-551","-1026","-817","-769","-847","-1262","-1434","-1814","-1847"
"net_income_continuing","380","441","559","597","716","754","1009","1194","1220","1273","1196","1682","1710","1798","1704","1548","1497","1261","4232","2158","2537","3837","4109","6174","6280"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","117","109","4","5","","",""
"income_allocated_to_minority_interest","-27","-18","-20","-24","-30","-37","-31","-43","-45","-43","-39","-50","-52","-81","-52","-44","-38","-61","-24","-96","-125","-135","-134","-142","-144"
"other_income_statement_items","10","7","-130","12","11","9","10","26","36","24","38","40","34","38","42","43","41","47","56","114","85","119","172","167","174"
"net_income","363","430","409","585","697","726","988","1177","1211","1254","1195","1672","1692","1755","1694","1547","1500","1247","4381","2285","2501","3826","4147","6199","6310"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","363","430","409","585","697","726","988","1177","1211","1254","1195","1672","1692","1755","1694","1547","1500","1247","4381","2285","2501","3826","4147","6199","6310"
"eps_basic","1.14","1.33","1.26","1.79","2.14","2.24","3.05","3.69","3.87","4.08","3.9","5.53","5.67","5.94","5.79","5.39","5.25","4.36","13.26","4.22","4.75","7.4","8.300000000000001","12.7","13"
"eps_diluted","1.13","1.31","1.24","1.77","2.1","2.2","3","3.62","3.8","4.01","3.84","5.45","5.61","5.87","5.73","5.35","5.21","4.32","13.11","4.19","4.71","7.33","8.23","12.59","12.89"
