"Company: ","Live Nation Entertainment Inc (LYV:US)","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","89.84","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Entertainment","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","20686","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","19266","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","2543.668","2473.319","2707.902","2806.128","2936.845","3294.471","3755.47","4085.306","4181.021","5063.748","5383.998","5819.047","6478.547","6866.964","7245.731","7826.336","9687.222","10787.8","11547.969","1861.178","6268.447","16681.254","22749.073","23421.212"
"cogs","2386.504","1853.096","2506.635","2185.127","2829.832","2712.732","3049.464","3299.444","3357.245","3658.31","3789.488","4151.277","4680.507","4919.969","5196.473","5639.177","7181.898","7967.932","8467.182000000001","1402.4","4355.989","12337.524","17292.016","17822.884"
"gross_profit","157.164","620.223","201.267","621.001","107.013","581.739","706.006","785.862","823.776","1405.438","1594.51","1667.77","1798.04","1946.995","2049.258","2187.159","2505.324","2819.868","3080.787","458.778","1912.458","4343.73","5457.057","5598.328"
"sga","","449.611","","460.166","50.715","468.97","592.9829999999999","672.083","675.869","1014.491","1111.969","1143.632","1226.892","1337.316","1411.855","1548.45","1907.723","1997.028","2145.486","1524.342","1745.822","2954.884","3556.867","3848.105"
"rnd","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","347.359","75.696","247.263","101.852","69.48099999999999","113.641","96.18000000000001","141.17","155.135","431.918","455.175","542.921","463.308","472.048","505.186","443.645","507.173","539.9349999999999","612.83","587.125","576.705","687.8099999999999","847.614","878.085"
"total_opex","347.359","525.307","247.263","562.018","120.196","582.611","689.163","813.253","831.004","1446.409","1567.144","1686.553","1690.2","1809.364","1917.041","1992.095","2414.896","2536.963","2758.316","2111.467","2322.527","3642.694","4404.481","4726.19"
"operating_income","-190.195","94.916","-45.996","58.983","-13.183","-0.872","16.843","-27.391","-7.228","-40.971","27.366","-18.783","107.84","137.631","132.217","195.064","90.428","282.905","322.471","-1652.689","-410.069","701.0359999999999","1052.576","872.138"
"net_interest_income_normal","","","","","","","","-70.104","-64.172","-112.756","-116.199","-119.57","-106.588","-102.706","-99.35299999999999","-103.933","-102.053","-132.015","-143.115","-215.095","-275.815","-200.863","-112.426","-100.958"
"other_nonoperating_income","-65.074","-62.486","114.363","-44.258","-55.948","37.157","-59.348","-260.24","-43.278","-34.927","-7.794","6.192","-6.389","-134.745","-26.511","-42.805","2.245","-19.785","5.748","11.119","74.617","5.274","-45.606","58.529"
