"Company: ","Lockheed Martin Corporation (LMT:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","468.07","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Aerospace & Defense","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","112307","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","128767","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","24541","23990","26578","31824","35526","37213","39620","41862","41372","43867","45671","46499","47182","45358","39946","40536","47290","49960","53762","59812","65398","67044","65984","67571","69640"
"cogs","22881","22447","24629","29848","33558","34676","36186","37628","36798","39720","41827","42755","42986","41171","35263","36044","41889","43589","46488","51445","56744","57983","57697","59092","61214"
"gross_profit","1660","1543","1949","1976","1968","2537","3434","4234","4574","4147","3844","3744","4196","4187","4683","4492","5401","6371","7274","8367","8654","9061","8287","8479","8426"
"sga","","","","","","","","","","","","","","","","","","","","","","","","","-16"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","","","","","","","-60","-178","10","-62","-61","-28","-73"
"total_opex","","","","","","","","","","","","","","","","","","","-60","-178","10","-62","-61","-28","-89"
"operating_income","1660","1543","1949","1976","1968","2537","3434","4234","4574","4147","3844","3744","4196","4187","4683","4492","5401","6371","7334","8545","8644","9123","8348","8507","8515"
"net_interest_income_normal","-919","-700","-581","-487","-425","-370","-361","-352","-332","-308","-345","-354","-383","-350","-340","-443","-663","-651","-668","-653","-591","-569","-623","-916","-969"
"other_nonoperating_income","-409","-710","-791","43","121","449","519","486","384","343","279","241","259","318","334","250","16","-474","-828","-651","182","-1004","-1045","507","393"
"pretax_income","332","133","577","1532","1664","2616","3592","4368","4626","4182","3778","3631","4072","4155","4677","4299","4754","5246","5838","7241","8235","7550","6680","8098","7939"
"income_tax","-714","-90","-44","-479","-398","-791","-1063","-1335","-1459","-1215","-1164","-964","-1327","-1205","-1424","-1173","-1093","-3356","-792","-1011","-1347","-1235","-948","-1178","-1163"
"net_income_continuing","-382","43","533","1053","1266","1825","2529","3033","3167","2967","2614","2667","2745","2950","3253","3126","3661","1890","5046","6230","6888","6315","5732","6920","6776"
"net_income_discontinued","-42","-1089","-33","","","","","","50","6","264","-12","","31","361","479","1512","73","","","-55","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","-95","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income","-519","-1046","500","1053","1266","1825","2529","3033","3217","2973","2878","2655","2745","2981","3614","3605","5173","1963","5046","6230","6833","6315","5732","6920","6776"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","-519","-1046","500","1053","1266","1825","2529","3033","3217","2973","2878","2655","2745","2981","3614","3605","5173","1963","5046","6230","6833","6315","5732","6920","6776"
"eps_basic","-1.29","-2.45","1.13","2.36","2.86","4.15","5.91","7.29","8.050000000000001","7.73","7.9","7.9","8.48","9.289999999999999","11.41","11.62","17.28","6.82","17.74","22.09","24.4","22.85","21.74","27.65","27.43"
"eps_diluted","-1.29","-2.45","1.11","2.34","2.83","4.1","5.8","7.1","7.86","7.64","7.81","7.81","8.359999999999999","9.130000000000001","11.21","11.46","17.07","6.75","17.59","21.95","24.3","22.76","21.66","27.55","27.33"
"shares_basic","400.8","427.4","445.1","446.5","443.1","440.3","428.1","416","399.7","384.8","364.2","335.9","323.7","320.9","316.8","310.3","299.3","287.8","284.5","282","280","276.4","263.7","250.3","250.3"
"shares_diluted","400.8","432.5","452","450","447.1","445.7","436.4","427.1","409.4","388.9","368.3","339.9","328.4","326.5","322.4","314.7","303.1","290.6","286.8","283.8","281.2","277.4","264.6","251.2","251.2"
"cash_and_equiv","1505","912","2738","1010","1060","2244","1912","2648","2168","2391","2261","3582","1898","2617","1446","1090","1837","2861","772","1514","3160","3604","2547","1442","1442"
"st_investments","","","","240","396","429","381","333","","346","516","","","","","","","","","","","","","",""
"receivables","3986","4049","3655","4039","4094","4579","4595","4925","5296","6061","5692","6064","6563","5834","5877","7254","8202","10257","11916","11431","11523","12542","14823","15315","15315"
"inventories","3805","3140","2250","2348","1864","1921","1657","1718","1902","2183","2363","2481","2937","2977","2804","4819","4670","2878","2997","3619","3545","2981","3088","3132","3132"
"other_current_assets","4043","2677","1983","1764","1539","1356","1619","1316","1317","1496","2061","1967","2457","1901","2195","1410","399","1509","418","531","1150","688","533","632","632"
"total_current_assets","13339","10778","10626","9401","8953","10529","10164","10940","10683","12477","12893","14094","13855","13329","12322","14573","15108","17505","16103","17095","19378","19815","20991","20521","20521"
"equity_and_other_investments","2433","1884","1009","1060","812","","","","","","","","","","","","","","","","","","","",""
"ppe_gross","7877","8042","8316","8669","8660","9324","9629","10305","10899","11405","11958","12470","12985","13366","13489","14266","14877","15361","16089","16978","18149","19100","20138","21182","21182"
"accumulated_depreciation","-4936","-5051","-5058","-5180","-5061","-5400","-5573","-5985","-6411","-6885","-7404","-7859","-8310","-8660","-8738","-8877","-9328","-9586","-9965","-10387","-10936","-11503","-12163","-12812","-12812"
"ppe_net","2941","2991","3258","3489","3599","3924","4056","4320","4488","4520","4554","4611","4675","4706","4751","5389","5549","5775","6124","6591","7213","7597","7975","8370","8370"
