"Company: ","Loews Corp (L:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","76.14","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","17121","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","24990","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"premiums_earned","11385.5","9285.1","10209.9","9209.799999999999","8205","7568.6","7603.1","7482","7150","6721","6515","6603","6881","7271","7212","6921","6924","6988","7312","7428","7649","8175","8667","9480","9673"
"net_investment_income","2387.9","2144.9","1866.9","1732.1","1869.3","2098.8","2911.1","2785","1581","2499","2276","1847","2027","2349","2086","1710","2054","2168","1804","2140","1858","1890","1872","2217","2291"
"fees_and_other_income","6859.6","7306.2","5387.1","5351.1","5168","6350.4","7396.8","4035","4516","4897","5824","5679","5164","4993","5027","4784","4127","4579","4928","5159","4160","3662","3511","3981","4135"
"revenue","20633","18736.2","17463.9","16293","15242.3","16017.8","17911","14302","13247","14117","14615","14129","14072","14613","14325","13415","13105","13735","14044","14727","13667","13727","14050","15678","16099"
"sga","","","","","","","","1004","1185","1224","1391","1549","","","","","","","","","","","","",""
"net_policyholder_claims_expense","9831.1","11382.8","8392","9915.6","6445.6","6998.7","6046.2","6009","5723","5290","4985","5489","5729","5806","5591","5384","5283","5310","5572","5806","6170","6371","6653","7068","7222"
"policy_acquisition_expense","1879.8","1803.9","1790.2","1964.6","1679.8","1542.6","1534.2","1520","","1417","1168","1176","1274","1362","1317","1540","1235","1233","1335","1383","1410","1443","1490","1644","1709"
"interest_expense_insurance","356.9","332","309.6","308.4","324.1","364.2","304.1","318","345","448","517","522","426","425","498","520","536","646","574","591","515","424","378","376","384"
"operating_income","3135.9","-764.5","1666.1","-1375","1822","1846.5","4472.1","3195","587","1730","2902","2226","2022","2277","1810","244","936","1582","834","1119","-1464","2160","1114","1996","2106"
"pretax_income","3135.9","-764.5","1666.1","-1375","1822","1846.5","4472.1","3195","587","1730","2902","2226","2022","2277","1810","244","936","1582","834","1119","-1464","2160","1114","1996","2106"
"income_tax","-1089.7","178.4","-579.8","534.1","-533.8","-490.4","-1450.7","-995","-7","-345","-894","-532","-513","-656","-457","43","-220","-170","-128","-248","173","-475","-223","-451","-480"
"net_income_continuing","2046.2","-586.1","1086.3","-840.9","1288.2","1356.1","3021.4","2200","580","1385","2008","1694","1509","1621","1353","287","716","1412","706","871","-1291","1685","891","1545","1626"
"net_income_discontinued","13.1","9.9","-27","69","","18.7","-25.7","902","4713","-2","-20","","-399","-552","-391","","","","","","","","","",""
"income_allocated_to_minority_interest","217.3","-103","82.3","-178.2","56.9","163.2","504.4","-613","-763","-819","-699","-632","-542","-474","-371","-27","-62","-248","-70","61","360","-123","-69","-111","-110"
"net_income","1848.6","-553.8","912","-597","1231.3","1211.6","2491.3","2489","4530","564","1289","1062","568","595","591","260","654","1164","636","932","-931","1562","822","1434","1516"
"preferred_dividends","","","","","184.5","251.3","","533","","","","","","","","","","","","","","","","",""
