"Company: ","Louisiana-Pacific Corporation (LPX:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","82.81999999999999","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Paper & Forest Products","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","6130","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","6233","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","2471.8","1591.6","1576.2","2168.7","2730.7","2528.4","2187.4","1704.9","1376.2","1061","1383.6","1328.7","1691.2","2085.2","1934.8","1892.5","2233.4","2734","2828","2310","2788","3915","3854","2581","2721"
"cogs","1913.1","1348.1","1264","1416.8","1634.3","1724.6","1778.6","1667.6","1404.8","999.3","1187.9","1222.6","1383.2","1636.9","1757.8","1682.7","1829.1","1998","2084","2007","1921","1952","2356","1988","2015"
"gross_profit","558.7","243.5","312.2","751.9","1096.4","803.8","408.8","37.3","-28.6","61.7","195.7","106.1","308","448.3","177","209.8","404.3","736","744","303","867","1963","1498","593","706"
"sga","266.3","204.5","134.1","159","159.7","152.8","160.9","139","141.8","115.9","118.8","110.8","128.4","150.2","149.5","152.8","191.3","201","213","233","212","224","270","257","259"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","229.5","200.6","104.2","27.7","191.3","130.9","123.9","164.7","100.4","80","82.09999999999999","67.09999999999999","70.5","117.5","112.9","118.4","17.4","5","-12","-11","-9","1","-8","1","-4"
"total_opex","495.8","405.1","238.3","186.7","351","283.7","284.8","303.7","242.2","195.9","200.9","177.9","198.9","267.7","262.4","271.2","208.7","206","201","222","203","225","262","258","255"
"operating_income","62.9","-161.6","73.90000000000001","565.2","745.4","520.1","124","-266.4","-270.8","-134.2","-5.2","-71.8","109.1","180.6","-85.40000000000001","-61.4","195.6","530","543","81","664","1738","1236","335","451"
"net_interest_income_normal","","","","","","","","","-49.1","-74.59999999999999","-63.9","-56.9","-49.3","-36","-29.8","-31.2","-24.1","-9","2","-10","-17","-13","4","4","2"
"other_nonoperating_income","-44.3","-52.3","-62.5","-55.2","-51.5","14.8","43.8","-4.2","-433.4","39.3","21.2","-61","-25","62","10.2","-2.8","-6.6","-11","-21","-94","-26","-25","-85","-91","-81"
"pretax_income","18.6","-213.9","11.4","510","693.9","534.9","167.8","-270.6","-753.3","-169.5","-47.9","-189.7","34.8","206.6","-105","-95.40000000000001","164.9","510","524","-23","621","1700","1155","248","372"
"income_tax","-4.9","85.09999999999999","-15.2","-231.2","-277.5","-60.7","-29.6","133.4","202","63.4","22.1","41.1","-7","-41.1","27.2","2.7","-19.8","-119","-122","13","-125","-402","-274","-74","-114"
"net_income_continuing","13.7","-128.8","-3.8","278.8","416.4","474.2","138.2","-137.2","-551.3","-106.1","-25.8","-148.6","27.8","165.5","-77.8","-92.7","145.1","391","402","-10","496","1298","881","174","258"
"net_income_discontinued","-20.4","-42.8","-54.4","-13.8","0.5","-18.3","-10.2","-24.6","-13.7","-5.3","-6.4","-5.6","-0.7","-0.3","-2","-2.1","-0.5","-1","-4","","","71","198","",""
"income_allocated_to_minority_interest","","5.1","0.9","","","","","","0.2","0.9","0.4","0.2","","","","","","","","5","2","4","3","","1"
"other_income_statement_items","-7.1","-5.1","-4.7","2","3.8","-0.39999999999998","-4.3","-18.1","-14","-10.4","-7.2","-27.3","1.7","11.9","4.4","6.7","5.2","","-3","","1","4","4","4","6"
