"Company: ","Lowe's Companies Inc (LOW:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","217.25","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Specialty Retail","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","130144","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","161529","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2001-01","2002-01","2003-01","2004-01","2005-01","2006-01","2007-01","2008-01","2009-01","2010-01","2011-01","2012-01","2013-01","2014-01","2015-01","2016-01","2017-01","2018-01","2019-01","2020-01","2021-01","2022-01","2023-01","2024-01","TTM"
"revenue","18778.559","21714","26112","30838","36464","43243","46927","48283","48230","47220","48815","50208","50521","53417","56223","59074","65017","68619","71309","72148","89597","96250","97059","86377","85393"
"cogs","13486.898","15427","18164","21231","24224","28453","30729","31556","31729","30757","31663","32858","33194","34941","36665","38504","43343","46185","48401","49205","60025","64194","64802","57533","56986"
"gross_profit","5291.661","6287","7948","9607","12240","14790","16198","16727","16501","16463","17152","17350","17327","18476","19558","20570","21674","22434","22908","22943","29572","32056","32257","28844","28407"
"sga","3479.885","3997","4754","5706","7685","9156","9884","10656","11176","11737","12006","12593","12244","12865","13272","14105","14375","14444","17413","15367","18526","18301","20332","15570","15753"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","409.511","513","640","777","859","980","1162","1366","1539","1614","1586","1480","1523","1462","1494","1494","1453","1404","1477","1262","1399","1662","1766","1717","1731"
"total_opex","3889.396","4510","5394","6483","8544","10136","11046","12022","12715","13351","13592","14073","13767","14327","14766","15599","15828","15848","18890","16629","19925","19963","22098","17287","17484"
"operating_income","1402.265","1777","2554","3124","3696","4654","5152","4705","3786","3112","3560","3277","3560","4149","4792","4971","5846","6586","4018","6314","9647","12093","10159","11557","10923"
"net_interest_income_normal","","","","","","","","","-280","-287","-332","-371","-423","-476","-516","-552","-645","-633","-624","-691","-848","-885","-1123","-1382","-1387"
"other_nonoperating_income","-120.825","-174","-182","-180","-176","-158","-154","-194","","","","","","","","","","-464","","","-1060","","","",""
"pretax_income","1281.44","1603","2372","2944","3520","4496","4998","4511","3506","2825","3228","2906","3137","3673","4276","4419","5201","5489","3394","5623","7739","11208","9036","10175","9536"
"income_tax","-471.569","-593","-893","-1115","-1353","-1731","-1893","-1702","-1311","-1042","-1218","-1067","-1178","-1387","-1578","-1873","-2108","-2042","-1080","-1342","-1904","-2766","-2599","-2449","-2315"
"net_income_continuing","809.871","1010","1479","1829","2167","2765","3105","2809","2195","1783","2010","1839","1959","2286","2698","2546","3093","3447","2314","4281","5835","8442","6437","7726","7221"
"net_income_discontinued","","13","12","15","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","-2","","","","","","","",""
"other_income_statement_items","-1.1368683772162E-13","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income","809.871","1023","1491","1844","2167","2765","3105","2809","2195","1783","2010","1839","1959","2286","2698","2546","3091","3447","2314","4281","5835","8442","6437","7726","7221"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","809.871","1023","1491","1844","2167","2765","3105","2809","2195","1783","2010","1839","1959","2286","2698","2546","3091","3447","2314","4281","5835","8442","6437","7726","7221"
"eps_basic","0.53","0.67","0.95","1.16","1.39","1.78","2.02","1.9","1.5","1.21","1.42","1.43","1.69","2.14","2.71","2.73","3.48","4.09","2.84","5.49","7.77","12.07","10.2","13.23","12.46"
"eps_diluted","0.52","0.65","0.93","1.13","1.35","1.73","1.99","1.86","1.49","1.21","1.42","1.43","1.69","2.14","2.71","2.73","3.47","4.09","2.84","5.49","7.75","12.04","10.17","13.2","12.45"
"shares_basic","1542.611","1544","1569.474","1589.655","1558.993","1555","1535","1481","1457","1462","1401","1271","1150","1059","988","927","880","839","811","777","748","696","629","582","582"
"shares_diluted","1557.444","1590","1603.226","1631.858","1605.185","1607","1566","1510","1468","1464","1403","1273","1152","1061","990","927","881","840","812","778","750","699","631","584","584"
"cash_and_equiv","455.658","799","853","913","530","423","364","281","245","632","652","1014","541","391","466","405","558","588","511","716","4184","862","964","614","614"
"st_investments","12.871","54","273","711","283","453","432","249","416","425","471","53","2","23","26","73","19","16","","","506","271","384","307","307"
"receivables","160.985","166","172","146","9","18","","","","","","","","","","","","","","","","","","",""
"inventories","3285.37","3611","3968","4584","5982","6635","7144","7611","8209","8249","8321","8355","8600","9127","8911","9458","10458","11393","12561","13179","16193","17605","18532","16894","16894"
"other_current_assets","242.542","290","302","168","170","259","374","545","320","426","523","650","641","755","448","625","965","775","1156","1423","1443","1322","1562","1256","1256"
"total_current_assets","4157.426","4920","5568","6522","6974","7788","8314","8686","9190","9732","9967","10072","9784","10296","9851","10561","12000","12772","14228","15318","22326","20060","21442","19071","19071"
"equity_and_other_investments","","","","","","","","","253","277","1008","242","8","11","49","20","12","27","256","372","200","199","21","252","252"
"ppe_gross","8628.331","10632","12817","15073","18010","21419","25104","28836","31477","32268","33345","34332","34666","35074","35443","35913","36918","36940","35863","39970","40534","41067","38429","39503","39503"
"accumulated_depreciation","-1593.371","-1979","-2465","-3254","-4099","-5065","-6133","-7475","-8755","-9769","-11256","-12362","-13189","-14240","-15409","-16336","-16969","-17219","-17431","-17310","-17547","-17888","-17344","-18117","-18117"
"ppe_net","7034.96","8653","10352","11819","13911","16354","18971","21361","22722","22499","22089","21970","21477","20834","20034","19577","19949","19721","18432","22660","22987","23179","21085","21386","21386"
"intangible_assets","","","","","","","","","","","","","","","","","","","","","108","211","","",""
"goodwill","","","","","","","","","","","","","","","","154","1082","1307","303","303","311","311","","",""
"other_lt_assets","165.781","163","189","410","324","497","482","822","460","497","635","1275","1397","1591","1787","954","1365","1464","1289","818","803","680","1160","1086","1086"
"total_assets","11358.167","13736","16109","18751","21209","24639","27767","30869","32625","33005","33699","33559","32666","32732","31721","31266","34408","35291","34508","39471","46735","44640","43708","41795","41795"
