"Company: ","LyondellBasell Industries NV (LYB:US)","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","",""
"Last Close Price: ","95.48","","","","","","","","","","","","","","","","",""
"Industry: ","Chemicals","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","",""
"Market Cap.: ","31754","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","40463","","","","","","","","","","","","","","","","",""
"period_end_date","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","17120","50706","30828","41151","48183","45352","44062","45608","32735","29183","34484","39004","34727","27753","46173","50451","41107","40785"
"cogs","15196","48780","29372","37102","42732","39595","37940","38939","25683","23191","28059","32529","29301","24359","37397","43847","35849","35748"
"gross_profit","1924","1926","1456","4049","5451","5757","6122","6669","7052","5992","6425","6475","5426","3394","8776","6604","5258","5037"
"sga","740","1197","850","872","918","909","870","806","828","833","859","1129","1199","1140","1255","1310","1557","1598"
"rnd","230","194","145","154","196","172","150","127","102","99","106","115","111","113","124","124","130","129"
"special_charges","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","","","","","",""
"total_opex","970","1391","995","1026","1114","1081","1020","933","930","932","965","1244","1310","1253","1379","1434","1687","1727"
"operating_income","954","535","461","3023","4337","4676","5102","5736","6122","5060","5460","5231","4116","2141","7397","5170","3571","3310"
"net_interest_income_normal","-283","-2407","-1777","-1236","-1007","-640","-294","-319","-277","-305","-467","-315","-328","-514","-510","-258","-348","-341"
"other_nonoperating_income","269","-6312","-2967","7282","201","149","188","295","364","478","500","395","264","-241","-101","-136","-596","-388"
"pretax_income","940","-8184","-4283","9069","3531","4185","4996","5712","6209","5233","5493","5311","4052","1386","6786","4776","2627","2581"
"income_tax","-279","848","1411","953","-1059","-1327","-1136","-1540","-1730","-1386","-598","-613","-648","43","-1163","-882","-501","-456"
"net_income_continuing","661","-7336","-2872","10022","2472","2858","3860","4172","4479","3847","4895","4698","3404","1429","5623","3894","2126","2125"
"net_income_discontinued","","15","1","62","-332","-24","-7","-4","-5","-10","-18","-8","-7","-2","-6","-5","-5","-5"
"income_allocated_to_minority_interest","","","6","67","7","14","4","6","2","-1","2","-2","-7","-7","-7","-7","-7","-7"
"other_income_statement_items","","","","","","","","","","","","","","","","","",""
"net_income","661","-7321","-2865","10151","2147","2848","3857","4174","4476","3836","4879","4688","3390","1420","5610","3882","2114","2113"
"preferred_dividends","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","661","-7321","-2865","10151","2147","2848","3857","4174","4476","3836","4879","4688","3390","1420","5610","3882","2114","2113"
"eps_basic","1.17","-12.98","-5.08","2.79","3.76","4.97","6.8","8.029999999999999","9.619999999999999","9.15","12.23","12.04","9.59","4.24","16.77","11.84","6.48","6.48"
"eps_diluted","1.17","-12.98","-5.08","2.78","3.74","4.92","6.75","7.99","9.59","9.130000000000001","12.23","12.01","9.58","4.24","16.75","11.81","6.46","6.47"
"shares_basic","564","564","564","564","568","573","566","518","465","419","398","389","353","334","334","327","325","325"
"shares_diluted","564","564","564","566","572","577","570","521","466","420","399","389","353","334","334","328","326","326"
"cash_and_equiv","","858","558","4222","1065","2732","4450","1031","924","875","1523","332","858","1763","1472","2151","3390","3390"
"st_investments","","32","11","","","","","1593","1064","1147","1307","892","196","702","9","","",""
"receivables","","2585","3287","3747","4537","4209","4501","4016","3246","3397","4322","4434","3455","4489","5212","4081","3989","3989"
"inventories","","3314","3277","4824","5499","5075","5279","4517","4051","3809","4217","4515","4588","4344","4901","4804","4765","4765"
"other_current_assets","","649","1119","986","334","270","369","488","504","371","369","393","413","336","623","809","1008","1008"
"total_current_assets","","7438","8252","13779","11435","12286","14599","11645","9789","9599","11738","10566","9510","11634","12217","11845","13152","13152"
"equity_and_other_investments","","2379","2119","2091","2043","2363","2114","2064","2127","2010","2072","2103","2106","4729","4786","4295","3907","3907"
"ppe_gross","","18699","18991","7607","8444","9626","11151","12050","12910","14635","16570","18701","22728","22976","24328","25449","26435","26435"
