"Company: ","MSA Safety (MSA:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","188","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Commercial Services & Supplies","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","7512","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","7934","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","468.307","509.736","564.426","698.197","857.513","911.97","919.098","1007.648","1139.447","915.851","976.631","1112.814","1110.443","1112.058","1133.885","1130.783","1149.53","1196.809","1358.104","1401.981","1348.223","1400.182","1527.953","1787.647","1802.686"
"cogs","293.96","309.68","351.587","422.273","512.0890000000001","558.921","568.41","616.203","701.679","573.266","606.532","654.447","620.895","615.213","618.5359999999999","629.6799999999999","627.283","657.918","746.241","763.352","752.731","784.8339999999999","854.122","935.509","936.415"
"gross_profit","174.347","200.056","212.839","275.924","345.424","353.049","350.688","391.445","437.768","342.585","370.099","458.367","489.548","496.845","515.349","501.103","522.247","538.891","611.8630000000001","638.629","595.492","615.348","673.831","852.138","866.271"
"sga","124.84","130.092","140.924","180.06","204.799","201.367","215.663","241.138","270.584","230.894","262.94","297.779","312.858","309.206","322.797","315.27","308.238","300.062","324.784","330.502","290.334","332.862","338.872","396.645","399.704"
"rnd","","","","20.897","22.648","21.928","26.037","30.196","35.02","28.781","32.784","39.245","40.9","45.858","48.247","48.63","46.847","50.061","52.696","57.848","58.268","57.793","57.012","67.988","68.675"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","20.936","22.59","21.525","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","145.776","152.682","162.449","200.957","227.447","223.295","241.7","271.334","305.604","259.675","295.724","337.024","353.758","355.064","371.044","363.9","355.085","350.123","377.48","388.35","348.602","390.655","395.884","464.633","468.379"
"operating_income","28.571","47.374","50.39","74.967","117.977","129.754","108.988","120.111","132.164","82.91","74.375","121.343","135.79","141.781","144.305","137.203","167.162","188.768","234.383","250.279","246.89","224.693","277.947","387.505","397.892"
"net_interest_income_normal","","","","","","","","-9.913","-8.923","-7.08","-6.728","-12.307","-9.933","-9.535","-8.029","-9.329000000000001","-13.584","-11.764","-14.293","-9.178000000000001","-5.934","-7.502","-17.505","-38.549","-37.813"
"other_nonoperating_income","-1.152","-3.77","-2.307","-1.208","-4.109","-5.958","-16.348","-4.01","-10.879","-10.49","-10.298","-7.961","3.486","-12.113","-9.081","-16.848","-1.667","-147.229","-57.755","-55.349","-72.809","-193.587","-21.909","-142.268","-10.047"
"pretax_income","27.419","43.604","48.083","73.759","113.868","123.796","92.64","106.188","112.362","65.34","57.349","101.075","129.343","120.133","127.195","111.026","151.911","29.775","162.335","185.752","168.147","23.604","238.533","206.688","350.032"
"income_tax","-8.531000000000001","-17.753","-16.87","-24.835","-42.821","-42.013","-28.722","-38.6","-42.036","-22.003","-18.29","-33.807","-41.401","-35.145","-41.044","-44.407","-57.804","-2.819","-37.22","-46.545","-43.009","-1.816","-58.903","-148.105","-83.137"
"net_income_continuing","18.888","25.851","31.213","48.924","71.047","81.783","63.918","67.58799999999999","70.32599999999999","43.337","39.059","67.268","87.94199999999999","84.988","86.151","66.619","94.107","26.956","125.115","139.207","125.138","21.788","179.63","58.583","266.895"
"net_income_discontinued","4.351","5.78","3.864","16.343","","","","","","","","2.777","3.819","3.061","1.776","1.325","-0.245","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","0.096","-0.042","-0.955","-0.193","-1.124","0.198","0.579","2.863","-1.926","-0.929","-0.965","-1.209","-1.061","-0.448","","",""
"other_income_statement_items","3.5527136788005E-15","","","","","-1.4210854715202E-14","","","","","","","1.4210854715202E-14","","1.4210854715202E-14","","1.4210854715202E-14","","","","","","","","7.105427357601E-15"
"net_income","23.239","31.631","35.077","65.267","71.047","81.783","63.918","67.58799999999999","70.422","43.295","38.104","69.852","90.637","88.247","88.506","70.807","91.93600000000001","26.027","124.15","137.998","124.077","21.34","179.63","58.583","266.895"
"preferred_dividends","0.049","0.048","0.047","0.046","0.044","0.042","0.042","0.042","0.042","","0.042","","0.042","","","","","0.042","0.042","0.042","0.041","0.041","0.041","0.041","0.041"
