"Company: ","ManpowerGroup Inc (MAN:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","71.72","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Professional Services","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","3477","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","3841","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","10843","10484","10610.9","12184.5","14675","15845.4","17562.5","20500.3","21537.1","16038.7","18866.5","22006","20678","20250.5","20762.8","19329.9","19654.1","21034.3","21991.2","20863.5","18001","20724.4","19827.5","18914.5","18565.5"
"cogs","8829","8527","8700.5","10047.7","12005.7","13013.6","14416.5","16651.7","17450.2","13220.5","15621.1","18299.7","17236","16883.8","17274.6","16034.1","16320.3","17549.7","18412.2","17488.4","15176.3","17316.9","16255.1","15556.5","15306.9"
"gross_profit","2014","1957","1910.4","2136.8","2669.3","2831.8","3146","3848.6","4086.9","2818.2","3245.4","3706.3","3442","3366.7","3488.2","3295.8","3333.8","3484.6","3579","3375.1","2824.7","3407.5","3572.4","3358","3258.6"
"sga","1636","1719","1675.6","1878.9","2271.5","2403","2613.9","3023.2","3430.3","2715.5","2938.6","3182.1","3030.3","2854.8","2768.3","2606.9","2588.3","2695.4","2782.3","2666.2","2570.3","2822.1","2940.7","3047.1","2999.7"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","67","","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","1703","1719","1675.6","1878.9","2271.5","2403","2613.9","3023.2","3430.3","2715.5","2938.6","3182.1","3030.3","2854.8","2768.3","2606.9","2588.3","2695.4","2782.3","2666.2","2570.3","2822.1","2940.7","3047.1","2999.7"
"operating_income","311","238","234.8","257.9","397.8","428.8","532.1","825.4","656.6","102.7","306.8","524.2","411.7","511.9","719.9","688.9","745.5","789.2","796.7","708.9","254.4","585.4","631.7","310.9","258.9"
"net_interest_income_normal","","","","","","","","-29","-41.8","-50","-37.5","-35.5","-35.2","-33.4","-31.5","-33.5","-45.9","-44.6","-41","-38.4","-30.2","-26.8","-29","-45.5","-47.2"
"other_nonoperating_income","-46","-40","-46.8","-35.8","-26.2","-41.8","-50.2","-5.2","-172.2","-75.59999999999999","-434.5","-8.800000000000001","-8.1","-3","-6.8","5.3","1.7","-7.3","-1","15","-76.5","9.5","-45.6","-59.5","-58.7"
"pretax_income","265","198","188","222.1","371.6","387","481.9","791.2","442.6","-22.9","-165.2","479.9","368.4","475.5","681.6","660.7","701.3","737.3","754.7","685.5","147.7","568.1","557.1","205.9","153"
"income_tax","-94","-73","-74.8","-84.40000000000001","-124.3","-131.9","-176.2","-306.5","-237.1","13.7","-98.40000000000001","-228.3","-170.8","-187.5","-254","-241.5","-257.6","-191.9","-198","-219.8","-123.9","-185.7","-183.3","-117.1","-102.3"
"net_income_continuing","171","125","113.2","137.7","247.3","255.1","305.7","484.7","205.5","-9.199999999999999","-263.6","251.6","197.6","288","427.6","419.2","443.7","545.4","556.7","465.7","23.8","382.4","373.8","88.8","50.7"
"net_income_discontinued","","","","","-1.6","5","92.3","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","","","","","-2.8421709430404E-14","","","-5.6843418860808E-14","-2.8421709430404E-14","","","2.8421709430404E-14","2.8421709430404E-14","","","-5.6843418860808E-14","5.6843418860808E-14","","","","1.7763568394003E-14","-5.6843418860808E-14","","-1.4210854715202E-14","1.0658141036402E-14"
"net_income","171","125","113.2","137.7","245.7","260.1","398","484.7","205.5","-9.199999999999999","-263.6","251.6","197.6","288","427.6","419.2","443.7","545.4","556.7","465.7","23.8","382.4","373.8","88.8","50.7"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","171","125","113.2","137.7","245.7","260.1","398","484.7","205.5","-9.199999999999999","-263.6","251.6","197.6","288","427.6","419.2","443.7","545.4","556.7","465.7","23.8","382.4","373.8","88.8","50.7"
"eps_basic","2.26","1.64","1.47","1.79","2.76","2.95","4.62","5.83","2.61","-0.12","-3.26","3.08","2.49","3.69","5.38","5.46","6.33","8.130000000000001","8.619999999999999","7.78","0.41","7.01","7.17","1.78","1"
"eps_diluted","2.22","1.59","1.41","1.7","2.59","2.87","4.54","5.73","2.58","-0.12","-3.26","3.04","2.47","3.62","5.3","5.4","6.27","8.039999999999999","8.56","7.72","0.41","6.91","7.08","1.76","0.97"
"shares_basic","75.664","76.22","77.00700000000001","76.92700000000001","88.90000000000001","88.09999999999999","86.2","83.09999999999999","78.7","78.3","81","81.59999999999999","79.5","78","79.5","76.8","70.09999999999999","67.09999999999999","64.59999999999999","59.9","58","54.5","52.2","49.8","49.8"
"shares_diluted","77.027","78.616","80.28400000000001","81","96.8","91.09999999999999","87.7","84.59999999999999","79.7","78.3","81","82.8","80.09999999999999","79.59999999999999","80.7","77.7","70.8","67.90000000000001","65.09999999999999","60.3","58.3","55.4","52.8","50.4","50.4"
"cash_and_equiv","182","245.8","284","426.2","531.8","454.9","687.9","537.5","874","1014.6","772.6","580.5","648.1","737.6","699.2","730.5","598.5","689","591.9","1025.8","1567.1","847.8","639","581.3","581.3"
"st_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"receivables","2094","1917.8","2214.2","2600.9","3227.8","3208.2","3837.2","4478.8","3629.7","3070.8","3844.1","4233.7","4239.6","4344.1","4134.5","4243","4413.1","5370.5","5276.1","5273.1","4912.4","5448.2","5137.4","4830","4830"
"inventories","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_assets","121","150.8","155.1","201.5","257.9","178.6","156.9","198.5","186.4","247","257.3","176.3","172.9","161.3","147.8","119","121.3","111.7","129.1","185.6","186.9","126.7","158","160.8","160.8"
"total_current_assets","2397","2314.4","2653.3","3228.6","4017.5","3841.7","4682","5214.8","4690.1","4332.4","4874","4990.5","5060.6","5243","4981.5","5092.5","5132.9","6171.2","5997.1","6484.5","6666.4","6422.7","5934.4","5572.1","5572.1"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"ppe_gross","441","465","533.4","606.3","669.8","642.4","693.2","760.8","744","703.6","688.8","685.6","704.1","706.2","633.5","585.4","567","633.4","613.6","1054","1015.4","968.3","950.6","940.5","940.5"
"accumulated_depreciation","-249","-271","-344.6","-419.2","-446.7","-446","-491.1","-539.6","-530.6","-527.2","-518.5","-511.1","-519.3","-540.2","-484.4","-438.3","-419.7","-475.7","-461","-462.2","-479.6","-478.1","-472.7","-396.6","-396.6"
"ppe_net","192","194","188.8","187.1","223.1","196.4","202.1","221.2","213.4","176.4","170.3","174.5","184.8","166","149.1","147.1","147.3","157.7","152.6","591.8","535.8","490.2","477.9","543.9","543.9"
"intangible_assets","248","480.8","545.7","544.3","1297","332.6","321","364.8","415.2","398.4","376.2","354.9","330.6","309.1","286.8","326.5","294.4","284","246.3","268.6","248.6","583.6","549.5","519.6","519.6"
"goodwill","","","","","","923.9","972.6","1045.9","972.9","959.1","954.1","984.7","1041.3","1090.9","1075.2","1257.4","1239.9","1343","1297.1","1260.1","1225.8","1722.2","1628.1","1586.8","1586.8"
"other_lt_assets","205","249.4","313.9","416.4","305.5","273.8","336.4","377.7","330.6","347.5","355.1","395.1","395.3","479.3","688.6","694","759.7","927.7","826.7","618.8","651.6","610.2","540.5","607.8","607.8"
"total_assets","3042","3238.6","3701.7","4376.4","5843.1","5568.4","6514.1","7224.4","6622.2","6213.8","6729.7","6899.7","7012.6","7288.3","7181.2","7517.5","7574.2","8883.6","8519.799999999999","9223.799999999999","9328.200000000001","9828.9","9130.4","8830.200000000001","8830.200000000001"
"accounts_payable","453","382.1","447","555.4","687.1","685.4","889.9","1014.4","896.3","944.4","1313.9","1370.6","1466.5","1523.9","1542.7","1659.2","1914.4","2279.4","2266.7","2474.9","2527.4","3039.2","2831.4","2723","2723"
"tax_payable","","","","","","","","583.7","479.2","391.2","482.2","1214.7","1158.2","1183.2","1088.7","1052.5","1097.9","1340.1","1238.4","1153.7","1303.1","1304.6","1209.4","1128.5","1128.5"
"current_accrued_liabilities","","234.9","295.7","836.6","1075.3","1042.6","1262","1404.1","1203.2","465.9","547.4","520.8","533.8","536.1","472.7","483.7","398.6","490.9","411","545.4","602.1","584.7","572.6","693","693"
"st_debt","66","23.7","22.8","12.1","225.7","260","32","39.7","115.6","41.7","28.7","434.2","308","36","45.2","44.2","39.8","469.4","50.1","61","20.4","552.6","26.6","12.1","12.1"
"current_deferred_revenue","","","","","","","","","","","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","1003","649.9","796.8","473.8","613.8","592.5","697.7","213.6","213.2","759.8","917.9","221.9","210.7","230.4","204.5","211.4","208.1","230.6","209.7","206.4","231.8","299.4","271.7","243.1","243.1"
"total_current_liabilities","1522","1290.6","1562.3","1877.9","2601.9","2580.5","2881.6","3255.5","2907.5","2603","3290.1","3762.2","3677.2","3509.6","3353.8","3451","3658.8","4810.4","4175.9","4441.4","4684.8","5780.5","4911.7","4799.7","4799.7"
"lt_debt","492","811.1","799","829.6","676.1","475","791.2","874.8","837.3","715.6","669.3","266","462.1","481.9","422.6","810.9","785.6","478.1","1025.3","1012.4","1103.5","565.7","959.9","990.5","990.5"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","336.7","305.1","275.8","266.6","323.2","323.2"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_lt_liabilities","288","322.6","340.5","358.6","391.1","366.3","367.1","424.8","418","358.7","373.1","388.1","372.5","382.6","461.8","563.1","683.4","737.5","620.1","671.8","781.2","675.2","534.1","482.7","482.7"
"total_liabilities","2302","2424.3","2701.8","3066.1","3669.1","3421.8","4039.9","4555.1","4162.8","3677.3","4332.5","4416.3","4511.8","4374.1","4238.2","4825","5127.8","6026","5821.3","6462.3","6874.6","7297.2","6672.3","6596.1","6596.1"
"common_stock","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","-497","-387.6","-289.7","-167.6","51","269.9","617","1040.3","1176.8","1109.6","785.2","971.7","1101.5","1317.5","1667.8","1966","2291.3","2713","3157.7","3494.1","3388.8","3634.6","3868.5","3813","3813"
"aoci","-145","-190.8","-123.7","28.3","109.4","-11","120.6","257.6","","106.9","87","35.3","34.4","82.2","-155.2","-286","-426.1","-288.2","-399.8","-441","-397.3","-389.4","-458.7","-466","-466"
"apic","1631","1644.9","1696.2","1732.5","2296.4","2346.7","2420.7","2481.8","2514.8","2544.2","2781.7","2839.9","2873.2","3014","3084.2","3186.7","3227.2","3302.6","3337.5","3370.6","3402.5","3444.7","3484.2","3514.9","3514.9"
"treasury_stock","-250","-253.1","-283.8","-283.8","-283.8","-460","-685.1","-1111.4","-1224.3","-1225.2","-1257.8","-1364.6","-1509.4","-1500.6","-1654.9","-2243.2","-2731.7","-2953.7","-3471.7","-3681.9","-3954.2","-4169.4","-4447.9","-4639.8","-4639.8"
"other_equity","","-0.10000000000002","-0.10000000000025","-0.10000000000014","","","","","-8.9000000000001","","0.10000000000036","0.09999999999990901","0.10000000000036","0.09999999999990901","0.10000000000082","0.19999999999982","0.20000000000027","0.20000000000027","0.20000000000027","0.20000000000027","0.19999999999982","0.19999999999982","0.19999999999936","0.20000000000027","0.20000000000027"
"minority_interest_liability","","","","","","","","","","","","","","","","67.8","84.5","82.7","73.59999999999999","18.5","12.6","10","10.8","10.8","10.8"
"total_equity","740","814.3","999.9","1310.3","2174","2146.6","2474.2","2669.3","2459.4","2536.5","2397.2","2483.4","2500.8","2914.2","2943","2692.5","2446.4","2857.6","2698.5","2761.5","2453.6","2531.7","2458.1","2234.1","2234.1"
"total_liabilities_and_equity","3042","3238.6","3701.7","4376.4","5843.1","5568.4","6514.1","7224.4","6622.2","6213.8","6729.7","6899.7","7012.6","7288.3","7181.2","7517.5","7574.2","8883.6","8519.799999999999","9223.799999999999","9328.200000000001","9828.9","9130.4","8830.200000000001","8830.200000000001"
"cfo_net_income","171","125","113.2","137.7","245.7","260.1","398","484.7","205.5","-9.199999999999999","-263.6","251.6","197.6","288","427.6","419.2","443.7","545.4","556.7","465.7","23.8","382.4","373.8","88.8","50.7"
"cfo_da","67","80","72.7","72","94.3","94.8","88.8","99","107.1","97.2","110.1","104.4","100.5","94.3","83.8","77.7","85.3","84.40000000000001","85.8","77.2","76.3","73.40000000000001","84.59999999999999","88.59999999999999","89.2"
"cfo_receivables","-261","217","-53.3","-74.3","-363.9","-350.4","-381","-316","575","663.6","-708.1","-417.1","48.3","-82.59999999999999","-270.5","-369.8","-317.2","-544.9","-146.4","-80.2","586.9","-640.9","28.8","391.8","277.7"
"cfo_inventory","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_prepaid_expenses","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_other_working_capital","230","-303","66.40000000000001","84.3","207","193.2","353","95.90000000000001","-269.9","-424.2","631.7","49.5","-62.1","31.7","-43.7","253.2","267.5","466","-51.9","393.4","116.7","776.5","-168.5","-293.1","-144.3"
"cfo_change_in_working_capital","-31","-86","13.1","10","-156.9","-157.2","-28","-220.1","305.1","239.4","-76.40000000000001","-367.6","-13.8","-50.9","-314.2","-116.6","-49.7","-78.90000000000001","-198.3","313.2","703.6","135.6","-139.7","98.7","133.4"
"cfo_deferred_tax","-16","-7","10.7","-13","-8.800000000000001","49.1","-19.6","25.4","-32.8","-29.2","-68.5","24.8","-11.6","17","54","91.2","74","-196.8","-11.9","-43","-10.4","-1.3","4.8","-20.6","-31.3"
"cfo_stock_comp","","","","","","","","26","21.1","17.5","24.1","31.4","30","31.5","40.6","31.1","27.1","28.7","27.8","26.3","24.2","36.8","37.6","28.7","31.1"
"cfo_other_noncash_items","-33","24","18.2","16.7","14","22","-80.09999999999999","17.2","186","98.59999999999999","456.4","24.6","28.9","16.8","14.4","8.9","19.6","18.1","23","-25","118.9","17.9","62.2","64","66.5"
"cf_cfo","158","136","227.9","223.4","188.3","268.8","359.1","432.2","792","414.3","182.1","69.2","331.6","396.7","306.2","511.5","600","400.9","483.1","814.4","936.4","644.8","423.3","348.2","339.6"
"cfi_ppe_net","-76","-71","-53.2","-49.5","-62.3","-72.8","-74.7","12.9","5.9","3.6","4.9","4.4","3.7","3.4","2.1","14.7","4.1","12.9","18.9","-52.9","-50.7","-64.2","-75.59999999999999","-78.2","-62.9"
"cfi_acquisitions_net","","","","","","","","-122.8","-242","-21.6","-270","-49","-49","-46.3","-32","-260.5","-57.6","-19.8","9.800000000000001","36.7","8.300000000000001","-922.8","-9.699999999999999","4.1","4.1"
"cfi_investment_net","","","","","","","8.800000000000001","","","13.3","","","","","","","","","","","","","","",""
"cfi_intangibles_net","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfi_other","-172","-296","-33.5","-6.7","-87.5","-12.9","110.9","-91.59999999999999","-93.09999999999999","-35.1","-58.5","-64.90000000000001","-72","-44.7","-51.5","-52.3","-56.9","-67.59999999999999","-83.59999999999999","3.5527136788005E-15","7.105427357601E-15","","","1.4210854715202E-14","-11.8"
"cf_cfi","-248","-367","-86.7","-56.2","-149.8","-85.7","45","-201.5","-329.2","-39.8","-323.6","-109.5","-117.3","-87.59999999999999","-81.40000000000001","-298.1","-110.4","-74.5","-54.9","-16.2","-42.4","-987","-85.3","-74.09999999999999","-70.59999999999999"
"cff_common_stock_net","-10","11","-1.3","35.6","59.1","-189.6","-181.9","-384.2","-113.2","14.2","-34.8","-104.5","-138.2","","-143.5","-580.2","-482.2","-203.9","-500.7","-203","-264.7","-210","-270","-179.8","-199.8"
"cff_pfd_net","","","","","","","","","","","","","","","","","","","","","","","","",""
"cff_debt_net","71","313","-115","-84.5","5.7","-31.8","2.2","4.9","79","-227.4","-14.9","15.3","41.7","-271.3","13.4","456.1","-6.7","5.2","178.2","19.5","-38.5","70.3","-58.7","-16.2","-2"
"cff_dividend_paid","-15","-15","-15.3","-15.6","-27.1","-41.2","-50.9","-57.1","-58.1","-58","-60.8","-65.09999999999999","-67.8","-72","-77.3","-121","-118.4","-123.7","-127.3","-129.3","-129.1","-136.6","-139.9","-144.3",""
"cff_other","1","-1","","","7.105427357601E-15","50.7","8.199999999999999","4.6","0.50000000000001","0.5000000000000601","28.4","30.8","-0.30000000000001","117.1","19.2","100.9","9.6999999999999","3.1","-35.1","-24.6","-2.9","-7.4","-13.5","-9.199999999999999","-156.4"
"cf_cff","47","308","-131.6","-64.5","37.7","-211.9","-222.4","-431.8","-91.8","-270.7","-82.09999999999999","-123.5","-164.6","-226.2","-188.2","-144.2","-597.6","-319.3","-484.9","-337.4","-435.2","-283.7","-482.1","-349.5","-358.2"
"ebitda","378","318","307.5","329.9","492.1","523.6","620.9","924.4","763.7","199.9","416.9","628.6","512.2","606.2","803.7","766.6","830.8","873.6","882.5","786.1","330.7","658.8","716.3","399.5","348.1"
"capex","-76","-71","-53.2","-49.5","-62.3","-72.8","-74.7","12.9","5.9","3.6","4.9","4.4","3.7","3.4","2.1","14.7","4.1","12.9","18.9","-52.9","-50.7","-64.2","-75.59999999999999","-78.2","-62.9"
"fcf","82","65","174.7","173.9","126","196","284.4","445.1","797.9","417.9","187","73.59999999999999","335.3","400.1","308.3","526.2","604.1","413.8","502","761.5","885.7","580.6","347.7","270","276.7"
"book_value","740","814.3","999.9","1310.3","2174","2146.6","2474.2","2669.3","2459.4","2536.5","2397.2","2483.4","2500.8","2914.2","2943","2692.5","2446.4","2857.6","2698.5","2761.5","2453.6","2531.7","2458.1","2234.1","2187.7"
