"Company: ","Maravai Lifesciences Holdings Inc (MRVI:US)","","","","","",""
"Exchange: ","NASDAQ","","","","","",""
"Last Close Price: ","6.87","","","","","",""
"Industry: ","Life Sciences Tools & Services","","","","","",""
"Currency: ","USD","","","","","",""
"Country: ","US","","","","","",""
"Market Cap.: ","1781","","","","","",""
"Enterprise Value: ","1737","","","","","",""
"period_end_date","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","123.833","143.14","284.098","799.24","883.001","288.945","274.099"
"cogs","60.765","66.849","79.649","140.561","168.957","148.743","153.402"
"gross_profit","63.068","76.291","204.449","658.679","714.044","140.202","120.697"
"sga","41.194","48.354","94.245","100.064","129.259","151.39","153.604"
"rnd","4.499","3.627","9.304","15.219","18.369","17.28","18.167"
"special_charges","","","","","","",""
"other_opex","","","","","","",""
"total_opex","45.693","51.981","103.549","115.283","147.628","168.67","171.771"
"operating_income","17.375","24.31","100.9","543.396","566.4160000000001","-28.468","-51.074"
"net_interest_income_normal","-27.399","-29.959","-30.74","-30.26","-18.076","-18.165","-16.031"
"other_nonoperating_income","-6.474","-0.204","11.536","17.629","3.132","664.369","666.955"
"pretax_income","-16.498","-5.853","81.696","530.765","551.472","617.736","599.85"
"income_tax","-0.417","0.652","-2.88","-61.515","-60.809","-756.111","-759.557"
"net_income_continuing","-16.915","-5.201","78.816","469.25","490.663","-138.375","-159.707"
"net_income_discontinued","","","","","","",""
"income_allocated_to_minority_interest","-0.8159999999999999","-3.285","-1.928","-287.213","-270.458","19.346","28.667"
"other_income_statement_items","","","","2.8421709430404E-14","2.8421709430404E-14","","-2.9309887850104E-14"
"net_income","-17.731","-8.486000000000001","76.88800000000001","182.037","220.205","-119.029","-131.04"
"preferred_dividends","","","","","","",""
"net_income_available_to_shareholders","-17.731","-8.486000000000001","76.88800000000001","182.037","220.205","-119.029","-131.04"
"eps_basic","-0.2","-0.1","7.43","1.59","1.67","-0.9","-0.99"
"eps_diluted","-0.2","-0.1","2.36","1.56","1.67","-0.9","-0.99"
"shares_basic","88.96599999999999","88.96599999999999","10.351","114.791","131.545","131.919","131.919"
"shares_diluted","88.96599999999999","88.96599999999999","28.908","257.803","255.323","131.919","131.919"
"cash_and_equiv","21.866","24.7","236.184","551.272","632.138","574.962","574.962"
"st_investments","","","","","","",""
"receivables","15.991","18.03","51.018","117.512","146.814","55.723","55.723"
"inventories","14.308","14.202","33.301","51.557","43.152","51.397","51.397"
"other_current_assets","1.637","3.62","11.095","19.698","25.798","17.83","17.83"
"total_current_assets","53.802","60.552","331.598","740.039","847.902","699.912","699.912"
"equity_and_other_investments","","","","","","",""
"ppe_gross","46.867","102.41","111.952","107.959","136.092","254.86","254.86"
"accumulated_depreciation","-4.289","-8.099","-10.647","-12.532","-19.502","-32.214","-32.214"
"ppe_net","42.578","94.31100000000001","101.305","95.42700000000001","116.59","222.646","222.646"
"intangible_assets","218.122","197.848","177.651","117.567","243.914","220.986","220.986"
"goodwill","224.28","224.28","224.28","152.77","283.67","326.03","326.03"
"other_lt_assets","0.89400000000012","0.80500000000006","435.857","812.473","790.239","17.876","17.876"
"total_assets","539.676","577.796","1270.691","1918.276","2282.315","1487.45","1487.45"
"accounts_payable","3.604","7.478","8.170999999999999","8.154","5.991","10.729","10.729"
"tax_payable","2.074","3.03","5.186","1.398","1.029","1.001","1.001"
"current_accrued_liabilities","2.513","6.053","13.821","8.131","14.535","37.395","37.395"
"st_debt","2.5","2.5","6","6","5.44","5.44","5.44"
"current_deferred_revenue","1.087","0.841","79.152","12.64","4.753","5.516","5.516"
"current_deferred_tax_liability","","","","","","",""
"other_current_liabilities","24.141","9.66","18.448","53.732","72.127","19.974","19.974"
"total_current_liabilities","35.919","29.562","130.778","93.777","110.144","87.468","87.468"
"lt_debt","335.55","334.783","528.614","524.591","521.997","518.707","518.707"
