"Company: ","Marriott International Inc (MAR:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","244.83","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Hotels, Restaurants & Leisure","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","70165","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","81484","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","7911","7768","8415","9014","10099","11129","11995","12990","12879","10908","11691","12317","11814","12784","13796","14486","15407","20452","20758","20972","10571","13857","20773","23713","24075"
"cogs","6975","6693","7584","8114","9015","9677","10231","11034","11256","9673","10216","11039","10190","11020","11830","12363","12735","16639","17084","17755","9112","11056","16215","18589","18959"
"gross_profit","936","1075","831","900","1084","1452","1764","1956","1623","1235","1475","1278","1624","1764","1966","2123","2672","3813","3674","3217","1459","2801","4558","5124","5116"
"sga","125","655","510","523","607","781","677","785","803","722","780","752","582","649","659","634","743","921","927","938","762","823","891","1011","1070"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","-28","","-17","","","","","102","127","148","139","119","229","226","341","346","220","193","189","190"
"total_opex","125","655","510","523","607","753","677","768","803","722","780","752","684","776","807","773","862","1150","1153","1279","1108","1043","1084","1200","1260"
"operating_income","811","420","321","377","477","699","1087","1188","820","513","695","526","940","988","1159","1350","1810","2663","2521","1938","351","1758","3474","3924","3856"
"net_interest_income_normal","","","","","","","","","-124","-93","-161","-150","-120","-97","-85","-138","-199","-250","-318","-368","-418","-392","-377","-535","-577"
"other_nonoperating_income","-40","1","150","111","177","130","5","-51","-2","-838","17","-20","29","6","14","43","-372","569","142","29","-399","-186","17","-11","-18"
"pretax_income","771","421","471","488","654","829","1092","1137","694","-418","551","356","849","897","1088","1255","1239","2982","2345","1599","-466","1180","3114","3378","3261"
"income_tax","-281","-152","-32","43","-100","-284","-380","-441","-350","65","-93","-158","-278","-271","-335","-396","-431","-1523","-438","-326","199","-81","-756","-295","-371"
"net_income_continuing","490","269","439","531","554","545","712","696","344","-353","458","198","571","626","753","859","808","1459","1907","1273","-267","1099","2358","3083","2890"
"net_income_discontinued","-11","-33","-162","26","2","126","5","-1","3","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","-55","40","-2","6","1","15","7","","","","","","","","","","","","","","",""
"other_income_statement_items","","","","","","","-115","","","","","","","","","","","","","","","","","",""
"net_income","479","236","277","502","596","669","608","696","362","-346","458","198","571","626","753","859","808","1459","1907","1273","-267","1099","2358","3083","2890"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","479","236","277","502","596","669","608","696","362","-346","458","198","571","626","753","859","808","1459","1907","1273","-267","1099","2358","3083","2890"
"eps_basic","0.97","0.48","0.58","1.08","1.31","1.61","1.48","1.83","1.02","-0.97","1.26","0.5600000000000001","1.77","2.05","2.6","3.22","2.78","3.89","5.45","3.83","-0.82","3.36","7.27","10.23","9.73"
"eps_diluted","0.93","0.46","0.54","1.01","1.23","1.43","1.4","1.73","0.98","-0.97","1.21","0.55","1.72","2","2.54","3.15","2.73","3.84","5.38","3.8","-0.82","3.34","7.24","10.18","9.69"
"shares_basic","487.017","494.232","488.357","470.825","459.719","445.634","409.763","380.328","355.6","356.4","362.8","350.1","322.6","305","289.9","267.3","290.9","375.2","350.1","332.7","325.8","327.2","324.4","301.5","301.5"
"shares_diluted","515.144","518.651","509.141","497.536","485.898","466.422","435.919","402.061","370.7","356.4","378.3","362.3","332.9","313","296.8","272.8","290.9","379.9","354.2","335.5","325.8","329.3","325.8","302.9","302.9"
"cash_and_equiv","334","817","198","229","770","203","191","332","134","115","505","102","88","126","104","96","858","383","316","225","877","1393","507","338","338"
"st_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"receivables","728","611","522","728","797","1001","1060","1148","898","838","938","875","1028","1081","1100","1103","1695","1973","2133","2395","1768","1982","2571","2712","2712"
"inventories","97","96","","","","1164","1186","1557","1981","1444","1489","11","","","","","","","","","","","","",""
"other_current_assets","256","606","1053","390","379","1022","882","535","393","454","450","336","359","696","406","185","818","384","257","507","180","251","235","261","261"
"total_current_assets","1415","2130","1773","1347","1946","3390","3319","3572","3406","2851","3382","1324","1475","1903","1610","1384","3371","2740","2706","3127","2825","3626","3313","3311","3311"
"equity_and_other_investments","","","","","","","","","346","249","250","265","216","222","224","165","728","734","732","577","422","387","335","308","308"
"ppe_gross","3747","3489","3030","3070","3070","1919","2092","2348","2519","2548","2556","2095","2530","2448","2378","1926","3320","2890","3473","4093","3154","3415","3446","3400","3400"
"accumulated_depreciation","-506","-559","-470","-557","-681","-785","-859","-1019","-1076","-1186","-1249","-927","-991","-905","-918","-897","-985","-1097","-1517","-1301","-888","-850","-874","-890","-890"
"ppe_net","3241","2930","2560","2513","2389","1134","1233","1329","1443","1362","1307","1168","1539","1543","1460","1029","2335","1793","1956","2792","2266","2565","2572","2510","2510"
"intangible_assets","1833","1764","1418","1449","1436","466","575","635","710","731","768","846","1115","1131","1351","1451","9270","8544","8380","8641","8989","8926","8747","9190","9190"
"goodwill","","","","","","924","921","921","875","875","875","875","874","874","894","943","7598","9207","9039","9048","9175","9073","8872","8886","8886"
"other_lt_assets","1748","2283","2545","2868","2897","2616","2540","2485","2123","1865","2401","1432","1123","1121","1294","1110","838","828","883","866","1024","976","976","1469","1469"
"total_assets","8237","9107","8296","8177","8668","8530","8588","8942","8903","7933","8983","5910","6342","6794","6833","6082","24140","23846","23696","25051","24701","25553","24815","25674","25674"
"accounts_payable","660","697","529","584","570","520","658","789","704","562","634","548","569","557","605","593","687","783","767","720","527","726","746","738","738"
"tax_payable","","","","","","","","","","","","","","","","","","","","","","","","",""
"current_accrued_liabilities","","358","","412","508","559","614","642","633","519","692","","745","1446","1432","1388","2285","2505","2308","2722","2283","2354","2595","3143","3143"
"st_debt","","","221","64","489","56","15","175","120","64","138","355","407","6","324","300","309","398","833","977","1173","805","684","553","553"
"current_deferred_revenue","","","","","","141","178","101","","","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","1257","747","1457","710","789","857","1057","1169","1076","1142","1037","1655","1052","666","677","952","1866","2121","2529","2258","1769","2522","3314","3328","3328"
"total_current_liabilities","1917","1802","2207","1770","2356","2133","2522","2876","2533","2287","2501","2558","2773","2675","3038","3233","5147","5807","6437","6677","5752","6407","7339","7762","7762"
"lt_debt","2016","2815","1553","1391","836","1681","1818","2790","2975","2234","2691","1816","2528","3147","3447","3807","8197","7840","8514","9963","9203","9333","9380","11320","11320"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","882","823","1098","1034","887","887"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","","","","","","","","","","","","","","","16","1020","1188","1216","1130","1625","1350","1372","1227","1227"
"other_lt_liabilities","1037","1012","963","1172","1383","1464","1630","1847","2004","2270","2206","2317","2326","2387","2548","2616","4419","5429","5304","5696","6868","5951","5122","5160","5160"
"total_liabilities","4970","5629","4723","4333","4575","5278","5970","7513","7512","6791","7398","6691","7627","8209","9033","9672","18783","20264","21471","24348","24271","24139","24247","26356","26356"
"common_stock","3","3","3","3","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","851","941","1126","1505","1951","2500","2860","3332","3565","3103","3286","3212","3509","3837","4286","4878","6501","7242","8982","9644","9206","10305","12342","14838","14838"
"aoci","-723","-341","-113","-122","-99","-148","44","51","-15","13","-2","-48","-44","-44","-70","-196","-497","-17","-391","-361","-135","-342","-729","-647","-647"
"apic","3590","3378","3224","3317","3423","3562","3617","3531","3590","3585","3644","2513","2585","2716","2802","2821","5808","5770","5814","5800","5851","5892","5965","6051","6051"
"treasury_stock","-454","-503","-667","-865","-1197","-2667","-3908","-5490","-5765","-5564","-5348","-6463","-7340","-7929","-9223","-11098","-6460","-9418","-12185","-14385","-14497","-14446","-17015","-20929","-20929"
"other_equity","","","","","","","","","","","","","","","","","","","","","","","","",""
"minority_interest_liability","","","","6","12","","","","11","","","","","","","","","","","","","","","",""
"total_equity","3267","3478","3573","3844","4093","3252","2618","1429","1391","1142","1585","-781","-1285","-1415","-2200","-3590","5357","3582","2225","703","430","1414","568","-682","-682"
"total_liabilities_and_equity","8237","9107","8296","8177","8668","8530","8588","8942","8903","7933","8983","5910","6342","6794","6833","6082","24140","23846","23696","25051","24701","25553","24815","25674","25674"
