"Company: ","Martin Marietta Materials Inc (MLM:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","534.99","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Construction Materials","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","32976","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","34275","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","1517.517","1594.361","1588.553","1627.486","1720.369","1975.288","2191.052","2194.904","2116.421","1702.603","1652.806","1713.616","2031.901","2155.551","2957.951","3539.57","3818.749","3965.6","4244.3","4739.1","4729.9","5414","6160.7","6777.2","6674.1"
"cogs","1213.946","1299.068","1301.102","1314.049","1373.782","1546.353","1665.759","1626.025","1645.906","1364.87","1331.155","1411.614","1704.767","1791.594","2435.591","2812.65","2907.011","2993.7","3277.7","3560.1","3477.1","4065.6","4737.4","4754.6","4682.3"
"gross_profit","303.571","295.293","287.451","313.437","346.587","428.935","525.293","568.879","470.515","337.733","321.651","302.002","327.134","363.957","522.36","726.92","911.7380000000001","971.9","966.6","1179","1252.8","1348.4","1423.3","2022.6","1991.8"
"sga","98.768","91.619","113.3","120.36","127.337","130.703","146.665","155.186","151.348","139.4","130.422","124.138","138.398","150.091","169.245","210.754","241.606","262.1","280.6","302.7","305.9","351","396.7","442.8","456.4"
"rnd","2.326","0.556","0.369","0.612","0.891","0.662","0.736","0.869","0.596","0.373","1.22","18.575","35.14","0.671","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
