"Company: ","Masco Corporation (MAS:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","65.48","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Building Products","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","14996","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","17573","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","7243","8358","8831","10376","11783","12500","12499","11532","9484","7792","7486","7170","7495","6761","7006","7142","7361","6014","6654","6707","7188","8375","8680","7967","7914"
"cogs","4726.03","5806.8","6040","7192","8143","8932","9056","8380","7125","5774","5653","5383","5539","4802","4946","4889","4899","3794","4327","4336","4601","5512","5967","5131","5062"
"gross_profit","2516.97","2551.2","2791","3184","3640","3568","3443","3152","2359","2018","1833","1787","1956","1959","2060","2253","2462","2220","2327","2371","2587","2863","2713","2836","2852"
"sga","1221.94","1418.2","1393","1754","1974","1941","2010","1979","1802","1701","1598","1543","1535","1347","1347","1339","1407","1217","1264","1295","1327","1843","1400","1481","1491"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","238.33","93.2","147","-19","82","37","317","","","","","","","","","","","","","","","","","",""
"total_opex","1460.27","1511.4","1540","1735","2056","1978","2327","1979","1802","1701","1598","1543","1535","1347","1347","1339","1407","1217","1264","1295","1327","1843","1400","1481","1491"
"operating_income","1056.7","1039.8","1251","1449","1584","1590","1116","1173","557","317","235","244","421","612","713","914","1055","1003","1063","1076","1260","1020","1313","1355","1361"
"net_interest_income_normal","","","","","","","","-258","-228","-225","-244","-245","-247","-232","-222","-222","-225","-275","-151","-156","-141","-277","-106","-97","-95"
"other_nonoperating_income","-163.3","-739.1","-285","-202","-50","-165","-225","-49","-522","-243","-732","-391","-101","6","16","-3","2","-10","-5","-6","12","-55","-14","-20","-24"
"pretax_income","893.4","300.7","966","1247","1534","1425","891","866","-193","-151","-741","-392","73","386","507","689","832","718","907","914","1131","688","1193","1238","1242"
"income_tax","-301.7","-102.2","-327","-465","-571","-514","-406","-335","-134","49","-240","40","-91","-86","361","-293","-296","-245","-221","-230","-269","-210","-288","-278","-274"
"net_income_continuing","591.7","198.5","639","782","963","911","485","531","-327","-102","-981","-352","-18","300","868","396","536","473","686","684","862","478","905","960","968"
"net_income_discontinued","","","43","37","-51","51","33","-108","-25","-43","-21","-181","-61","29","35","-2","","107","98","296","414","","","",""
"income_allocated_to_minority_interest","","","","-13","-19","-22","-27","-37","-39","-38","-41","-42","-35","-41","-47","-39","-43","-47","-50","-45","-52","-68","-61","-52","-50"
"other_income_statement_items","","","-92","","","","-3","","","","","","","","","","","","","","","","","",""
"net_income","591.7","198.5","590","806","893","940","488","386","-391","-183","-1043","-575","-114","288","856","355","493","533","734","935","1224","410","844","908","918"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","591.7","198.5","590","806","893","940","488","386","-391","-183","-1043","-575","-114","288","856","355","493","533","734","935","1224","410","844","908","918"
"eps_basic","1.34","0.37","1.07","1.69","2.01","2.23","1.23","1.05","-1.13","-0.53","-3","-1.66","-0.33","0.8","2.4","1.03","1.49","1.68","2.38","3.24","4.6","1.63","3.65","4.03","4.12"
"eps_diluted","1.31","0.35","1.01","1.65","1.96","2.19","1.22","1.03","-1.13","-0.53","-3","-1.66","-0.33","0.8","2.38","1.02","1.48","1.66","2.37","3.22","4.59","1.62","3.63","4.02","4.08"
"shares_basic","441.567","536.486","551.402","476.923","445","422","394","369","353","351","349","348","349","350","349","338","326","314","305","287","264","249","231","225","225"
"shares_diluted","451.679","567.143","584.158","488.485","456","430","400","373","353","351","349","348","349","352","352","341","330","318","307","288","264","251","232","226","226"
"cash_and_equiv","169.43","311.99","1067","795","1256","1964","1958","922","1028","1413","1715","1656","1040","1223","1379","1468","990","1194","552","697","1326","926","452","634","634"
"st_investments","","","","","","","","","","","","","311","321","306","248","201","108","","","","","","",""
"receivables","1099.15","1204.21","1546","1674","1732","1716","1613","1405","999","983","888","914","933","1004","820","853","917","1066","990","997","1138","1171","1149","1090","1090"
"inventories","912.96","913.1","1056","1019","1132","1127","1263","1126","941","743","732","769","726","765","712","687","712","784","798","754","876","1216","1236","1022","1022"
"other_current_assets","126.62","197.62","281","316","282","316","281","355","332","312","129","90","207","155","403","72","114","111","426","263","149","109","109","110","110"
"total_current_assets","2308.16","2626.92","3950","3804","4402","5123","5115","3808","3300","3451","3464","3429","3217","3468","3620","3328","2934","3263","2766","2711","3489","3422","2946","2856","2856"
"equity_and_other_investments","","","","","","","","","","","","112","95","113","50","48","18","13","12","11","157","25","22","",""
"ppe_gross","2833.29","3029.95","3461","3597","3535","3518","3840","3990","3745","3659","3639","3346","3013","2990","2627","2574","2618","2665","1842","2072","2187","2226","2432","2662","2662"
"accumulated_depreciation","-926.45","-1013.22","-1146","-1258","-1263","-1345","-1477","-1623","-1609","-1678","-1902","-1779","-1687","-1738","-1581","-1547","-1558","-1536","-957","-1018","-1113","-1143","-1191","-1272","-1272"
"ppe_net","1906.84","2016.73","2315","2339","2272","2173","2363","2367","2136","1981","1737","1567","1326","1252","1046","1027","1060","1129","885","1054","1074","1083","1241","1390","1390"
"intangible_assets","2190.77","3522.67","4651","4835","4734","307","306","323","299","290","269","196","151","149","142","160","154","187","288","259","357","388","350","377","377"
"goodwill","","","","","","4171","3957","3938","3371","3108","2383","1891","1894","1903","840","839","832","841","511","509","563","568","537","603","603"
"other_lt_assets","1338.23","1017.01","1134","1195","1133","785","584","471","377","345","287","102","192","72","1510","262","139","101","931","483","137","89","91","137","137"
"total_assets","7744","9183.33","12050","12173","12541","12559","12325","10907","9483","9175","8140","7297","6875","6957","7208","5664","5137","5534","5393","5027","5777","5575","5187","5363","5363"
"accounts_payable","250.46","322.28","542","715","837","837","815","714","531","578","602","770","788","902","721","749","800","824","736","697","893","1045","877","840","840"
"tax_payable","","","","","","","","","","","","28","27","32","25","25","19","27","14","18","32","34","48","",""
"current_accrued_liabilities","","784.42","1070","1148","1230","1225","1128","1072","945","839","819","696","723","671","613","570","574","612","530","544","719","669","598","852","852"
"st_debt","210.95","129.86","321","334","80","832","1446","122","71","364","66","803","206","6","505","1004","2","116","8","2","3","10","205","3","3"
"current_deferred_revenue","","","","","","","","","","","","","","","","","","32","39","40","62","67","61","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","616.64","","-1","","","","","","","","","66","118","75","347","55","65","56","357","209","186","76","61","",""
"total_current_liabilities","1078.05","1236.56","1932","2197","2147","2894","3389","1908","1547","1781","1487","2363","1862","1686","2211","2403","1460","1667","1684","1548","1934","1939","1889","1695","1695"
"lt_debt","3018.24","3627.63","4316","3848","4187","3915","3533","3966","3915","3604","4032","3222","3422","3421","2919","2403","2995","2969","2971","2771","2792","2949","2946","2945","2945"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","162","149","172","255","258","258"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","221.65","199.31","508","672","740","902","932","1008","1040","973","1039","970","1053","397","","","","","","","","","","",""
"other_lt_liabilities","","-9.094947017729301E-13","","","44","","","","","","","","4","666","950","800","785","715","669","602","481","437","339","349","349"
"total_liabilities","4317.94","5063.5","6756","6717","7118","7711","7854","6882","6502","6358","6558","6555","6341","6170","6080","5606","5240","5351","5324","5083","5356","5497","5429","5247","5247"
"common_stock","445","459","489","458","447","419","384","359","351","350","349","348","349","349","345","330","318","310","294","276","258","241","225","221","221"
"preferred_stock","","0.02","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","2519.94","2468.23","2783","3299","3880","4286","3575","2969","2162","1871","720","38","-102","79","690","-300","-381","-298","-278","-332","79","-652","-947","-596","-596"
"aoci","-169.75","-188.29","-186","256","454","143","512","697","308","366","273","76","59","115","-111","-165","-235","-65","-127","-179","-142","232","226","249","249"
"apic","631.12","1380.82","2207","1443","642","","","","","42","42","65","16","16","","","","","","","","","16","",""
"treasury_stock","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_equity","-0.25","0.050000000000182","1","","","","","","","","","","","","","","","","","","","","","",""
"minority_interest_liability","","","","","","","","","160","188","198","215","212","228","204","193","195","236","180","179","226","257","238","242","242"
"total_equity","3426.06","4119.83","5294","5456","5423","4848","4471","4025","2981","2817","1582","742","534","787","1128","58","-103","183","69","-56","421","78","-242","116","116"
"total_liabilities_and_equity","7744","9183.33","12050","12173","12541","12559","12325","10907","9483","9175","8140","7297","6875","6957","7208","5664","5137","5534","5393","5027","5777","5575","5187","5363","5363"
"cfo_net_income","591.7","198.5","590","806","893","940","488","386","-352","-145","-979","-403","-76","329","903","394","536","580","784","980","1276","478","905","960","988"
"cfo_da","238.33","269.49","220","244","237","241","244","248","238","254","279","263","214","186","167","133","134","127","156","159","133","151","145","149",""
"cfo_receivables","-12.09","-86.75","-99","-126","-114","-94","106","243","294","20","80","-60","-50","-85","-81","-104","-132","-140","-46","-37","-141","-64","-15","42","-22"
"cfo_inventory","-89.81","47.58","11","39","-138","-57","-126","157","104","198","2","-54","-16","-24","-75","17","-37","-78","-11","58","-89","-350","-43","233","144"
"cfo_prepaid_expenses","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_other_working_capital","-64.2","76.54000000000001","76","123","242","160","-37","-117","-237","24","33","112","102","147","63","82","79","67","108","-27","332","190","-225","-34","-37"
"cfo_change_in_working_capital","-166.1","37.37","-12","36","-10","9","-57","283","161","242","115","-2","36","38","-93","-5","-90","-151","51","-6","102","-224","-283","241","85"
"cfo_deferred_tax","15.26","-94.89","64","179","91","75","-42","-41","20","-83","168","-112","50","42","-406","248","170","46","46","-18","22","-53","2","-3",""
"cfo_stock_comp","","","","","","","","94","74","69","62","61","61","54","47","41","29","38","27","35","45","61","49","31",""
"cfo_other_noncash_items","54.65","556.17","363","156","243","109","575","300","656","368","820","432","-4","-4","-16","-1","10","111","-32","-317","-625","517","22","35","213"
"cf_cfo","733.84","966.64","1225","1421","1454","1374","1208","1270","797","705","465","239","281","645","602","810","789","751","1032","833","953","930","840","1413","1286"
"cfi_ppe_net","-388.03","-42.34","-264","13","-273","-245","-372","45","1","23","18","24","67","27","16","18","-180","24","14","34","1","-128","1","-243","-213"
"cfi_acquisitions_net","","","","","","","","-158","158","","","-10","9","10","-2","-41","","39","-549","722","643","-52","","-136",""
"cfi_investment_net","","-2.14","-276","130","330","99","165","108","58","11","42","71","38","17","43","36","72","119","113","1","3","171","1","2",""
"cfi_intangibles_net","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfi_other","-787.08","-622.09","-756","-271","104","238","75","-329","-231","-152","-169","-169","-143","-131","-157","-202","-16","-207","-229","-175","-116","-3","-232","-6","-144"
"cf_cfi","-1175.11","-666.5700000000001","-1296","-128","161","92","-132","-334","-14","-118","-109","-84","-29","-77","-100","-189","-124","-25","-651","582","531","-12","-230","-383","-357"
"cff_common_stock_net","-103.41","-115.33","400","-790","-885","-953","-826","-797","-160","-11","-45","-30","-8","-35","-157","-454","-458","-331","-654","-896","-727","-1026","-914","-353","-445"
"cff_pfd_net","","","","","","","","","","","","","","","","","","","","","","","","",""
"cff_debt_net","702.01","201.63","634","-541","-13","407","151","544","-33","-11","133","-63","-396","-202","-2","197","-412","55","-115","-209","13","152","190","-205","-364"
"cff_dividend_paid","-218.68","-243.81","-268","-286","-302","-339","-349","-347","-357","-182","-108","-107","-107","-107","-117","-126","-128","-129","-134","-144","-145","-211","-258","-257","-256"
"cff_other","","","1","","55","","18","-1419","-81","7","-20","-19","-65","-38","-21","-138","-111","-172","-117","-42","-27","-213","-84","-39","-1"
"cf_cff","379.92","-157.51","767","-1617","-1145","-885","-1006","-2019","-631","-197","-40","-219","-576","-382","-297","-521","-1109","-577","-1020","-1291","-886","-1298","-1066","-854","-1066"
"ebitda","1295.03","1309.29","1471","1693","1821","1831","1360","1421","795","571","514","507","635","798","880","1047","1189","1130","1219","1235","1393","1171","1458","1504","1361"
"capex","-388.03","-42.34","-264","13","-273","-245","-372","45","1","23","18","24","67","27","16","18","-180","24","14","34","1","-128","1","-243","-213"
"fcf","345.81","924.3","961","1434","1181","1129","836","1315","798","728","483","263","348","672","618","828","609","775","1046","867","954","802","841","1170","1073"
"book_value","3426.06","4119.81","5294","5456","5423","4848","4471","4025","2981","2817","1582","742","534","787","1128","58","-103","183","69","-56","421","78","-242","116","157"
"tangible_book_value","1235.29","597.14","643","621","689","370","208","-236","-689","-581","-1070","-1345","-1511","-1265","146","-941","-1089","-845","-730","-824","-499","-878","-1129","-864","-807"
"roa","0.08","0.02","0.06","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.04","0.03","-0.04","-0.02","-0.12","-0.07000000000000001","-0.02","0.04","0.12","0.06","0.09","0.1","0.13","0.18","0.23","0.07000000000000001","0.16","0.17","0.17"
"roe","0.18","0.05","0.13","0.15","0.16","0.18","0.1","0.09","-0.11","-0.06","-0.47","-0.49","-0.18","0.44","0.89","0.6","-21.91","13.33","5.83","143.85","6.71","1.64","-10.29","-14.41","49.62"
"roic","0.1","0.03","0.07000000000000001","0.08","0.09","0.1","0.05","0.04","-0.05","-0.03","-0.16","-0.11","-0.02","0.07000000000000001","0.19","0.08","0.15","0.16","0.22","0.3","0.37","0.12","0.25","0.26","0.25"
"roce","0.17","0.14","0.14","0.14","0.15","0.15","0.11","0.12","0.07000000000000001","0.04","0.03","0.04","0.08","0.12","0.13","0.19","0.27","0.26","0.28","0.3","0.34","0.27","0.37","0.38","0.36"
"rotce","0.24","0.23","0.24","0.26","0.28","0.27","0.18","0.21","0.12","0.07000000000000001","0.06","0.06","0.12","0.19","0.18","0.23","0.35","0.36","0.36","0.38","0.45","0.36","0.49","0.51","0.48"
"gross_margin","0.35","0.31","0.32","0.31","0.31","0.29","0.28","0.27","0.25","0.26","0.24","0.25","0.26","0.29","0.29","0.32","0.33","0.37","0.35","0.35","0.36","0.34","0.31","0.36","0.36"
"ebitda_margin","0.18","0.16","0.17","0.16","0.15","0.15","0.11","0.12","0.08","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.08","0.12","0.13","0.15","0.16","0.19","0.18","0.18","0.19","0.14","0.17","0.19","0.17"
"operating_margin","0.15","0.12","0.14","0.14","0.13","0.13","0.09","0.1","0.06","0.04","0.03","0.03","0.06","0.09","0.1","0.13","0.14","0.17","0.16","0.16","0.18","0.12","0.15","0.17","0.17"
"pretax_margin","0.12","0.04","0.11","0.12","0.13","0.11","0.07000000000000001","0.08","-0.02","-0.02","-0.1","-0.05","0.01","0.06","0.07000000000000001","0.1","0.11","0.12","0.14","0.14","0.16","0.08","0.14","0.16","0.16"
"net_income_margin","0.08","0.02","0.07000000000000001","0.08","0.08","0.08","0.04","0.03","-0.04","-0.02","-0.14","-0.08","-0.02","0.04","0.12","0.05","0.07000000000000001","0.09","0.11","0.14","0.17","0.05","0.1","0.11","0.12"
"fcf_margin","0.05","0.11","0.11","0.14","0.1","0.09","0.07000000000000001","0.11","0.08","0.09","0.06","0.04","0.05","0.1","0.09","0.12","0.08","0.13","0.16","0.13","0.13","0.1","0.1","0.15","0.14"
"assets_to_equity","2.26","2.23","2.28","2.23","2.31","2.59","2.76","2.71","3.18","3.26","5.15","9.83","12.87","8.84","6.39","97.66","-49.87","30.24","78.16","-89.77","13.72","71.47","-21.43","46.23","33.99"
"equity_to_assets","0.44","0.45","0.44","0.45","0.43","0.39","0.36","0.37","0.31","0.31","0.19","0.1","0.08","0.11","0.16","0.01","-0.02","0.03","0.01","-0.01","0.07000000000000001","0.01","-0.05","0.02","0.03"
"debt_to_equity","0.9399999999999999","0.91","0.88","0.77","0.79","0.98","1.11","1.02","1.34","1.41","2.59","5.42","6.79","4.35","3.04","58.74","-29.1","16.86","43.17","-52.41","6.99","40.14","-14.07","27.64","20.69"
"debt_to_assets","0.42","0.41","0.38","0.34","0.34","0.38","0.4","0.37","0.42","0.43","0.5","0.55","0.53","0.49","0.48","0.6","0.58","0.5600000000000001","0.55","0.58","0.51","0.5600000000000001","0.66","0.6","0.61"
"revenue_per_share","16.04","14.74","15.12","21.24","25.84","29.07","31.25","30.92","26.87","22.2","21.45","20.6","21.48","19.21","19.9","20.94","22.31","18.91","21.67","23.29","27.23","33.37","37.41","35.25","35.21"
"ebitda_per_share","2.87","2.31","2.52","3.47","3.99","4.26","3.4","3.81","2.25","1.63","1.47","1.46","1.82","2.27","2.5","3.07","3.6","3.55","3.97","4.29","5.28","4.67","6.28","6.65","6.05"
"operating_income_per_share","2.34","1.83","2.14","2.97","3.47","3.7","2.79","3.14","1.58","0.9","0.67","0.7","1.21","1.74","2.03","2.68","3.2","3.15","3.46","3.74","4.77","4.06","5.66","6","6.05"
"pretax_income_per_share","1.98","0.53","1.65","2.55","3.36","3.31","2.23","2.32","-0.55","-0.43","-2.12","-1.13","0.21","1.1","1.44","2.02","2.52","2.26","2.95","3.17","4.28","2.74","5.14","5.48","5.52"
"fcf_per_share","0.77","1.63","1.65","2.94","2.59","2.63","2.09","3.53","2.26","2.07","1.38","0.76","1","1.91","1.76","2.43","1.85","2.44","3.41","3.01","3.61","3.2","3.63","5.18","4.74"
"book_value_per_share","7.59","7.26","9.06","11.17","11.89","11.27","11.18","10.79","8.44","8.029999999999999","4.53","2.13","1.53","2.24","3.2","0.17","-0.31","0.58","0.22","-0.19","1.59","0.31","-1.04","0.51","0.71"
"tangible_book_per_share","2.73","1.05","1.1","1.27","1.51","0.86","0.52","-0.63","-1.95","-1.66","-3.07","-3.86","-4.33","-3.59","0.41","-2.76","-3.3","-2.66","-2.38","-2.86","-1.89","-3.5","-4.87","-3.82","-3.65"
"payout_ratio","0.28","1.5","0.54","0.45","0.35","0.37","0.72","0.89","-0.82","-0.57","-0.1","-0.18","-0.91","0.28","0.14","0.45","0.2","0.24","0.18","0.15","0.12","0.52","0.31","0.28","0.28"
"revenue_growth","0.15","0.15","0.06","0.17","0.14","0.06","","-0.08","-0.18","-0.18","-0.04","-0.04","0.05","-0.1","0.04","0.02","0.03","-0.18","0.11","0.01","0.07000000000000001","0.17","0.04","-0.08",""
"gross_profit_growth","0.03","0.01","0.09","0.14","0.14","-0.02","-0.04","-0.08","-0.25","-0.14","-0.09","-0.03","0.09","","0.05","0.09","0.09","-0.1","0.05","0.02","0.09","0.11","-0.05","0.05",""
"ebitda_growth","0.18","0.01","0.12","0.15","0.08","0.01","-0.26","0.04","-0.44","-0.28","-0.1","-0.01","0.25","0.26","0.1","0.19","0.14","-0.05","0.08","0.01","0.13","-0.16","0.25","0.03",""
"operating_income_growth","0.16","-0.02","0.2","0.16","0.09","","-0.3","0.05","-0.53","-0.43","-0.26","0.04","0.73","0.45","0.17","0.28","0.15","-0.05","0.06","0.01","0.17","-0.19","0.29","0.03",""
"pretax_income_growth","-0.01","-0.66","2.21","0.29","0.23","-0.07000000000000001","-0.37","-0.03","-1.22","0.22","-3.91","0.47","1.19","4.29","0.31","0.36","0.21","-0.14","0.26","0.01","0.24","-0.39","0.73","0.04",""
