"Company: ","Masimo Corporation (MASI:US)","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","132.43","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Health Care Equipment & Supplies","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","6846","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","7538","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","38.832","46.734","69.357","107.89","224.338","256.286","307.074","349.115","405.407","438.988","493.233","547.245","586.643","630.111","712.898","790.248","858.289","937.837","1143.7","1239.2","2035.8","2048.1","1975.9"
"cogs","18.635","22.448","","42.717","61.64","73.60599999999999","89.45399999999999","100.313","119.825","144.854","166.982","188.418","195.864","220.128","234.56","268.216","283.397","308.665","400.7","430.8","977","1044.6","1015.5"
"gross_profit","20.197","24.286","69.357","65.173","162.698","182.68","217.62","248.802","285.582","294.134","326.251","358.827","390.779","409.983","478.338","522.032","574.8920000000001","629.172","743","808.4","1058.8","1003.5","960.4"
"sga","14.636","21.947","","43.085","91.49299999999999","91.23399999999999","120.775","134.875","174.089","169.205","193.948","215.469","241.016","252.725","254.707","273.011","285.417","314.661","369","395.4","657.4","664","627.6"
"rnd","4.369","4.567","","8.548","24.875","22.96","25.495","31.701","36","38.412","47.077","55.631","56.581","56.617","57.686","65.23399999999999","81.006","93.295","118.7","137.2","191.4","175.2","172.5"
"special_charges","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","1.118","4.245","","1.736","-262.605","1.537","","","","","","","","","","","","","","","","",""
"total_opex","20.123","30.759","","53.369","-146.237","115.731","146.27","166.576","210.089","207.617","241.025","271.1","297.597","309.342","312.393","338.245","366.423","407.956","487.7","532.6","848.8","839.2","800.1"
"operating_income","0.074","-6.473","69.357","11.804","308.935","66.949","71.34999999999999","82.226","75.49299999999999","86.517","85.226","87.727","93.182","100.641","165.945","183.787","208.469","221.216","255.3","275.8","210","164.3","160.3"
"net_interest_income_normal","","","","","","","1.552","0.103","","","","","","","","2.296","7.472","13.589","5.2","0.6","-23.9","-47.3","-47"
"other_nonoperating_income","-0.255","-0.419","-69.357","-4.435","5.468","1.173","-0.511","-0.149","32.076","0.014","-1.405","-12.001","8.859","15.704","267.571","-0.283","-2.165","-0.639","3.2","-2","7.3","-28.9","-26.5"
"pretax_income","-0.181","-6.892","","7.369","314.403","68.122","72.39100000000001","82.18000000000001","107.569","86.53100000000001","83.821","75.726","102.041","116.345","433.516","185.8","213.776","234.166","263.7","274.4","193.4","88.09999999999999","86.8"
"income_tax","0.001","-0.002","","26.012","-132.577","-25.867","-40.464","-28.158","-34.164","-22.478","-21.883","-20.005","-27.678","-34.845","-122.419","-61.011","-20.233","-37.95","-23.4","-44.8","-49.9","-6.6","-7.7"
"net_income_continuing","-0.18","-6.894","","33.381","181.826","42.255","31.927","54.022","73.405","64.053","61.938","55.721","74.363","81.5","311.097","124.789","193.543","196.216","240.3","229.6","143.5","81.5","79.09999999999999"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","-0.794","0.125","-0.353","0.334","2.66","-1.845","1.8","","","","","0.02","","","",""
"other_income_statement_items","-0.002","","-3.843","","-2.8421709430404E-14","7.105427357601E-15","-7.105427357601E-15","-7.105427357601E-15","","7.105427357601E-15","-7.105427357601E-15","","","","-5.6843418860808E-14","-1.4210854715202E-14","","","-0.019999999999982","2.8421709430404E-14","","","-8.8817841970013E-15"
"net_income","-0.182","-6.894","-3.843","33.381","181.826","42.255","31.927","53.228","73.53","63.7","62.272","58.381","72.518","83.3","311.097","124.789","193.543","196.216","240.3","229.6","143.5","81.5","79.09999999999999"
"preferred_dividends","8.401","8.477","8.477","27.877","120.045","19.176","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","-8.583","-15.371","-12.32","5.504","61.781","23.079","31.927","53.228","73.53","63.7","62.272","58.381","72.518","83.3","311.097","124.789","193.543","196.216","240.3","229.6","143.5","81.5","79.09999999999999"
"eps_basic","-0.93","-1.64","-1.31","0.57","3.79","0.71","0.57","0.92","1.25","1.07","1.08","1.03","1.33","1.62","6.28","2.42","3.7","3.67","4.39","4.16","2.68","1.54","1.5"
"eps_diluted","-0.93","-1.64","-1.31","0.42","3.04","0.6","0.53","0.88","1.21","1.05","1.07","1.02","1.3","1.55","5.85","2.23","3.45","3.44","4.14","3.98","2.6","1.51","1.47"
"shares_basic","9.273999999999999","9.372999999999999","9.379","9.718","16.301","54.66","56.321","57.603","58.769","59.659","57.445","56.69","54.708","51.311","49.53","51.516","52.296","53.434","54.7","55.2","53.6","52.8","52.8"
"shares_diluted","9.273999999999999","9.372999999999999","9.379","13.103","20.323","59.829","60.19","60.171","60.609","60.845","58.374","57.48","55.571","53.707","53.195","55.874","56.039","57.1","58","57.7","55.2","54.1","54.1"
"cash_and_equiv","7.792","11.124","","14.172","55.382","96.733","146.91","132.054","88.30500000000001","129.882","71.554","95.46599999999999","134.453","132.317","305.97","315.302","552.49","567.687","641.447","745.3","202.9","163","163"
"st_investments","","","","","","","","56.989","","","","","","","","","","120","","","","",""
"receivables","","","","15.485","23.639","40.836","42.09","50.397","61.694","64.11499999999999","75.041","84.349","78.602","88.48","109.549","135.265","119.925","166.841","181.384","244.4","505.1","421","421"
"inventories","","","","13.055","17.135","23.11","27.4","31.559","45.028","45.944","47.358","56.813","69.718","62.038","72.542","92.259","94.732","115.871","215.952","201.4","501","545","545"
"other_current_assets","","","","26.556","21.159","22.961","15.842","18.389","22.578","22.994","25.394","35.17","14.303","16.307","19.166","16.869","22.13","25.663","62.382","47.4","99.59999999999999","102.9","102.9"
"total_current_assets","7.792","11.124","","69.268","117.315","183.64","232.242","289.388","217.605","262.935","219.347","271.798","297.076","299.142","507.227","559.6950000000001","789.277","996.062","1101.165","1238.5","1308.6","1231.9","1231.9"
"equity_and_other_investments","","","","","","","","","","","","","","","0.2","1.234","1.2","6.475","8.002000000000001","13.8","13.8","9.9","9.9"
"ppe_gross","","","","16.993","22.51","28.007","34.446","37.716","47.321","52.36","67.38","74.28100000000001","159.036","197.938","204.229","246.333","263.762","352.165","440.309","460.8","673.6","745.9","745.9"
"accumulated_depreciation","","","","-9.574999999999999","-12.22","-16.843","-21.467","-26.034","-31.37","-37.121","-43.456","-49.415","-57.084","-65.47199999999999","-68.233","-82.23699999999999","-97.79000000000001","-113.102","-134.136","-157.5","-201.5","-262.4","-262.4"
"ppe_net","","","","7.418","10.29","11.164","12.979","11.682","15.951","15.239","23.924","24.866","101.952","132.466","135.996","164.096","165.972","239.063","306.173","303.3","472.1","483.5","483.5"
"intangible_assets","","","","3.937","4.59","5.587","7.408","9.827","10.495","11.391","27.367","28.107","27.77","27.56","29.376","27.12","27.921","27.251","73.919","72.5","722.6","652.3","652.3"
"goodwill","","","","0.45","0.45","0.45","0.45","0.45","0.45","0.45","22.82","22.79","20.98","20.39","19.78","20.62","23.3","22.35","103.21","100.3","445.4","407.7","407.7"
"other_lt_assets","24.81","29.273","","19.516","26.428","34.67","40.269","44.998","65.73399999999999","76.089","81.203","91.101","117.228","122.177","127.946","132.671","147.148","104.927","120.083","158.6","248.1","256.2","256.2"
"total_assets","32.602","40.397","","100.589","159.073","235.511","293.348","356.345","310.235","366.104","374.661","438.662","565.006","601.735","820.525","905.436","1154.818","1396.128","1712.552","1887","3210.6","3041.5","3041.5"
"accounts_payable","","","","9.178000000000001","10.142","14.64","15.914","16.716","22.15","27.302","27.033","28.004","38.045","25.865","34.335","33.78","40.388","54.548","64.06100000000001","75.59999999999999","276.8","251.5","251.5"
"tax_payable","","","","","","","10.862","0.477","0.722","0.57","1.504","2.406","10.934","8.039999999999999","81.45099999999999","11.003","10.327","16.316","21.957","30.3","72.40000000000001","50.2","50.2"
"current_accrued_liabilities","","","","10.901","16.862","18.62","21.173","27.547","9.832000000000001","12.297","16.648","23.028","20.169","38.959","18.713","9.387","8.429","25.524","30.043","46.4","111.6","98.7","98.7"
"st_debt","","","","7.747","7.528","11.539","0.395","","","","","","","","","","","","","","15.1","34.3","34.3"
"current_deferred_revenue","","","","7.047","13.88","16.827","","14.641","16.369","16.019","19.278","20.755","21.067","21.28","38.198","32.105","32.054","11.764","28.979","29.9","36","37.4","37.4"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","","","","0.182","38.778","0.18299999999999","17.233","","21.074","19.717","25.021","29.486","33.6","38.415","47.598","43.379","55.357","59.414","82.821","79.09999999999999","99.40000000000001","73.5","73.5"
"total_current_liabilities","","","","35.055","87.19","61.809","65.64700000000001","59.441","70.197","75.953","89.539","103.79","123.894","132.633","220.366","129.654","146.555","172.219","233.836","267.7","630","563.8","563.8"
"lt_debt","","","","21.313","13.514","19.294","","","","","","","125","185","","","","","","","941.6","871.7","871.7"
"noncurrent_capital_leases","","","","","","0.208","0.157","0.171","0.122","0.074","2.037","1.583","0.145","0.07099999999999999","","","","15.834","28.373","26.3","53.4","45.8","45.8"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","10.1","9.5","9.5"
"noncurrent_deferred_revenue","","","","","","","0.213","0.27","1.554","1.32","1.252","1.099","0.453","0.5679999999999999","26.234","11.383","2.956","3.052","6.247","10.3","188.6","138.1","138.1"
"other_lt_liabilities","132.794","155.79","","145.303","1.408","4.134","7.833","6.775","8.323","9.090999999999999","6.165","5.789","7.773","7.751","13.689","40.374","36.242","37.149","36.456","32.5","48","47.8","47.8"
"total_liabilities","132.794","155.79","","201.671","102.112","85.44499999999999","73.84999999999999","66.657","80.196","86.438","98.99299999999999","112.261","257.265","326.023","260.289","181.411","185.753","228.254","304.912","336.8","1871.7","1676.7","1676.7"
"common_stock","","","","","","","","","","","","","","","","","","","","","","",""
"preferred_stock","","127.204","","","88.328","","","","","","","","","","","","","","","","","",""
"retained_earnings","","","","-100.958","-30.439","8.957000000000001","40.884","94.11199999999999","5.664","69.364","74.361","132.742","205.26","288.56","589.226","737.956","931.073","1100.494","1341.215","1570.8","1714.3","1795.8","1795.8"
"aoci","","","","-0.134","-0.317","-1.034","-0.007","0.063","0.925","1.274","3.542","3.995","-2.093","-4.739","-7.027","-2.941","-6.199","-6.718","1.413","-5.5","11.5","-45.3","-45.3"
"apic","","","","","","143.297","179.666","195.69","222.206","243.528","258.783","273.129","288.686","332.417","382.263","461.494","533.164","600.624","703.693","752.5","782.2","783.4","783.4"
"treasury_stock","","","","","-0.628","-1.209","-1.209","-1.209","-1.209","-37.396","-63.664","-83.45399999999999","-185.906","-340.873","-404.276","-472.536","-489.026","-526.58","-638.736","-767.7","-1169.2","-1169.2","-1169.2"
"other_equity","-100.192","-242.597","","0.010000000000005","0.016999999999996","0.055000000000007","0.056999999999988","0.057999999999993","0.058999999999997","0.057999999999993","0.05699999999996","0.057000000000016","0.052000000000021","0.049999999999898","0.050000000000068","0.052000000000021","0.053000000000111","0.054000000000315","0.055000000000064","0.09999999999990901","0.10000000000014","0.09999999999990901","0.09999999999990901"
"minority_interest_liability","","","","","","","0.107","0.974","2.394","2.838","2.589","-0.068","1.742","0.297","","","","","","","","",""
"total_equity","-100.192","-115.393","","-101.082","56.961","150.066","219.498","289.688","230.039","279.666","275.668","326.401","307.741","275.712","560.236","724.025","969.0650000000001","1167.874","1407.64","1550.2","1338.9","1364.8","1364.8"
"total_liabilities_and_equity","32.602","40.397","","100.589","159.073","235.511","293.348","356.345","310.235","366.104","374.661","438.662","565.006","601.735","820.525","905.436","1154.818","1396.128","1712.552","1887","3210.6","3041.5","3041.5"
"cfo_net_income","-0.182","-6.894","-3.843","33.381","181.826","42.255","31.927","54.022","73.405","64.053","61.938","55.721","74.363","81.5","311.097","124.789","193.543","196.216","240.3","229.6","143.5","81.5","79.09999999999999"
"cfo_da","","","","2.958","3.669","5.263","5.745","5.979","6.584","7.342","9.369","11.421","12.818","15.684","16.817","20.061","21.127","23.487","29.3","35.6","136.1","98.3","96.5"
"cfo_receivables","","","","-4.027","-9.327999999999999","-16.799","-0.7","-9.106999999999999","-11.405","-2.651","-10.13","-9.576000000000001","4.862","-9.9","-21.244","-19.772","10.826","-35.538","-9.9","-76.90000000000001","-151.3","91.90000000000001","89"
