"Company: ","Merck & Company Inc (MRK:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","132.92","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Pharmaceuticals","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","336762","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","362285","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","40363.2","21199","21445.8","22485.9","22972.8","22011.9","22636","24197.7","23850","27428","45987","48047","47267","44033","42237","39498","39807","40122","42294","39121","41518","48704","59283","60115","61402"
"cogs","21166.2","3624.8","3907.1","4436.9","4965.7","5149.6","6001.1","6140.7","5583","9019","18396","16871","16446","16954","16768","14934","14030","12912","13509","12016","13618","13626","17411","16126","15740"
"gross_profit","19197","17574.2","17538.7","18049","18007.1","16862.3","16634.9","18057","18267","18409","27591","31176","30821","27079","25469","24564","25777","27210","28785","27105","27900","35078","41872","43989","45662"
"sga","6167.7","5700.6","5652.2","6200.3","7238.7","7155.5","8165.4","7556.7","7377","8543","13125","13733","12776","11911","11606","10313","10017","10074","10102","9455","8955","9634","10042","10504","10508"
"rnd","2343.8","2456.4","2677.2","3279.9","4010.2","3848","4782.9","4882.8","4805","5845","11111","8467","8168","7503","7180","6704","10261","10339","9752","9724","13397","12245","13548","30531","30247"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","1596.4","139.1","120","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","10107.9","8296.1","8449.4","9480.200000000001","11248.9","11003.5","12948.3","12439.5","12182","14388","24236","22200","20944","19414","18786","17017","20278","20413","19854","19179","22352","21879","23590","41035","40755"
"operating_income","9089.1","9278.1","9089.299999999999","8568.799999999999","6758.2","5858.8","3686.6","5617.5","6085","4021","3355","8976","9877","7665","6683","7547","5499","6797","8931","7926","5548","13199","18282","2954","4907"
"net_interest_income_normal","","","","","","","","","380","-250","-632","-550","-482","-537","-466","-383","-365","-369","-429","-619","-772","-770","-805","-781","-882"
"other_nonoperating_income","735","670","562.4","482.8","1244.6","1505.1","2534.8","-2246.8","3466","11519","-1070","-1092","-656","-1583","11066","-1763","-475","93","199","-136","1087","1450","-1033","-284","-116"
"pretax_income","9824.1","9948.1","9651.700000000001","9051.6","8002.8","7363.9","6221.4","3370.7","9931","15290","1653","7334","8739","5545","17283","5401","4659","6521","8701","7171","5863","13879","16444","1889","3909"
"income_tax","-3002.4","-2894.9","-2856.9","-2462","-2172.7","-2732.6","-1787.6","-95.3","-1999","-2268","-671","-942","-2440","-1028","-5349","-942","-718","-4103","-2508","-1565","-1340","-1521","-1918","-1512","-1590"
"net_income_continuing","6821.7","7053.2","6794.8","6589.6","5830.1","4631.3","4433.8","3275.4","7932","13022","982","6392","6299","4517","11934","4459","3941","2418","6193","5606","4523","12358","14526","377","2319"
"net_income_discontinued","","228.6","354.7","241.3","","","","","","","","","","","","","","","","","","704","","",""
"income_allocated_to_minority_interest","-308.7","-290.6","-214.2","-168.7","-154.2","-121.8","-120.5","-121.4","-124","-123","-121","-120","-131","-113","-14","-17","-21","-24","27","4237","2544","-13","-7","-12","-13"
"other_income_statement_items","308.7","290.6","214.2","168.7","154.2","121.8","120.5","121.4","","","","","","","","","","","","","","","","",""
"net_income","6821.7","7281.8","7149.5","6830.9","5830.1","4631.3","4433.8","3275.4","7808","12899","861","6272","6168","4404","11920","4442","3920","2394","6220","9843","7067","13049","14519","365","2306"
"preferred_dividends","","","","","","","","","","2.1","","15","","","","","","","","","","","","",""
"net_income_available_to_shareholders","6821.7","7281.8","7149.5","6830.9","5830.1","4631.3","4433.8","3275.4","7808","12896.9","861","6257","6168","4404","11920","4442","3920","2394","6220","9843","7067","13049","14519","365","2306"
"eps_basic","2.96","3.18","3.17","2.97","2.63","2.11","2.04","-1.04","3.65","5.67","0.28","2.04","2.03","1.49","4.12","1.58","1.42","0.88","2.34","3.84","2.79","5.16","5.73","0.14","0.92"
"eps_diluted","2.9","3.14","3.14","2.97","2.62","2.1","2.03","-1.04","3.63","5.65","0.28","2.02","2","1.47","4.07","1.56","1.41","0.87","2.32","3.81","2.78","5.14","5.71","0.14","0.9"
"shares_basic","2306.9","2288.3","2257.5","2236.7","2219","2197","2177.6","2170.5","2136","2268","3095","3071","3041","2963","2894","2816","2766","2730","2664","2565","2530","2530","2532","2537","2537"
"shares_diluted","2353.2","2322.3","2277","2253.1","2226.4","2200.4","2187.7","2192.9","2143","2273","3120","3094","3076","2996","2928","2841","2787","2748","2679","2580","2541","2538","2542","2547","2547"
"cash_and_equiv","2536.8","2144","2243","1201","2878.8","9585.299999999999","5914.7","5336.1","4368.3","9311","10900","13531","13451","15621","7441","8524","6515","6092","7965","9676","8050","8096","12694","6841","6841"
"st_investments","1717.8","1142.6","2728.2","2972","4211.1","6052.3","2798.3","2894.7","1118.1","293","1301","1441","2690","1865","8278","4903","7826","2406","899","774","","","498","252","252"
"receivables","5017.9","5215.4","5423.4","4023.6","3627.7","2927.3","3314.8","3636.2","2907.7","6603","7344","8261","7672","7184","6626","6484","7018","6873","7071","6778","6803","9230","9450","10349","10349"
"inventories","3021.5","3579.3","2964.3","2554.7","1898.7","1658.1","1769.4","1881","2091","8048","5868","6254","6535","6226","5571","4700","4866","5096","5440","5978","5554","5953","5911","6358","6358"
"other_current_assets","1059.4","880.3","1027.5","775.9","858.9","826.3","1433","1297.4","8627.5","4177","3651","3694","4509","4789","4689","5140","4389","4299","4500","4277","7357","6987","7169","8368","8368"
"total_current_assets","13353.4","12961.6","14386.4","11527.2","13475.2","21049.3","15230.2","15045.4","19112.6","28432","29064","33181","34857","35685","32605","29751","30614","24766","25875","27483","27764","30266","35722","32168","32168"
"equity_and_other_investments","","","","","","","","","6491.3","432","2175","3458","7305","9770","13515","13039","11416","12125","6233","1469","785","370","1015","252","252"
"ppe_gross","16707.2","18956.5","20983.6","21293.7","22808.6","23713.3","24209.5","24803.1","24128.2","30874","30563","32473","33415","33094","31140","28430","27775","29041","29615","32739","35162","37471","39407","41317","41317"
"accumulated_depreciation","-5225.1","-5853.1","-6788","-7124.7","-8094.9","-9315.1","-11015.4","-12457.1","-12128.6","-12595","-13481","-16176","-17385","-18121","-18004","-15923","-15749","-16602","-16324","-17686","-18162","-18192","-17985","-18266","-18266"
"ppe_net","11482.1","13103.4","14195.6","14169","14713.7","14398.2","13194.1","12346","11999.6","18279","17082","16297","16030","14973","13136","12507","12026","12439","13291","15053","17000","19279","21422","23051","23051"
"intangible_assets","7374.2","7491","7241","1949.4","1764.9","518.7","943.9","713.2","525.4","47757","39456","34302","29083","23801","20386","22602","17305","14183","13104","14196","14101","22933","20269","18011","18011"
"goodwill","","","","","","1085.7","1431.6","1454.8","1438.7","12038","12378","12155","12134","12301","12992","17723","18162","18284","18253","19425","18882","21264","21204","21197","21197"
"other_lt_assets","7700.7","10465.2","11738.2","12941.9","12619","7793.9","13770","18791.3","7628.1","5376","5626","5735","6723","9115","5533","6055","5854","6075","5881","6771","13056","11582","9528","11996","11996"
"total_assets","39910.4","44021.2","47561.2","40587.5","42572.8","44845.8","44569.8","48350.7","47195.7","112314","105781","105128","106132","105645","98167","101677","95377","87872","82637","84397","91588","105694","109160","106675","106675"
"accounts_payable","4361.3","5108.4","2413.3","735.2","421.4","471.1","496.6","624.5","617.6","2244","2308","2023","1753","2274","2625","2533","2807","3102","3318","3738","4327","4609","4264","3922","3922"
"tax_payable","","","","","","","","","1426.4","1167","1243","781","1200","251","1237","1560","2239","708","1971","736","1597","1224","1986","2649","2649"
"current_accrued_liabilities","","","3365.6","3772.8","5288.1","5277.8","6653.3","8534.9","9174.1","9455","8514","10170","9737","9501","10523","11216","10274","10427","10151","12549","12212","13859","14159","15766","15766"
"st_debt","3319.3","4066.7","3669.8","1700","2181.2","2972","1285.1","1823.6","2297.1","1379","2400","1990","4315","4521","2704","2583","568","3057","5308","3610","6431","2412","1946","1372","1372"
"current_deferred_revenue","","","","","","","","","","","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","2029","2369.1","2926.5","3361.6","3853.4","4521.5","4287.7","1275.2","803.5","1396","1176","1281","1343","1321","1308","1309","1316","1320","1458","1587","2760","1768","1884","1985","1985"
