"Company: ","MetLife Inc (MET:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","71.41","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","51286","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","50580","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"premiums_earned","1820","1888","19077","20575","22200","24860","26412","22970","25914","26460","27071","36361","37975","37674","39067","36403","37202","38992","43840","42235","42034","41152","48510","44283","44747"
"net_investment_income","10886","11106","11040","11373","12261","14756","17082","18063","16291","14837","16758","23454","19748","18827","22410","16775","15993","16763","17017","6300","5446","2575","1581","1582","1182"
"fees_and_other_income","17943","17589","2359","3143","4240","5013","4760","6125","8779","-240","8418","10426","10427","11698","11839","8165","7592","6553","7084","20184","19288","19926","17731","20542","21040"
"revenue","30649","30583","32476","35091","38701","44629","48254","47158","50984","41057","52247","70241","68150","68199","73316","61343","60787","62308","67941","68719","66768","63653","67822","66407","66969"
"sga","","2459","2499","2707","2915","3217","3430","7128","7229","8574","5363","7773","8076","7426","7185","7302","6866","6724","6462","6554","5775","5755","5860","6177","6210"
"net_policyholder_claims_expense","19828","21538","22473","23883","25660","29393","31602","23783","27437","28336","29187","35471","37987","38107","39102","35144","36358","38313","42656","41461","41461","41709","45947","43551","42858"
"policy_acquisition_expense","","1651","2000","2474","3090","3510","3811","4114","","","-357","-1357","-1712","-1815","-493","-496","-703","-461","-335","-495","147","-749","-812","-991","-974"
"interest_expense_insurance","","332","403","478","408","659","900","600","720","876","1687","1724","1356","1282","1216","1168","1157","1129","1122","955","913","920","938","1045","1054"
"operating_income","1192","474","1406","2346","3563","4293","4168","5762","5061","-4334","3729","9184","1442","4052","8804","5651","4281","3536","6307","6795","6927","8518","6364","2162","2950"
