"Company: ","Meta Platforms Inc. (META:US)","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","",""
"Last Close Price: ","510.6","","","","","","","","","","","","","",""
"Industry: ","Interactive Media & Services","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","",""
"Market Cap.: ","1265500","","","","","","","","","","","","","",""
"Enterprise Value: ","1225767","","","","","","","","","","","","","",""
"period_end_date","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","1974","3711","5089","7872","12466","17928","27638","40653","55838","70697","85965","117929","116609","134902","142711"
"cogs","493","860","1364","1875","2153","2867","3789","5454","9355","12770","16692","22649","25249","25959","26490"
"gross_profit","1481","2851","3725","5997","10313","15061","23849","35199","46483","57927","69273","95280","91360","108943","116221"
"sga","305","707","1788","1778","2653","4020","5503","7242","11297","20341","18155","23872","27078","23709","23799"
"rnd","144","388","1399","1415","2666","4816","5919","7754","10273","13600","18447","24655","35338","38483","39080"
"special_charges","","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","","",""
"total_opex","449","1095","3187","3193","5319","8836","11422","14996","21570","33941","36602","48527","62416","62192","62879"
"operating_income","1032","1756","538","2804","4994","6225","12427","20203","24913","23986","32671","46753","28944","46751","53342"
"net_interest_income_normal","-21","-38","-35","-36","3","35","167","397","661","931","638","671","-44","1043","1413"
"other_nonoperating_income","-3","-23","-9","-14","-87","-66","-76","-6","-213","-105","-129","-140","-81","-366","-452"
"pretax_income","1008","1695","494","2754","4910","6194","12518","20594","25361","24812","33180","47284","28819","47428","54303"
"income_tax","-402","-695","-441","-1254","-1970","-2506","-2301","-4660","-3249","-6327","-4034","-7914","-5619","-8330","-8546"
"net_income_continuing","606","1000","53","1500","2940","3688","10217","15934","22112","18485","29146","39370","23200","39098","45757"
"net_income_discontinued","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","",""
"other_income_statement_items","","","","","","","","","","","","","","",""
"net_income","606","1000","53","1500","2940","3688","10217","15934","22112","18485","29146","39370","23200","39098","45757"
"preferred_dividends","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","606","1000","53","1500","2940","3688","10217","15934","22112","18485","29146","39370","23200","39098","45757"
