"Company: ","Mister Car Wash Inc (MCW:US)","","","","",""
"Exchange: ","NYSE","","","","",""
"Last Close Price: ","6.92","","","","",""
"Industry: ","Diversified Consumer Services","","","","",""
"Currency: ","USD","","","","",""
"Country: ","US","","","","",""
"Market Cap.: ","2329","","","","",""
"Enterprise Value: ","3231","","","","",""
"period_end_date","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","629.528","574.941","758.357","876.506","927.0700000000001","940.293"
"cogs","243.912","193.971","265.171","268.467","279.375","284.241"
"gross_profit","385.616","380.97","493.186","608.039","647.6950000000001","656.052"
"sga","84.806","51.341","254.815","98.855","105.708","111.235"
"rnd","","","","","",""
"special_charges","","","","","",""
"other_opex","224.402","224.419","266.069","322.414","363.717","371.054"
"total_opex","309.208","275.76","520.884","421.269","469.425","482.289"
"operating_income","76.408","105.21","-27.698","186.77","178.27","173.763"
"net_interest_income_normal","-67.61","-64.009","-39.424","-41.895","-75.104","-77.38"
"other_nonoperating_income","-10.514","35.97","19.984","0.949","-0.125","4.652"
"pretax_income","-1.716","77.17100000000001","-47.138","145.824","103.041","101.035"
"income_tax","2.636","-16.768","25.093","-32.924","-22.911","-25.404"
"net_income_continuing","0.92","60.403","-22.045","112.9","80.13","75.631"
"net_income_discontinued","","","","","",""
"income_allocated_to_minority_interest","","","","","",""
"other_income_statement_items","-1.1102230246252E-16","-7.105427357601E-15","-3.5527136788005E-15","","","-1.7763568394003E-15"
"net_income","0.92","60.403","-22.045","112.9","80.13","75.631"
"preferred_dividends","","","","","",""
"net_income_available_to_shareholders","0.92","60.403","-22.045","112.9","80.13","75.631"
"eps_basic","","0.2","-0.08","0.37","0.26","0.24"
"eps_diluted","","0.2","-0.08","0.34","0.24","0.23"
"shares_basic","260.479","296.074","280.216","303.372","311.035","311.035"
"shares_diluted","272.454","296.074","280.216","327.56","328.24","328.24"
"cash_and_equiv","6.405","114.647","19.738","65.152","19.047","19.047"
"st_investments","","","","","",""
"receivables","12.844","5.655","23.886","19.123","21.018","21.018"
"inventories","7.76","6.415","6.334","9.173999999999999","8.952","8.952"
"other_current_assets","6.092","8.253","8.885999999999999","12.688","11.877","11.877"
"total_current_assets","33.101","134.97","58.844","106.137","60.894","60.894"
"equity_and_other_investments","","","","","",""
"ppe_gross","340.249","1083.134","1367.292","1563.135","1832.663","1832.663"
"accumulated_depreciation","-106.675","-138.562","-176.311","-225.572","-273.995","-273.995"
"ppe_net","233.574","944.572","1190.981","1337.563","1558.668","1558.668"
"intangible_assets","133.127","127.014","129.821","123.61","117.671","117.671"
"goodwill","731.99","737.42","1060.22","1109.82","1134.73","1134.73"
"other_lt_assets","18.282","4.4769999999999","8.235999999999901","9.101999999999899","9.573000000000301","9.573000000000301"
"total_assets","1150.074","1948.453","2448.102","2686.232","2881.536","2881.536"
"accounts_payable","15.792","24.374","27.346","25.649","33.641","33.641"
"tax_payable","","","8.087999999999999","8.863","9.481999999999999","9.481999999999999"
"current_accrued_liabilities","40.234","31.688","29.076","49.551","49.027","49.027"
"st_debt","8","8.4","","","",""
"current_deferred_revenue","21.258","24.505","27.815","29.395","32.686","32.686"
"current_deferred_tax_liability","","","","","",""
"other_current_liabilities","0.262","","2.8421709430404E-14","","",""
"total_current_liabilities","85.569","122.947","130.229","154.493","169.561","169.561"
"lt_debt","1016.89","1054.82","896.336","895.83","897.424","897.424"
"noncurrent_capital_leases","1.015","701.396","732.9109999999999","774.554","823.442","823.442"
"pension_liabilities","","","","","",""
"noncurrent_deferred_revenue","59.678","46.082","22.603","53.395","71.657","71.657"
"other_lt_liabilities","50.524","6.558000000000201","8.870999999999899","6.832000000000099","4.417000000000099","4.417000000000099"
"total_liabilities","1213.676","1931.803","1790.95","1885.104","1966.501","1966.501"
"common_stock","3","3","3","3","3","3"
"preferred_stock","","","","","",""
"retained_earnings","-156.58","-76.378","-98.423","14.477","94.607","94.607"
"aoci","","-1.117","0.225","","",""
"apic","90.358","91.523","752.343","783.579","817.271","817.271"
"treasury_stock","","","","","",""
"other_equity","-0.37999999999999","-0.37799999999999","0.007000000000061801","0.072000000000116","0.15700000000004","0.15700000000004"
"minority_interest_liability","","","","","",""
"total_equity","-63.602","16.65","657.152","801.128","915.035","915.035"
"total_liabilities_and_equity","1150.074","1948.453","2448.102","2686.232","2881.536","2881.536"
"cfo_net_income","0.92","60.403","-22.045","112.9","80.13","75.631"
"cfo_da","39.468","45.289","50.559","61.58","69.991","72.279"
