"Company: ","Mohawk Industries Inc (MHK:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","106.33","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Household Durables","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","7201","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","8237","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","3255.846","3445.945","4516.957","4999.381","5880.372","6620.099","7905.842","7586.018","6826.348","5344.024","5319.072","5642.258","5787.98","7348.754","7803.446","8071.563","8959.087","9491.290000000001","9983.634","9970.672","9552.197","11200.613","11737.065","11135.115","11008.292"
"cogs","2350.651","2613.043","3247.865","3605.579","4259.531","4896.965","5674.531","5471.234","5088.584","4111.794","3916.472","4225.379","4297.922","5427.945","5649.254","5660.877","6146.262","6494.876","7145.564","7294.629","7121.507","7931.879","8793.638999999999","8425.463","8292.582"
"gross_profit","905.1950000000001","832.902","1269.092","1393.802","1620.841","1723.134","2231.311","2114.784","1737.764","1232.23","1402.6","1416.879","1490.058","1920.809","2154.192","2410.686","2812.825","2996.414","2838.07","2676.043","2430.69","3268.734","2943.426","2709.652","2715.71"
"sga","505.734","505.745","747.027","851.773","985.251","1095.862","1392.251","1364.678","1318.501","1188.5","1088.431","1101.337","1110.55","1373.878","1381.396","1573.12","1532.882","1642.241","1742.744","1848.819","1794.688","1933.723","2003.438","2119.716","2104.964"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","82.346","","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","588.08","505.745","747.027","851.773","985.251","1095.862","1392.251","1364.678","1318.501","1188.5","1088.431","1101.337","1110.55","1373.878","1381.396","1573.12","1532.882","1642.241","1742.744","1848.819","1794.688","1933.723","2003.438","2119.716","2104.964"
"operating_income","317.115","327.157","522.0650000000001","542.029","635.59","627.272","839.0599999999999","750.106","419.263","43.73","314.169","315.542","379.508","546.931","772.796","837.566","1279.943","1354.173","1095.326","827.224","636.002","1335.011","939.9880000000001","589.936","610.746"
"net_interest_income_normal","","","","","","","","-154.469","-127.05","-127.031","-133.151","-101.617","-74.71299999999999","-92.246","-98.20699999999999","-71.086","-40.547","-31.111","-38.827","-41.272","-52.379","-57.252","-51.938","-77.514","-75.277"
"other_nonoperating_income","-49.486","-35.741","-78.43600000000001","-53.595","-58.201","-70.251","-162.749","8.48","-1564.685","5.588","11.63","-14.051","-0.303","-9.114000000000001","-10.698","-17.619","1.729","-5.205","-7.298","-36.407","0.751","12.234","-704.157","-866.931","-866.397"
"pretax_income","267.629","291.416","443.629","488.434","577.389","557.021","676.311","604.117","-1272.472","-77.71299999999999","192.648","199.874","304.492","445.571","663.891","748.861","1241.125","1317.857","1049.201","749.545","584.374","1289.993","183.893","-354.509","-330.928"
"income_tax","-105.03","-102.824","-159.14","-178.285","-208.767","-198.826","-220.478","102.697","-180.062","76.694","-2.713","-21.649","-53.599","-78.38500000000001","-131.637","-131.875","-307.559","-343.165","-184.346","-4.974","-68.64700000000001","-256.445","-158.11","-84.86199999999999","-83.71899999999999"
"net_income_continuing","162.599","188.592","284.489","310.149","368.622","358.195","455.833","706.814","-1452.534","-1.019","189.935","178.225","250.893","367.186","532.254","616.986","933.566","974.692","864.855","744.571","515.727","1033.548","25.783","-439.371","-414.647"
"net_income_discontinued","","","","","","","","","","","","","","-17.895","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","-5.694","-4.48","-7.708","-4.303","-0.635","-0.505","-0.289","-1.878","-3.204","-3.1","-7.043","-0.36","-0.132","-0.389","-0.536","-0.145","-0.107"
"other_income_statement_items","-2.8421709430404E-14","2.8421709430404E-14","-5.6843418860808E-14","","","5.6843418860808E-14","","","","-7.9936057773011E-15","","","-2.8421709430404E-14","-5.6843418860808E-14","1.1368683772162E-13","","-1.1368683772162E-13","","","1.1368683772162E-13","","","1.4210854715202E-14","-5.6843418860808E-14","-1.4210854715202E-14"
"net_income","162.599","188.592","284.489","310.149","368.622","358.195","455.833","706.814","-1458.228","-5.499","182.227","173.922","250.258","348.786","531.965","615.1079999999999","930.362","971.592","857.812","744.211","515.595","1033.159","25.247","-439.516","-414.754"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","162.599","188.592","284.489","310.149","368.622","358.195","455.833","706.814","-1458.228","-5.499","182.227","173.922","250.258","348.786","531.965","615.1079999999999","930.362","971.592","857.812","744.211","515.595","1033.159","25.247","-439.516","-414.754"
"eps_basic","3.02","3.6","4.46","4.68","5.56","5.78","6.74","10.37","-21.32","-0.08","2.66","2.53","3.63","4.86","7.3","8.369999999999999","12.55","13.07","11.53","10.34","7.24","15.01","0.4","-6.9","-6.51"
"eps_diluted","3","3.55","4.39","4.62","5.49","5.72","6.7","10.32","-21.32","-0.08","2.65","2.52","3.61","4.82","7.25","8.31","12.48","12.98","11.47","10.3","7.22","14.94","0.39","-6.9","-6.54"
"shares_basic","53.769","52.418","63.723","66.251","66.682","66.932","67.67400000000001","68.172","68.401","68.452","68.578","68.736","68.988","71.773","72.837","73.51600000000001","74.104","74.357","74.413","71.986","71.214","68.852","63.826","63.657","63.657"
"shares_diluted","54.255","53.141","64.861","67.121","67.557","67.64400000000001","68.056","68.492","68.401","68.452","68.78400000000001","68.964","69.306","72.301","73.363","74.04300000000001","74.568","74.839","74.773","72.264","71.401","69.145","64.062","63.657","63.657"
"cash_and_equiv","","","","","","134.585","63.492","89.604","93.51900000000001","531.458","354.217","311.945","477.672","54.066","97.877","81.69199999999999","121.665","84.884","119.05","134.785","768.625","268.895","509.623","642.55","642.55"
"st_investments","","","","","","","","","","","","","","","","","","","","42.5","571.741","323","158","",""
"receivables","358.809","404.875","501.129","573.5","660.65","848.6660000000001","910.021","821.1130000000001","696.284","673.931","614.473","686.165","679.473","1062.875","1081.963","1257.505","1376.151","1558.159","1606.159","1526.619","1709.493","1839.985","1904.786","1874.656","1874.656"
"inventories","574.595","531.405","678.008","832.415","1017.983","1215.427","1225.874","1276.568","1168.272","892.981","1007.503","1113.63","1133.736","1572.325","1543.313","1607.256","1675.751","1948.663","2287.615","2282.328","1913.02","2391.672","2793.765","2551.853","2551.853"
"other_current_assets","93.447","94.94199999999999","119.442","127.303","104.692","190.323","213.339","262.435","288.174","260.63","272.42","286.424","259.165","396.452","257.333","303.519","297.945","481.261","496.472","443.225","400.775","414.805","528.925","535.158","535.158"
"total_current_assets","1026.851","1031.222","1298.579","1533.218","1783.325","2389.001","2412.726","2449.72","2246.249","2359","2248.613","2398.164","2550.046","3085.718","2980.486","3249.972","3471.512","4072.967","4509.296","4429.457","5363.654","5238.357","5895.099","5604.217","5604.217"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"ppe_gross","1238.2","1277.719","1585.111","1735.49","1817.823","2824.837","3068.522","3313.635","3413.557","3469.525","3518.392","3639.857","3758.324","4950.149","5130.213","5783.257","6243.775","7486.284","8227.074000000001","8819.011","9228.404","9640.554","10035.595","10820.829","10820.829"
"accumulated_depreciation","-588.147","-658.016","-729.787","-816.405","-912.491","-1014.109","-1180.434","-1337.914","-1487.815","-1678.113","-1831.268","-1927.703","-2065.472","-2248.406","-2427.003","-2636.139","-2873.427","-3215.494","-3527.172","-3797.091","-4314.037","-4613.722","-4986.601","-5399.131","-5399.131"
"ppe_net","650.053","619.703","855.324","919.085","905.332","1810.728","1888.088","1975.721","1925.742","1791.412","1687.124","1712.154","1692.852","2701.743","2703.21","3147.118","3370.348","4270.79","4699.902","5021.92","4914.367","5026.832","5048.994","5421.698","5421.698"
"intangible_assets","","109.167","1424.153","1694.039","1699.995","1174.1","1180.093","1171.868","847.854","785.34","677.131","605.095","553.8","811.604","702.011","936.5359999999999","834.602","891.766","961.806","928.876","951.6079999999999","899.979","857.947","875.3869999999999","875.3869999999999"
"goodwill","","","","","","2621.96","2699.64","2797.34","1399.43","1411.13","1369.39","1375.18","1385.77","1736.09","1604.35","2293.37","2274.43","2471.46","2520.97","2570.03","2650.83","2607.91","1927.76","1159.72","1159.72"
"other_lt_assets","118.474","8.393000000000001","18.687","17.233","14.466","44.248","31.662","285.401","26.9","44.563999999999","116.668","115.635","121.216","159.022","295.487","307.404","279.704","387.87","407.149","436.397","447.292","451.439","390.632","498.847","498.847"
"total_assets","1795.378","1768.485","3596.743","4163.575","4403.118","8040.037","8212.209000000001","8680.049999999999","6446.175","6391.446","6098.926","6206.228","6303.684","8494.177","8285.544","9934.4","10230.596","12094.853","13099.123","13386.68","14327.751","14224.517","14120.432","13559.869","13559.869"
"accounts_payable","375.268","423.495","630.306","637.9400000000001","623.061","401.543","371.538","399.141","315.053","335.401","353.387","372.616","387.871","631.732","622.36","696.974","729.415","810.034","811.879","824.956","1016.897","1228.621","1094.038","1038.024","1038.024"
"tax_payable","","","","","","","","42.09","40.798","85.699","9.301","","2.074","","","","","","","","","","","",""
"current_accrued_liabilities","","","","","","377.64","677.341","497.94","366.79","289.018","230.556","218.939","239.812","356.996","318.293","364.006","400.685","425.317","499.85","531.269","651.147","729.364","47.173","57.626","57.626"
