"Company: ","Morgan Stanley (MS:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","97.8","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Capital Markets","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","157803","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","360317","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-11","2001-11","2002-11","2003-11","2004-11","2005-11","2006-11","2007-11","2008-11","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"total_interest_income","21234","24127","15866","15744","18584","25987","42776","60069","38931","7477","7305","7234","5692","5209","5413","5835","7016","8997","13892","17098","10162","9411","21595","50281","52341"
"total_interest_expense","18176","20779","11970","12809","14707","23552","40897","57283","36263","6687","6407","6883","5897","4431","3678","2742","3318","5697","10086","12404","3849","1366","12268","42051","44661"
"net_interest_income","3058","3348","3896","2935","3877","2435","1879","2786","2668","790","898","351","-205","778","1735","3093","3698","3300","3806","4694","6313","8045","9327","8230","7680"
"total_noninterest_revenue","23872","19747","16549","19189","19825","20272","26615","22199","14994","20809","28463","30243","24848","30004","30734","30170","29013","32552","33908","34351","39515","48369","40883","42437","43566"
"revenue","26930","23095","20445","22124","23702","22707","28494","24985","17662","21599","29361","30594","24643","30782","32469","33263","32711","35852","37714","39045","45828","56414","50210","50667","51246"
"credit_losses_provision","810","1052","1336","1267","926","878","756","","","","","","","","","","","","","161","761","4","280","532","292"
"net_interest_income_after_credit_losses_provision","2248","2296","2560","1668","2951","1557","1123","2786","2668","790","898","351","-205","778","1735","3093","3698","3300","3806","4533","5552","8041","9047","7698","7388"
"total_noninterest_expense","17629","16359","14241","15523","15958","15764","18674","22209","19403","20960","22948","24602","23944","26180","28872","24768","23861","25449","26477","27411","30418","36286","35371","37141","37454"
"pretax_income","8526","5684","4633","5334","6818","6316","9064","2776","1254","1130","6198","6110","596","4558","3591","8495","8848","10403","11237","11301","14418","19668","14089","11813","12448"
"income_tax","-3070","-2074","-1645","-1547","-1856","-1473","-2729","-576","-16","297","-743","-1414","161","-902","90","-2200","-2726","-4168","-2350","-2064","-3239","-4548","-2910","-2583","-2789"
"net_income_continuing","5456","3610","2988","3787","4589","4532","6335","2200","1238","1427","5455","4696","757","3656","3681","6295","6122","6235","8887","9237","11179","15120","11179","9230","9659"
"net_income_discontinued","","","","","-103","358","1137","1049","540","-21","247","-51","-41","-43","-14","-16","1","-19","-4","","","","","",""
"net_income","5456","3521","2988","3787","4486","4939","7472","3209","1707","1346","4703","4110","68","2932","3467","6127","5979","6111","8748","9042","10996","15034","11029","9087","9519"
"preferred_dividends","36","32","","","","","19","68","97","1109","881","2043","98","277","315","456","471","523","526","530","496","468","489","557","559"
"net_income_available_to_shareholders","5420","3489","2988","3787","4486","4939","7453","3141","1610","237","3822","2067","-30","2655","3152","5671","5508","5588","8222","8512","10500","14566","10540","8530","8960"
"eps_basic","4.95","3.21","2.76","3.52","4.15","4.7","7.38","2.97","1.45","-0.77","2.64","1.25","-0.02","1.39","1.64","2.97","2.98","3.14","4.81","5.26","6.55","8.16","6.23","5.24","5.54"
"eps_diluted","4.73","3.11","2.69","3.45","4.06","4.57","7.07","2.9","1.39","-0.77","2.63","1.23","-0.02","1.36","1.6","2.9","2.92","3.07","4.73","5.19","6.46","8.029999999999999","6.15","5.18","5.49"
"shares_basic","1095.858","1086.122","1083.271","1076.755","1080.122","1049.896","1010.254","1001.879","1028.18","1185.415","1361.671","1654.709","1885.774","1905.824","1924","1909","1849","1780","1708","1617","1603","1785","1691","1628","1628"
"shares_diluted","1145.877","1121.865","1110.781","1099.118","1105.185","1079.936","1054.796","1024.837","1073.496","1185.415","1411.269","1675.272","1918.811","1956.52","1971","1953","1887","1821","1738","1640","1624","1814","1713","1646","1646"
"cash_and_equiv","18819","26596","29212","29692","32811","69544","50171","87206","137742","55703","66498","76255","77348","98425","87397","54083","43381","46164","51840","49659","67452","86838","92747","58661","58661"
"loans_gross","22526","20955","23942","20384","21169","26899","35654","11629","6528","7417","10658","15386","29152","43030","66726","85984","94522","104350","115817","130986","151432","188788","214624","219809","219809"
"allowance_for_loan_losses","-783","-847","-928","-1002","-943","-838","-831","","","-158","-82","-17","-106","-156","-149","-225","-274","-224","-238","-349","-835","-654","-839","-1169","-1169"
"loans_net","21743","20108","23014","19382","20226","26061","34823","11629","6528","7259","10576","15369","29046","42874","66577","85759","94248","104126","115579","130637","150597","188134","213785","218640","218640"
"total_investments","306400","360017","360428","465315","487535","214721","322567","302484","181868","254449","290515","262616","161618","184796","201697","183861","189821","207493","237808","274562","362330","373689","336842","359187","359187"
"ppe_net","2685","2579","2270","2433","2605","2733","4086","4372","5057","7067","6154","6457","5946","6019","6108","","25","","","","21","16","4","23","23"
"intangible_assets","","","1449","1514","2199","294","651","1047","895","5054","4667","4285","3783","3286","3159","2984","2721","2448","2163","2107","4980","8360","7618","7055","7055"
"goodwill","","","","","","2206","2792","3024","2243","7162","6739","6686","6650","6595","6588","6584","6577","6597","6688","7143","11635","16833","16652","16707","16707"
"other_lt_assets","71632","73328","113126","84507","201958","582964","706102","635647","324479","434768","422549","378230","496569","490707","429984","454194","478176","484905","439453","431321","518847","514270","512583","533420","533420"
"total_assets","421279","482628","529499","602843","747334","898523","1121192","1045409","658812","771462","807698","749898","780960","832702","801510","787465","814949","851733","853531","895429","1115862","1188140","1180231","1193693","1193693"
"deposits_liability","11930","12276","13757","12839","13777","18663","28343","31179","42755","62215","63812","65662","83266","112379","133544","156034","155863","159436","187820","190356","310782","347574","356646","351804","351804"
"st_debt","27754","32842","50789","28386","36303","31120","29092","34495","10483","2405","3762","3118","2779","6375","3656","3608","2370","3553","3581","9670","14144","10337","5135","8920","8920"
"lt_debt","42051","49668","55161","65600","95286","110465","144978","190624","163437","201449","202404","204678","184657","163557","163462","161797","174464","200300","195547","197655","218798","232831","241081","267467","267467"
"other_lt_liabilities","319873","365916","386697","468341","573762","709093","883415","757842","391306","452613","472313","406362","444830","481361","428744","389842","405075","409978","385177","415051","468989","490800","476138","465520","465520"
"total_liabilities","401608","460702","506404","575166","719128","869341","1085828","1014140","607981","718682","742291","679820","715532","763672","729406","711281","737772","773267","772125","812732","1012713","1081542","1079000","1093711","1093711"
"common_stock","12","12","12","12","12","12","12","12","12","15","16","20","20","20","20","20","20","20","20","20","20","20","20","20","20"
"preferred_stock","545","345","","","","","1100","1100","19155","9597","9597","1508","1508","3220","6020","7520","7520","8520","8520","8520","9250","7750","8750","8750","8750"
"retained_earnings","20802","23270","25250","28038","31426","35185","41422","38045","38096","35056","38603","40341","39912","42172","44625","49204","53679","57577","64175","70589","78694","89432","94862","97996","97996"
"aoci","559","279","121","-445","1294","-190","-35","-199","-125","-560","-467","-157","-516","-1093","-1248","-1656","-2643","-3060","-2292","-2788","-1962","-3102","-6253","-6421","-6421"
"apic","3377","3745","3678","4028","2088","2389","2213","1902","1619","8619","13521","22836","23426","24570","24249","24153","23271","23545","23794","23935","25546","28841","29339","29832","29832"
"treasury_stock","-6024","-6935","-7176","-6766","-6614","-8214","-9348","-9591","-7926","-6039","-4059","-2499","-2241","-2968","-2766","-4059","-5797","-9211","-13971","-18727","-9767","-17500","-26577","-31139","-31139"
"other_equity","400","1210","1210","2810","","","","","","6092","8196","8029","3319","3109","1204","1002","1127","1075","1160","1148","1368","1157","1090","944","944"
"total_equity","19671","21926","23095","27677","28206","29182","35364","31269","50831","52780","65407","70078","65428","69030","72104","76184","77177","78466","81406","82697","103149","106598","101231","99982","99982"
"total_liabilities_and_equity","421279","482628","529499","602843","747334","898523","1121192","1045409","658812","771462","807698","749898","780960","832702","801510","787465","814949","851733","853531","895429","1115862","1188140","1180231","1193693","1193693"
"cfo_net_income","5456","3521","2988","3787","4486","4939","7472","3249","1778","1406","5702","4645","716","3613","3667","6279","6123","6216","8883","9237","11179","15120","11179","9230","9659"
"cfo_da","727","729","787","637","805","815","876","475","794","1224","1419","1404","1581","1511","1161","1433","1736","1753","1844","2643","3769","4216","3998","4256","4291"
"cfo_receivables","","","","","-17112","-1598","-46287","-3973","54531","-2445","-6492","5899","-10030","6774","2204","-434","-371","-9315","-728","233","-29774","774","14664","602","-4025"
"cfo_inventory","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_prepaid_expenses","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_other_working_capital","54453","-29765","-10792","2346","-17074","-36836","-26221","-22967","18946","-46244","38869","978","32013","22094","-6841","-14350","-4862","-7114","-4247","27376","-12502","11915","-38162","-49710","-30888"
"cfo_change_in_working_capital","54453","-29765","-10792","2346","-34186","-38434","-72508","-26940","73477","-48689","32377","6877","21983","28868","-4637","-14784","-5233","-16429","-4975","27609","-42276","12689","-23498","-49108","-34913"
"cfo_deferred_tax","-219","-427","55","205","-261","-999","111","-1669","-1224","-932","-129","413","-639","-117","-231","1189","1579","2747","449","165","-250","4","-849","-463",""
"cfo_stock_comp","","","","","663","820","1923","1927","1838","1265","1260","1300","891","1180","1260","1104","1136","1026","920","1153","1312","2085","1875","1709","1593"
"cfo_other_noncash_items","-62801","1851","1908","-4620","1035","1507","881","709","-3246","-225","-15","743","227","-46","-134","316","42","182","184","-34","1035","-143","898","840","59"
"cf_cfo","-2384","-24091","-5054","2355","-27458","-31352","-61245","-22249","73417","-45951","40614","15382","24759","35009","1086","-4463","5383","-4505","7305","40773","-25231","33971","-6397","-33536","-19311"
"cfi_ppe_net","-896","-1998","-1124","-603","-533","-540","993","-1469","-1400","-2877","-1201","-1304","-1312","-1316","-992","-1373","-1276","-1629","-1865","-1826","-1444","-2308","-3078","-3412","-3509"
"cfi_acquisitions_net","","","","","-758","-323","-2706","-693","569","-1595","787","","1725","1147","989","998","","","","","3807","-2648","","",""
"cfi_investment_net","","","","","","","","-9801","","","-28990","-603","-9341","-14375","-14992","-3702","-8828","1614","-11924","-13423","-21510","-8003","15445","5310","4738"
"cfi_intangibles_net","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfi_other","-1789","1111","-4531","2366","-1770","-3258","-632","525","","","-60","-8827","-3697","-9917","-20329","-15918","-9404","-12376","-9092","-18312","-18751","-36938","-23999","-4982","-2218"
"cf_cfi","-2685","-887","-5655","1763","-3061","-4121","-2345","-11438","-831","-4472","-29464","-10734","-12625","-24461","-35324","-19995","-19508","-12391","-22881","-33561","-37898","-49897","-11632","-3084","-989"
"cff_common_stock_net","-3761","-1386","-1156","-128","-810","-3366","-3088","-3330","-1431","6205","5264","-317","-227","-691","-1458","-2773","-3933","-4292","-5566","-5954","-1890","-12075","-10871","-6178","-5691"
"cff_pfd_net","","810","","","","","1097","","18997","-10950","","","","1696","2782","1493","","994","","497","","1275","994","",""
"cff_debt_net","2561","12385","22518","-1598","33603","13850","24784","49694","-32222","3061","-379","-6920","-20151","-10799","3756","6805","12030","19591","5278","-9943","10242","20149","37562","13619","17959"
"cff_dividend_paid","-924","-1040","-1000","-994","-1096","-1180","-1167","-1219","-1227","-1732","-1156","-834","-469","-475","-904","-1455","-1746","-2085","-2375","-2627","-2739","-4171","-5401","-5763","-5853"
"cff_other","13687","21986","-7037","-918","1941","22772","32359","-7060","-1101","6440","434","2923","8950","12902","18967","20084","1012","2053","26868","6061","78171","36369","430","-4404","6004"
"cf_cff","11563","32755","13325","-3638","33638","32076","53985","38085","-16984","3024","4163","-5148","-11897","2633","23143","24154","7363","16261","24205","-11966","83784","41547","22714","-2726","12419"
"ebitda","9253","6413","5420","5971","7623","7131","9940","3251","2048","2354","7617","7514","2177","6069","4752","9928","10584","12156","13081","13944","18187","23884","18087","16069","16739"
"earning_assets","347745","407568","413582","515391","541515","311164","408392","401319","326138","317569","367671","354257","268118","326251","355820","323928","327724","358007","405465","455207","581214","649315","644213","637657","660349"
"book_value","19126","21581","23095","27677","28206","29182","34264","30169","31676","43183","55810","68570","63920","65810","66084","68664","69657","69946","72886","74177","93899","98848","92481","91232","91390"
"tangible_book_value","19126","21581","21646","26163","26007","26682","30821","26098","28538","30967","44404","57599","53487","55929","56337","59096","60359","60901","64035","64927","77284","73655","68211","67470","67754"
