"Company: ","Morningstar Inc (MORN:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","299.41","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Capital Markets","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","12739","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","13247","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","74.973","91.23","109.619","139.496","179.658","227.114","315.175","435.107","502.457","478.996","555.351","631.4","658.288","698.3","760.1","788.8","798.6","911.7","1019.9","1179","1389.5","1699.3","1870.6","2038.6","2101.7"
"cogs","","","39.035","43.521","54.709","64.408","86.97499999999999","113.777","130.085","128.616","157.068","235.289","246.783","271.4","318.6","330.1","344.3","386.6","411.1","483.1","556.4","698.4","779.3","843.5","842.8"
"gross_profit","74.973","91.23","70.584","95.97499999999999","124.949","162.706","228.2","321.33","372.372","350.38","398.283","396.111","411.505","426.9","441.5","458.7","454.3","525.1","608.8","695.9","833.1","1000.9","1091.3","1195.1","1258.9"
"sga","","","61.496","84.943","82.822","88.306","106.204","147.703","166.917","155.368","188.316","214.783","217.741","210.5","220","203.7","202.8","264.1","296.3","388.6","478.4","593.2","756.9","779.6","772.9"
"rnd","","","11.881","14.663","16.167","19.654","29.494","35.116","40.34","38.378","49.244","53.157","51.436","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","5.547","7.123","8.225","8.266","14.975","21.257","25.996","31.961","39.664","-10.244","-8.34","45.7","54.9","64.40000000000001","70.7","91.2","96.7","117.7","139.5","150.7","166.6","184.9","187.3"
"total_opex","","","78.92400000000001","106.729","107.214","116.226","150.673","204.076","233.253","225.707","277.224","257.696","260.837","256.2","274.9","268.1","273.5","355.3","393","506.3","617.9","743.9","923.5","964.5","960.2"
"operating_income","74.973","91.23","-8.34","-10.754","17.735","46.48","77.527","117.254","139.119","124.673","121.059","138.415","150.668","170.7","166.6","190.6","180.8","169.8","215.8","189.6","215.2","257","167.8","230.6","298.7"
"net_interest_income_normal","","","1.042","0.279","","","","7.134","5.687","3.016","2.437","2.361","5.153","2.7","2.1","1.3","0.3","-3.6","-1.8","-8.699999999999999","-9.5","-8.699999999999999","-28.4","-51.7","-49.9"
