"Company: ","Nordstrom Inc (JWN:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","21.09","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Broadline Retail","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","3520","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","5706","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2001-01","2002-01","2003-01","2004-01","2005-01","2006-01","2007-01","2008-01","2009-01","2010-01","2011-01","2012-01","2013-01","2014-01","2015-01","2016-01","2017-01","2018-01","2019-01","2020-01","2021-01","2022-01","2023-01","2024-01","TTM"
"revenue","5528.537","5634.13","5944.656","6448.678","7131.388","7722.86","8561","8828","8573","8627","9700","10860","12134","12540","13506","14437","14757","15478","15860","15524","10715","14789","15530","14693","14847"
"cogs","3457.566","3765.859","3970.022","4215.546","4559.388","4888.023","5354","5526","5417","5328","5897","6592","7432","7737","8406","9168","9440","9890","10155","9932","7600","9344","10019","9303","9478"
"gross_profit","2070.971","1868.271","1974.634","2233.132","2572","2834.837","3207","3302","3156","3299","3803","4268","4702","4803","5100","5269","5317","5588","5705","5592","3115","5445","5511","5390","5369"
"sga","1747.048","1722.635","1783.21","1899.129","2020.233","2100.666","2297","2360","2377","2465","2685","3019","3357","3453","3777","4168","4315","4662","4868","4808","4162","4953","5046","4855","4905"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","191.95","","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","1938.998","1722.635","1783.21","1899.129","2020.233","2100.666","2297","2360","2377","2465","2685","3019","3357","3453","3777","4168","4315","4662","4868","4808","4162","4953","5046","4855","4905"
"operating_income","131.973","145.636","191.424","334.003","551.7670000000001","734.171","910","942","779","834","1118","1249","1345","1350","1323","1101","1002","926","837","784","-1047","492","465","535","464"
"net_interest_income_normal","","","","","","","","","-142","-138","-127","-130","-160","-161","-138","-125","-121","-136","-104","-102","-181","-246","-128","-104","-103"
"other_nonoperating_income","35.045","58.852","4.2","64.13800000000001","95.514","151.054","196","231","11","","","","","","","","-197","","","","","","","-284","25"
"pretax_income","167.018","204.488","195.624","398.141","647.2809999999999","885.225","1106","1173","648","696","991","1119","1185","1189","1185","976","684","790","733","682","-1228","246","337","147","386"
"income_tax","-65.09999999999999","-79.8","-92.041","-155.3","-253.831","-333.886","-428","-458","-247","-255","-378","-436","-450","-455","-465","-376","-330","-353","-169","-186","538","-68","-92","-13","-87"
"net_income_continuing","101.918","124.688","103.583","242.841","393.45","551.3390000000001","678","715","401","441","613","683","735","734","720","600","354","437","564","496","-690","178","245","134","299"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","-53.168","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","","","39.809","","5.6843418860808E-14","1.1368683772162E-13","","","","","","","","","","","","","","","","","","",""
"net_income","101.918","124.688","90.224","242.841","393.45","551.3390000000001","678","715","401","441","613","683","735","734","720","600","354","437","564","496","-690","178","245","134","299"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","101.918","124.688","90.224","242.841","393.45","551.3390000000001","678","715","401","441","613","683","735","734","720","600","354","437","564","496","-690","178","245","134","299"
"eps_basic","0.39","0.46","0.33","0.89","1.41","2.03","2.6","2.92","1.85","2.03","2.8","3.2","3.62","3.77","3.79","3.22","2.05","2.62","3.37","3.2","-4.39","1.12","1.53","0.83","1.85"
"eps_diluted","0.39","0.46","0.33","0.88","1.39","1.98","2.55","2.88","1.83","2.01","2.75","3.14","3.56","3.71","3.72","3.15","2.02","2.59","3.32","3.18","-4.39","1.1","1.51","0.82","1.83"
