"Company: ","Quest Diagnostics Incorporated (DGX:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","138.3","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Health Care Providers & Services","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","15578","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","18908","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","3421.162","3627.771","4108.051","4737.958","5066.986","5456.726","6268.659","6704.907","7249.447","7455.243","7260.12","7392","7383","7146","7435","7493","7214","7402","7531","7726","9437","10788","9883","9252","9287"
"cogs","1967.606","2151.594","2432.388","2768.623","2969.774","3220.713","3696.006","3969.848","4256.156","4321.475","4275.535","4363","4365","4326","4637","4657","4616","4719","4926","5037","5804","6579","6450","6199","6234"
"gross_profit","1453.556","1476.177","1675.663","1969.335","2097.212","2236.013","2572.653","2735.059","2993.291","3133.768","2984.585","3029","3018","2820","2798","2836","2598","2683","2605","2689","3633","4209","3433","3053","3053"
"sga","1001.443","1018.68","1074.841","1165.7","1209.98","1223.828","1433.733","1612.858","1736.934","1747.618","1658.842","1743","1745","1704","1728","1679","1380","1443","1424","1457","1550","1727","1874","1642","1643"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","134.296","46.107","8.372999999999999","7.181","6.378","4.637","10.913","30.865","33.981","27.039","42.16","299","72","115","87","92","59","75","80","1","112","101","131","149","153"
"total_opex","1135.739","1064.787","1083.214","1172.881","1216.358","1228.465","1444.646","1643.723","1770.915","1774.657","1701.002","2042","1817","1819","1815","1771","1439","1518","1504","1458","1662","1828","2005","1791","1796"
"operating_income","317.817","411.39","592.449","796.454","880.854","1007.548","1128.007","1091.336","1222.376","1359.111","1283.583","987","1201","1001","983","1065","1159","1165","1101","1231","1971","2381","1428","1262","1257"
"net_interest_income_normal","","","","","","","","","-179.764","-144.068","-143.467","-170","-165","-159","-164","-153","-143","-151","-167","-175","-163","-151","-138","-152","-160"
"other_nonoperating_income","-116.836","-114.801","-50.072","-58.656","-55.968","-57.54","-94.73399999999999","-178.934","-23.66","12.889","34.868","32","32","482","4","191","70","16","-8","20","76","369","-55","20","22"
"pretax_income","200.981","296.589","542.377","737.798","824.886","950.008","1033.273","912.402","1018.952","1227.932","1174.984","849","1068","1324","823","1103","1086","1030","926","1076","1884","2599","1235","1130","1119"
"income_tax","-96.033","-134.286","-220.223","-301.081","-332.471","-376.812","-407.581","-358.574","-386.768","-460.474","-430.127","-355","-402","-500","-262","-373","-429","-241","-182","-247","-460","-597","-264","-248","-249"
"net_income_continuing","104.948","162.303","322.154","436.717","492.415","573.196","625.692","553.828","632.184","767.458","744.857","494","666","824","561","730","657","789","744","829","1424","2002","971","882","870"
"net_income_discontinued","","","","","6.78","-26.919","-39.271","-213.889","-50.694","-1.236","12.16","12","-74","35","5","","","","","20","","","","",""
"income_allocated_to_minority_interest","","-9.952999999999999","-14.874","-17.63","-19.353","-19.495","-23.9","-26.51","-31.705","-37.111","-36.123","-35","-36","-34","-36","-44","-51","-52","-52","-48","-68","-85","-69","-54","-53"
