"Company: ","Shift4 Payments Inc (FOUR:US)","","","","","",""
"Exchange: ","NYSE","","","","","",""
"Last Close Price: ","70.38","","","","","",""
"Industry: ","IT Services","","","","","",""
"Currency: ","USD","","","","","",""
"Country: ","US","","","","","",""
"Market Cap.: ","6161","","","","","",""
"Enterprise Value: ","7390","","","","","",""
"period_end_date","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","560.6","731.4","766.9","1367.5","1993.6","2564.8","2725.2"
"cogs","419.9","558","589.1","1089.1","1523.4","1877","1995"
"gross_profit","140.7","173.4","177.8","278.4","470.2","687.8","730.2"
"sga","93.3","133.8","202","265.2","315.6","377.5","402.7"
"rnd","","","","","","",""
"special_charges","","","","","","",""
"other_opex","40.4","40.2","39.5","62.2","96.5","153.8","163.3"
"total_opex","133.7","174","241.5","327.4","412.1","531.3","566"
"operating_income","7","-0.6","-63.7","-49","58.1","156.5","164.2"
"net_interest_income_normal","-47","-51.5","-40.2","-28","-21.7","-0.2","-2.4"
"other_nonoperating_income","-19.5","-2.8","-9.9","-0.1","50.5","-36.8","-29.2"
"pretax_income","-59.5","-54.9","-113.8","-77.09999999999999","86.90000000000001","119.5","132.6"
"income_tax","4.1","-1.7","2.4","3.1","-0.2","3.4","-1.6"
"net_income_continuing","-55.4","-56.6","-111.4","-74","86.7","122.9","131"
"net_income_discontinued","","","","","","",""
"income_allocated_to_minority_interest","","","93","25.8","-11.6","-36.7","-39"
"other_income_statement_items","","","-7.105427357601E-15","","-1.4210854715202E-14","","3.5527136788005E-15"
"net_income","-55.4","-56.6","-18.4","-48.2","75.09999999999999","86.2","92"
"preferred_dividends","","","","","","",""
"net_income_available_to_shareholders","-55.4","-56.6","-18.4","-48.2","75.09999999999999","86.2","92"
"eps_basic","-1.42","-1.45","-0.43","-0.89","1.34","1.45","1.51"
"eps_diluted","-1.42","-1.45","-0.43","-0.89","1.05","1.43","1.49"
"shares_basic","39.027","39.027","45.031","54.924","56.169","59.681","59.681"
"shares_diluted","39.027","39.027","45.031","54.924","82.768","60.99","60.99"
"cash_and_equiv","4.8","3.7","927.8","1231.5","702.5","455","455"
"st_investments","","","","","","",""
"receivables","56","85.90000000000001","94.2","208","195","256.8","256.8"
"inventories","5.1","8.5","1.5","3.5","4.8","3.4","3.4"
"other_current_assets","4.3","8.300000000000001","10","10.6","89.40000000000001","438.1","438.1"
"total_current_assets","70.2","106.4","1033.5","1453.6","991.7","1153.3","1153.3"
"equity_and_other_investments","","","","30.5","47.1","62.2","62.2"
"ppe_gross","54.3","34.8","83.09999999999999","128.1","173.5","262.2","262.2"
"accumulated_depreciation","-28.1","-19.4","-31.4","-32.8","-51","-87.7","-87.7"
"ppe_net","26.2","15.4","51.7","95.3","122.5","174.5","174.5"
"intangible_assets","230.7","235.6","186.3","188.5","646.8","830.1","830.1"
"goodwill","391.8","421.3","477","537.7","735","1111.3","1111.3"
"other_lt_assets","19.8","5.3","30.8","37","10.9","56.4","56.4"
"total_assets","738.7","784","1779.3","2342.6","2554","3387.8","3387.8"
"accounts_payable","44.2","58.1","60.6","121.1","166.7","204.6","204.6"
"tax_payable","","1","1.4","1.6","4.4","",""
"current_accrued_liabilities","14.3","15.9","9.300000000000001","20.1","80","83.90000000000001","83.90000000000001"
"st_debt","4.8","5.3","0.9","","","",""
"current_deferred_revenue","4.6","5.6","7.8","15","16.3","20.6","20.6"
"current_deferred_tax_liability","","","","","","",""
"other_current_liabilities","29.9","44","19.4","21.2","-4.4","387.5","387.5"
"total_current_liabilities","97.8","129.9","99.40000000000001","183.8","268.3","704.4","704.4"
"lt_debt","548.7","635.1","1005.4","1738.5","1741.9","1750.2","1750.2"
"noncurrent_capital_leases","","","","17.9","18.1","18.8","18.8"
"pension_liabilities","","","","","","",""
"noncurrent_deferred_revenue","4.1","4.1","2.8","0.3","18.6","28.7","28.7"
"other_lt_liabilities","46.7","47.8","1.7","2.4000000000001","26.5","17.3","17.3"
"total_liabilities","697.3","816.9","1109.3","1942.9","2073.4","2519.4","2519.4"
"common_stock","","","","","","",""
"preferred_stock","","","","","","",""
"retained_earnings","-113.3","-182.4","-278.7","-325.3","-363.6","-346.7","-346.7"
"aoci","","","","","8.300000000000001","14.1","14.1"
"apic","","","738.3","619.2","702.6","985.9","985.9"
"treasury_stock","","","","-21.1","","",""
"other_equity","154.7","149.5","","-5.6843418860808E-14","","",""
"minority_interest_liability","","","210.4","126.9","133.3","215.1","215.1"
"total_equity","41.4","-32.9","670","399.7","480.6","868.4","868.4"
"total_liabilities_and_equity","738.7","784","1779.3","2342.6","2554","3387.8","3387.8"
"cfo_net_income","-55.4","-56.6","-111.4","-74","86.7","122.9","131"
"cfo_da","70.8","62.6","84.2","104.4","149.1","214.6","233.1"
"cfo_receivables","-16.6","-21","-19.3","-120.7","4.1","-52.7","-35.1"
"cfo_inventory","-1.8","-1.7","1.2","1.8","2.8","7.2","7.2"
"cfo_prepaid_expenses","0.6","-2.7","-1.8","-0.7","-1.5","-6.8","-15.4"
