"Company: ","Smith AO Corporation (AOS:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","82.93000000000001","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Building Products","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","12383","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","12189","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","1247.945","1151.156","1469.1","1530.7","1653.1","1689.2","2161.3","2312.1","2304.9","1375","1489.3","1710.5","1939.3","2153.8","2356","2536.5","2685.9","2996.7","3187.9","2992.7","2895.3","3538.9","3753.9","3852.8","3865.2"
"cogs","999.821","948.8150000000001","1169.34","1232","1355.1","1337.2","1697.4","1798.7","1807.4","980.1","1043.3","1197.9","1287.3","1380","1496.7","1526.7","1571.7","1764.3","1882.4","1812","1787.1","2228","2424.3","2368","2369.8"
"gross_profit","248.124","202.341","299.76","298.7","298","352","463.9","513.4","497.5","394.9","446","512.6","652","773.8","859.3","1009.8","1114.2","1232.4","1305.5","1180.7","1108.2","1310.9","1329.6","1484.8","1495.4"
"sga","153.695","145.742","206.169","206.2","235.8","251.8","324","363","357.4","291.8","328.7","372.8","450.5","524.5","572.1","610.7","662.5","722.8","753.8","715.6","660.3","701.4","670.9","727.4","732.4"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","6.932","6.956","0.282","0.2","","","","","","","","","","","","","","","","","","","","",""
"total_opex","160.627","152.698","206.451","206.4","235.8","251.8","324","363","357.4","291.8","328.7","372.8","450.5","524.5","572.1","610.7","662.5","722.8","753.8","715.6","660.3","701.4","670.9","727.4","732.4"
"operating_income","87.497","49.643","93.309","92.3","62.2","100.2","139.9","150.4","140.1","103.1","117.3","139.8","201.5","249.3","287.2","399.1","451.7","509.6","551.7","465.1","447.9","609.5","658.7","757.4","763"
"net_interest_income_normal","","","","","","","","-26.7","-19.2","-7.2","-6.9","-9.300000000000001","-9.199999999999999","-5.7","-5.7","-7.4","-7.3","-10.1","-8.4","-11","-7.3","-4.3","-9.4","-12","-9"
"other_nonoperating_income","-22.409","-27.157","-14.919","-13.3","-14.7","-31.5","-35.1","-23.8","-10.8","-4.1","-36","31","41.5","-7.2","5.2","10.8","18.1","21.3","14.5","18","3.3","20.4","-425.6","-11.9","0.9"
"pretax_income","65.08799999999999","22.486","78.39","79","47.5","68.7","104.8","99.90000000000001","110.1","91.8","74.40000000000001","161.5","233.8","236.4","286.7","402.5","462.5","520.8","557.8","472.1","443.9","625.6","223.7","733.5","754.9"
"income_tax","-23.432","-7.984","-27.045","-26.8","-12.1","-22.2","-28.6","-11.7","-27.9","-30.9","-17.3","-50.3","-71.2","-66.7","-78.90000000000001","-119.6","-136","-224.3","-113.6","-102.1","-99","-138.5","12","-176.9","-177.6"
"net_income_continuing","41.656","14.502","51.345","52.2","35.4","46.5","76.2","88.2","82.2","60.9","57.1","111.2","162.6","169.7","207.8","282.9","326.5","296.5","444.2","370","344.9","487.1","235.7","556.6","577.3"
"net_income_discontinued","-11.903","","","","","","0.3","","","29.1","54.4","194.5","-3.9","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","-8.300000000000001","0.2","","","","","","","","","","","","","",""
"other_income_statement_items","7.105427357601E-15","","","","","","1.4210854715202E-14","","-0.2999999999999799","-0.40000000000001","","","-2.8421709430404E-14","","2.8421709430404E-14","","","5.6843418860808E-14","5.6843418860808E-14","","","","","",""
"net_income","29.753","14.502","51.345","52.2","35.4","46.5","76.5","88.2","81.90000000000001","81.3","111.7","305.7","158.7","169.7","207.8","282.9","326.5","296.5","444.2","370","344.9","487.1","235.7","556.6","577.3"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","29.753","14.502","51.345","52.2","35.4","46.5","76.5","88.2","81.90000000000001","81.3","111.7","305.7","158.7","169.7","207.8","282.9","326.5","296.5","444.2","370","344.9","487.1","235.7","556.6","577.3"
"eps_basic","0.21","0.1","0.32","0.3","0.2","0.26","0.42","0.48","0.45","0.59","0.61","1.66","0.86","0.92","1.15","1.59","1.87","1.72","2.6","2.24","2.13","3.05","1.52","3.71","3.86"
"eps_diluted","0.21","0.1","0.31","0.29","0.2","0.26","0.41","0.48","0.45","0.59","0.61","1.64","0.86","0.92","1.14","1.58","1.85","1.7","2.58","2.22","2.12","3.02","1.51","3.69","3.86"
"shares_basic","140.377","141.889","162.013","174.188","175.675","178.228","182.437","183.364","180.368","137.157","182.973","184.476","184.79","184.236","180.587","177.622","174.713","172.666","170.589","165.45","161.531","159.907","154.786","149.953","149.953"
"shares_diluted","142.147","143.489","165.894","178.266","179.477","181.69","186.023","185.838","181.74","137.907","184.651","186.298","186.216","185.575","181.974","179.009","176.825","174.605","172.194","166.711","162.604","161.32","155.779","151.016","151.016"
"cash_and_equiv","15.287","20.759","32.847","18.7","25.1","24","25.8","37.2","29.4","76.3","118.9","463.4","266.9","380.7","319.4","323.6","330.4","346.6","259.7","374","573.1","443.3","391.2","339.9","339.9"
"st_investments","","","","","","","","","","","","162.4","196","105.3","222.5","321.6","424.2","473.4","385.3","177.4","116.5","188.1","90.59999999999999","23.5","23.5"
"receivables","169.117","209.871","215.481","236.7","281.6","278.8","378.7","415.1","363.5","275.6","313.3","368.4","425.4","458.7","475.4","501.4","518.7","592.7","647.3","589.5","585","634.4","581.2","596","596"
"inventories","169.63","194.706","200.351","247","233.5","225.4","297.3","261.8","282","110.5","146.8","168.4","163.4","193.4","208.3","222.9","251.1","297","304.7","303","300.1","447.7","516.4","497.4","497.4"
"other_current_assets","43.347","52.238","39.572","45.3","46","47.8","58.2","53.5","106.4","277.6","317","46.1","62.9","67.5","93.40000000000001","33.8","37.6","57.2","41.5","56.5","43.3","39.1","54.3","43.5","43.5"
"total_current_assets","397.381","477.574","488.251","547.7","586.2","576","760","767.6","781.3","740","896","1208.7","1114.6","1205.6","1319","1403.3","1562","1766.9","1638.5","1500.4","1618","1752.6","1633.7","1500.3","1500.3"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"ppe_gross","542.018","637.503","686.1799999999999","718.9","773.8","805.2","918.6","953.6","979.9","497.5","524.9","614","680.6","758.8","815.9","866.8","932.5","1060.1","1096.8","1203.8","1264.2","1375.7","1394.6","1455.9","1455.9"
"accumulated_depreciation","-259.183","-282.205","-323.45","-360.2","-415","-448.3","-491.4","-532.5","-561","-248.5","-266.5","-298.7","-334.9","-367.5","-388.2","-424.1","-470.6","-531.2","-556.8","-611.5","-681.3","-736.5","-774.1","-821.1","-821.1"
"ppe_net","282.835","355.298","362.73","358.7","358.8","356.9","427.2","421.1","418.9","249","258.4","315.3","345.7","391.3","427.7","442.7","461.9","528.9","540","592.3","582.9","639.2","620.5","634.8","634.8"
"intangible_assets","244.821","301.924","309.151","310.9","313.2","10.5","87.8","86.59999999999999","78.3","115.6","106.6","352.7","338.7","324.8","308.5","291","308.3","308.7","293.1","338.4","323.9","364.8","347.9","336.7","336.7"
"goodwill","","","","","","313","499.7","512.9","505.1","319.9","323.8","433.8","435.4","433.5","428.8","420.9","491.5","516.7","513","546","546.8","627.8","619.7","633.4","633.4"
"other_lt_assets","139.831","159.127","64.72499999999999","62.6","55.8","36.3","65.2","66.2","100.3","550","527.2","38.5","44.4","36.3","31.3","71.3","67.3","76.2","86.90000000000001","80.90000000000001","89.099999999999","90","110.5","108.7","108.7"
"total_assets","1064.868","1293.923","1224.857","1279.9","1314","1292.7","1839.9","1854.4","1883.9","1974.5","2112","2349","2278.8","2391.5","2515.3","2629.2","2891","3197.4","3071.5","3058","3160.7","3474.4","3332.3","3213.9","3213.9"
"accounts_payable","91.78","131.073","131.423","144.5","158.8","205.1","286.6","305.6","274.7","236.8","263","302.5","328.9","387.1","393.8","424.9","528.6","535","543.8","509.6","595.2","745.9","625.8","600.4","600.4"
"tax_payable","","","","","","","","3.4","6","6.5","5.7","","","","","","","","","","","","","",""
"current_accrued_liabilities","54.253","87.968","97.321","68.2","60.4","78.3","104.5","110.7","93.59999999999999","200.8","202.7","116","115.6","142.9","155.4","171.7","185.3","206.8","199.8","208.3","236.5","295.2","234.8","269.6","269.6"
"st_debt","11.129","16.552","11.671","105.4","8.6","6.9","6.9","15.6","17.5","21.1","18.6","18.6","18.6","14.2","13.7","12.9","7.2","7.5","","6.8","6.8","6.8","10","10","10"
"current_deferred_revenue","","","","","","","","","","","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","13.269","20.357","21.264","20.5","18.6","17.3","39.3","37.3","113.2","26.1","46.8","75.2","43.2","46.7","42.3","43.7","44.5","44.5","41.7","41.8","47.8","70.90000000000001","63.6","65.3","65.3"
"total_current_liabilities","170.431","255.95","261.679","338.6","246.4","307.6","437.3","472.6","505","491.3","536.8","512.3","506.3","590.9","605.2","653.2","765.6","793.8","785.3","766.5","886.3","1118.8","934.2","945.3","945.3"
"lt_debt","316.372","390.385","239.084","170.1","272.5","162.4","432.1","379.6","317.3","232.1","242.4","443","225.1","177.7","210.1","236.1","316.4","402.9","221.4","277.2","106.4","189.9","334.5","117.3","117.3"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","38.7","34.4","22.3","22.4","27.9","27.9"
"pension_liabilities","","","","","","","","55.4","279.4","248.3","236.5","151.1","200.7","120.7","142.7","134.2","109","48.1","49.4","27.8","13.6","15.9","9.9","10.5","10.5"
"noncurrent_deferred_revenue","67.81399999999999","62.154","7.512","27.9","11.6","","20.6","","","","","3.1","6.3","21","21.4","","","","","","","","","",""
"other_lt_liabilities","61.856","133.556","205.53","167.1","192.9","209.8","265.3","189","141.1","213","214.9","153.7","146.3","152.5","154.6","163.4","184.7","307.7","298.4","281","271.7","295.3","283.6","268.5","268.5"
"total_liabilities","616.473","842.045","713.8049999999999","703.7","723.4","679.8","1155.3","1096.6","1242.8","1184.7","1230.6","1263.2","1084.7","1062.8","1134","1186.9","1375.7","1552.5","1354.5","1391.2","1312.4","1642.2","1584.6","1369.5","1369.5"
"common_stock","67","67","67","67","67","67","66","66","66","79","78","77","149","149","148","296","296","296","296","295","295","295","295","295","295"
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","549.237","551.42","588.487","623.9","648.4","675.9","732.3","799","858.7","365.4","452.1","729.9","855.1","982.2","1135.5","1350.7","1593","1788.7","2102.8","2323.4","2509.6","2826.6","2885","3258.1","3258.1"
"aoci","-5.438","-6.858","-121.877","-97.2","-115.7","-136.4","-129.5","-99.3","-281.8","-230.9","-229.4","-300.9","-320.5","-259.1","-272","-313.4","-363.2","-299.5","-350.8","-348.3","-321.2","-331.4","-82.40000000000001","-84.2","-84.2"
"apic","53.521","54.785","73.526","73.90000000000001","70.8","65.90000000000001","71.40000000000001","76.7","79.2","636.9","655.7","652.5","580.5","589.7","600.1","469.3","477.6","486.5","496.7","509","520.4","545.2","555.9","578.2","578.2"
"treasury_stock","-216.366","-214.764","-96.015","-91.09999999999999","-79.5","-59","-55.3","-84.2","-80.7","-79.90000000000001","-74.59999999999999","-72.40000000000001","-69.59999999999999","-132.6","-230.5","-360.5","-488.1","-626.5","-827.2","-1112.7","-1155.9","-1503.4","-1905.7","-2202.5","-2202.5"
"other_equity","0.44100000000003","0.29500000000002","-0.06899999999996","-0.29999999999984","-0.39999999999986","-0.5","-0.29999999999995","-0.40000000000009","-0.30000000000007","0.19999999999993","-0.40000000000009","-0.29999999999995","-0.40000000000009","-0.5000000000002299","0.20000000000005","0.19999999999982","-2.2737367544323E-13","-0.29999999999973","-0.49999999999977","0.40000000000009","0.39999999999986","0.2000000000005","-0.09999999999990901","-0.20000000000027","-0.20000000000027"
"minority_interest_liability","","","","","","","","","","19.1","","","","","","","","","","","","","","",""
"total_equity","448.395","451.878","511.052","576.2","590.6","612.9","684.6","757.8","641.1","789.8","881.4","1085.8","1194.1","1328.7","1381.3","1442.3","1515.3","1644.9","1717","1666.8","1848.3","1832.2","1747.7","1844.4","1844.4"
"total_liabilities_and_equity","1064.868","1293.923","1224.857","1279.9","1314","1292.7","1839.9","1854.4","1883.9","1974.5","2112","2349","2278.8","2391.5","2515.3","2629.2","2891","3197.4","3071.5","3058","3160.7","3474.4","3332.3","3213.9","3213.9"
"cfo_net_income","41.656","14.502","51.345","52.2","35.4","46.5","76.2","88.2","81.90000000000001","60.5","57.1","111.2","162.6","169.7","207.8","282.9","326.5","296.5","444.2","370","344.9","487.1","235.7","556.6","577.3"
"cfo_da","45.059","47.076","50.693","52.1","53.9","52.8","60.9","67.5","66.3","38.3","40.8","47","54.6","59.7","59.8","63","65.09999999999999","70.09999999999999","71.90000000000001","78.3","80","77.90000000000001","76.90000000000001","78.3","78.7"
"cfo_receivables","10.278","","-1.35","-21.2","-44.9","7.6","-15.7","-36.5","","","-33.2","","-57","-32.3","-16.8","-25.9","-15.1","-75.8","-54.6","62.4","4.5","-25.5","42.5","-16.4",""
"cfo_inventory","-6.187","","-0.619","-45.2","12.9","12.1","-28.6","32.1","","","-32","","5","-28.5","-14.9","-14.7","-23.4","-37.5","-7.7","6.3","2.9","-109.5","-82.8","18.1",""
"cfo_prepaid_expenses","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_other_working_capital","-15.871","-11.492","12.469","-13.4","6.5","65.8","32.9","39.2","-41.6","23.2","18.9","-81.09999999999999","18.9","75","-9.5","37.5","84.09999999999999","-18.6","-15","-74.09999999999999","117.1","199.2","-141.6","11.1","-10.2"
"cfo_change_in_working_capital","-11.78","-11.492","10.5","-79.8","-25.5","85.5","-11.4","34.8","-41.6","23.2","-46.3","-81.09999999999999","-33.1","14.2","-41.2","-3.1","45.6","-131.9","-77.3","-5.4","124.5","64.2","-181.9","12.8","-10.2"
"cfo_deferred_tax","","","","","","","","","","","","","","","","","","81.8","","","","","-167.7","-3.6","2.9"
"cfo_stock_comp","","","","","","","","","","","","","","10.5","10.8","8.800000000000001","9.4","9.9","10.1","13.3","12.7","11.9","11.1","11.5","12.8"
"cfo_other_noncash_items","11.829","-0.258","2.629","4.4","2.8","1.9","15.7","","","140.9","73.2","-18.4","-40.3","25.5","26.8","0.10000000000002","","","","-5.6843418860808E-14","","","417.3","14.7","-4.5"
"cf_cfo","86.764","49.828","115.167","28.9","66.59999999999999","186.7","141.4","190.5","106.6","262.9","124.8","58.7","143.8","279.6","264","351.7","446.6","326.4","448.9","456.2","562.1","641.1","391.4","670.3","657"
"cfi_ppe_net","-40.516","-35.318","-42.472","-48.6","-48.4","-50.6","-68.2","-71.40000000000001","-66.09999999999999","-42.7","-53.5","-53.5","-69.90000000000001","-97.7","-86.09999999999999","-72.7","-80.7","-94.2","-85.2","-64.40000000000001","-56.8","-75.09999999999999","-70.3","-72.59999999999999","-83.90000000000001"
"cfi_acquisitions_net","","","","","","","","","","-69.40000000000001","-8.800000000000001","-421.1","-13.5","-4","","","-90.8","-43.1","","-107","","-207.6","-8","-16.8","-21.1"
"cfi_investment_net","","","","","","","12.2","","12","8.9","4.6","","-3.4","93.5","-119.9","-113.4","-128.7","-20.8","72.5","205.3","68.59999999999999","-67.2","86.40000000000001","65.3","36.3"
"cfi_intangibles_net","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfi_other","-1.439","-117.988","-23.381","-4.8","-2.3","-19.3","-340.7","","-7.105427357601E-15","-13.8","-8.800000000000001","600.2","-1.4210854715202E-14","3.5527136788005E-15","-2.8421709430404E-14","2.8421709430404E-14","-5.6843418860808E-14","-2.8421709430404E-14","3.5527136788005E-15","-7.105427357601E-15","3.5527136788005E-15","","-8.8817841970013E-15","-2.1316282072803E-14","-16.8"
"cf_cfi","-41.955","-153.306","-65.85299999999999","-53.4","-50.7","-69.90000000000001","-396.7","-71.40000000000001","-54.1","-117","-66.5","125.6","-86.8","-8.199999999999999","-206","-186.1","-300.2","-158.1","-12.7","33.9","11.8","-349.9","8.1","-24.1","-85.5"
"cff_common_stock_net","0.8159999999999999","1.407","133.234","2.6","3","12.9","8.300000000000001","-25.2","","","","-23.5","-22","-73.7","-103.8","-128.1","-135.2","-139.1","-202.6","-287.7","-56.7","-366.5","-403.5","-306.5","-327.9"
"cff_pfd_net","","","","","","","","","","","","","","","","","","","","","","","","",""
"cff_debt_net","-33.379","79.43600000000001","-156.182","24.6","5.7","-111.8","268.9","-61","-40.1","-91.09999999999999","5","200.2","-218.8","-51.5","34.2","28.1","74.09999999999999","86.5","-189","62.6","-170.8","83.5","150.6","-218.1","-221.2"
"cff_dividend_paid","-11.72","-12.319","-14.278","-16.8","-18.2","-19","-20.1","-21.5","-22.3","-21.4","-24.7","-27.7","-33.2","-42.6","-54.4","-67.8","-84.2","-96.90000000000001","-130.1","-149.2","-158.7","-170.1","-177.2","-183.5","-185.4"
"cff_other","-7.105427357601E-15","","-2.1316282072803E-14","-1.7763568394003E-15","","-1.4210854715202E-14","5.6843418860808E-14","","2.1","7.6","4","11.2","20.5","10.2","4.7","6.4","5.7","-2.6","-1.4","-1.5000000000001","11.4","32.1","-0.69999999999999","23.4","26.7"
"cf_cff","-44.283","68.524","-37.226","10.4","-9.5","-117.9","257.1","-107.7","-60.3","-104.9","-15.7","160.2","-253.5","-157.6","-119.3","-161.4","-139.6","-152.1","-523.1","-375.8","-374.8","-421","-430.8","-684.7","-707.8"
"ebitda","132.556","96.71899999999999","144.002","144.4","116.1","153","200.8","217.9","206.4","141.4","158.1","186.8","256.1","309","347","462.1","516.8","579.7","623.6","543.4","527.9","687.4","735.6","835.7","841.7"
"capex","-40.516","-35.318","-42.472","-48.6","-48.4","-50.6","-68.2","-71.40000000000001","-66.09999999999999","-42.7","-53.5","-53.5","-69.90000000000001","-97.7","-86.09999999999999","-72.7","-80.7","-94.2","-85.2","-64.40000000000001","-56.8","-75.09999999999999","-70.3","-72.59999999999999","-83.90000000000001"
"fcf","46.248","14.51","72.69499999999999","-19.7","18.2","136.1","73.2","119.1","40.5","220.2","71.3","5.2","73.90000000000001","181.9","177.9","279","365.9","232.2","363.7","391.8","505.3","566","321.1","597.7","573.1"
"book_value","448.395","451.878","511.052","576.2","590.6","612.9","684.6","757.8","641.1","789.8","881.4","1085.8","1194.1","1328.7","1381.3","1442.3","1515.3","1644.9","1717","1666.8","1848.3","1832.2","1747.7","1844.4","1881.8"
"tangible_book_value","203.574","149.954","201.901","265.3","277.4","289.4","97.09999999999999","158.3","57.7","354.3","451","299.3","420","570.4","644","730.4","715.5","819.5","910.9","782.4","977.6","839.6","780.1","874.3","896.8"
"roa","0.03","0.01","0.04","0.04","0.03","0.04","0.05","0.05","0.04","0.04","0.05","0.14","0.07000000000000001","0.07000000000000001","0.08","0.11","0.12","0.1","0.14","0.12","0.11","0.15","0.07000000000000001","0.17","0.18"
"roe","0.07000000000000001","0.03","0.11","0.1","0.06","0.08","0.12","0.12","0.12","0.11","0.13","0.31","0.14","0.13","0.15","0.2","0.22","0.19","0.26","0.22","0.2","0.26","0.13","0.31","0.31"
"roic","0.04","0.02","0.06","0.06","0.04","0.06","0.08","0.08","0.08","0.08","0.1","0.23","0.11","0.11","0.13","0.17","0.18","0.15","0.22","0.19","0.17","0.24","0.11","0.27","0.28"
"roce","0.1","0.05","0.09","0.09","0.06","0.1","0.12","0.11","0.1","0.07000000000000001","0.08","0.08","0.11","0.14","0.15","0.2","0.22","0.22","0.23","0.2","0.2","0.26","0.28","0.32","0.32"
"rotce","0.13","0.07000000000000001","0.13","0.13","0.08","0.14","0.19","0.19","0.17","0.11","0.11","0.13","0.19","0.24","0.26","0.32","0.35","0.35","0.36","0.32","0.32","0.44","0.47","0.55","0.54"
