"Company: ","Southwest Airlines Company (LUV:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","28.51","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Passenger Airlines","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","17050","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","14512","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","5650","5555.174","5522","5937","6530","7584","9086","9861","11023","10350","12104","15658","17088","17699","18605","19820","20289","21146","21965","22428","9048","15790","23814","26091","26714"
"cogs","2966.015","3150.046","3233","3353","3687","4210","5238","2590","3618","4667","9690","12952","14243","14209","14049","13423","14064","14892","15907","16445","10938","11675","19062","21868","22536"
"gross_profit","2683.985","2405.128","2289","2584","2843","3374","3848","7271","7405","5683","2414","2706","2845","3490","4556","6397","6225","6254","6058","5983","-1890","4115","4752","4223","4178"
"sga","2145.123","1856.288","2579","2827","3032","3319","3705","3213","3340","3468","3704","4371","","","","","","","","","","","","",""
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","-483.138","-82.282","3134","-622","3531","-670","-791","1835","1984","1953","-2286","-2492","2039","2126","2205","2242","2703","2847","2852","3026","1926","2394","3735","3999","4063"
"total_opex","1661.985","1774.006","5713","2205","6563","2649","2914","5048","5324","5421","1418","1879","2039","2126","2205","2242","2703","2847","2852","3026","1926","2394","3735","3999","4063"
"operating_income","1022","631.122","-3424","379","-3720","725","934","2223","2081","262","996","827","806","1364","2351","4155","3522","3407","3206","2957","-3816","1721","1017","224","115"
