"Company: ","The Allstate Corporation (ALL:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","161.34","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","42580","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","49668","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"premiums_earned","24076","24427","25654","26981","28061","29088","29333","29099","28862","26194","28125","28180","28978","29970","31086","32467","33582","34678","36513","37221","38167","44052","47736","52516","53870"
"net_investment_income","4633","4790","4849","4972","5284","5746","6177","6435","5622","4444","3101","3375","3777","3728","3214","2740","2739","3251","3240","1301","376","2057","1616","305","408"
"fees_and_other_income","425","-352","-924","196","591","549","286","1235","-5090","1375","174","1099","560","809","939","446","1078","1478","62","3019","3366","4492","2059","4273","4289"
"revenue","29134","28865","29579","32149","33936","35383","35796","36769","29394","32013","31400","32654","33315","34507","35239","35653","37399","39407","39815","41541","41909","50601","51411","57094","58567"
"sga","","","","","","","","","","","","3468","","","","","","","468","114","","","116","9","60"
"net_policyholder_claims_expense","1605","1671","1770","1851","1618","1615","1570","1589","1612","1617","20766","21922","20302","19828","21193","22837","24078","23770","24751","24577","22550","30378","38306","42141","41347"
"policy_acquisition_expense","","","","","","","","","","","3807","3971","3884","4002","4135","4364","4550","4784","5222","5353","5477","6236","6634","7278","7473"
"interest_expense_insurance","229","129","278","275","308","330","357","333","351","392","367","367","373","367","322","292","295","335","332","327","318","330","335","379","390"
"operating_income","3047","1285","1540","3571","4586","2088","7178","6653","-3025","1248","1100","959","3306","3396","4236","3282","2754","4549","2628","5443","6802","6466","-1830","-348","1522"
"pretax_income","3047","1285","1540","3571","4586","2088","7178","6653","-3025","1248","1100","959","3306","3396","4236","3282","2754","4549","2628","5443","6802","6466","-1830","-348","1522"
"income_tax","-795","-73","-65","-846","-1230","-323","-2185","-2017","1346","-394","-189","-172","-1000","-1116","-1386","-1111","-877","-995","-468","-1116","-1373","-1292","488","135","-216"
"net_income_continuing","2252","1212","1475","2725","3356","1765","4993","4636","-1679","854","911","787","2306","2280","2850","2171","1877","3554","2160","4327","5429","5174","-1342","-213","1306"
"net_income_discontinued","","","","","-24","-13","-93","","","","","","","","","","","","","520","147","-3593","","",""
"income_allocated_to_minority_interest","41","45","10","5","","","","","","","","","","","","","","","","","","33","53","25","44"
"net_income","2211","1158","1134","2705","3181","1765","4993","4636","-1679","854","911","787","2306","2280","2850","2171","1877","3554","2160","4847","5576","1614","-1289","-188","1350"
"preferred_dividends","","","","","","","","","","","","","","17","104","116","116","116","148","169","115","114","105","128","131"
"net_income_available_to_shareholders","2211","1158","1134","2705","3181","1765","4993","4636","-1679","854","911","787","2306","2263","2746","2055","1761","3438","2012","4678","5461","1500","-1394","-316","1219"
"eps_basic","2.97","1.61","1.6","3.85","4.57","2.67","7.89","7.83","-3.06","1.58","1.69","1.51","4.71","4.87","6.37","5.12","4.72","9.5","5.78","14.25","17.53","5.09","-5.14","-1.2","4.63"
