"Company: ","The Boeing Company (BA:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","175.1","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Aerospace & Defense","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","109946","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","149294","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","51321","58198","54061","50256","52457","53621","61530","66387","60909","68281","64306","68735","81698","86623","90762","96114","93496","94005","101127","76559","58158","62286","66608","77794","76442"
"cogs","43712","48778","45976","44150","45025","44984","50437","53402","50352","56540","51843","55888","68665","73268","76752","82088","79026","76612","81490","72093","63843","59237","63078","70070","68765"
"gross_profit","7609","9420","8085","6106","7432","8637","11093","12985","10557","11741","12463","12847","13033","13355","14010","14026","14470","17393","19637","4466","-5685","3049","3530","7724","7677"
"sga","2651","2767","2981","3200","3657","4228","4171","3531","3084","3364","3644","3408","3717","3956","3767","3525","3613","4095","4567","3909","4817","4157","4187","5168","5025"
"rnd","1441","1936","1639","1651","1879","2205","3257","3850","3768","6506","4121","3918","3298","3071","3047","3331","4626","3179","3269","3219","2476","2249","2852","3377","3504"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","-132","800","47","-21","-91","","425","-188","-241","-249","","","","","","","","","","","","","","",""
"total_opex","3960","5503","4667","4830","5445","6433","7853","7193","6611","9621","7765","7326","7015","7027","6814","6856","8239","7274","7836","7128","7293","6406","7039","8545","8529"
"operating_income","3649","3917","3418","1276","1987","2204","3240","5792","3946","2120","4698","5521","6018","6328","7196","7170","6231","10119","11801","-2662","-12978","-3357","-3509","-821","-852"
"net_interest_income_normal","-445","-650","-320","-358","-335","-294","-240","-196","-202","-339","-516","-477","-442","-386","-333","-275","-306","-360","-475","-722","-2156","-2714","-2561","-2459","-2379"
"other_nonoperating_income","-205","297","82","-418","308","909","194","522","251","-50","325","349","334","290","274","260","-142","348","278","1125","658","1038","1048","1275","1344"
"pretax_income","2999","3564","3180","500","1960","2819","3194","6118","3995","1731","4507","5393","5910","6232","7137","7155","5783","10107","11604","-2259","-14476","-5033","-5022","-2005","-1887"
"income_tax","-871","-738","-861","185","-140","-257","-988","-2060","-1341","-396","-1196","-1382","-2007","-1646","-1691","-1979","-749","-1649","-1144","1623","2535","743","-31","-237","-285"
"net_income_continuing","2128","2826","2319","685","1820","2562","2206","4058","2654","1335","3311","4011","3903","4586","5446","5176","5034","8458","10460","-636","-11941","-4290","-5053","-2242","-2172"
"net_income_discontinued","","","","33","52","10","9","16","18","-23","-4","7","-3","-1","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","68","88","118","20","21"
"other_income_statement_items","","1","-1827","","","","","","","","","","","","","","","","","","-68","","","",""
"net_income","2128","2827","492","718","1872","2572","2215","4074","2672","1312","3307","4018","3900","4585","5446","5176","5034","8458","10460","-636","-11941","-4202","-4935","-2222","-2151"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","2128","2827","492","718","1872","2572","2215","4074","2672","1312","3307","4018","3900","4585","5446","5176","5034","8458","10460","-636","-11941","-4202","-4935","-2222","-2151"
"eps_basic","2.48","3.46","0.62","0.9","2.33","3.27","2.89","5.38","3.7","1.86","4.49","5.39","5.15","6.03","7.47","7.52","7.92","14.03","18.05","-1.12","-20.88","-7.15","-8.300000000000001","-3.67","-3.55"
"eps_diluted","2.44","3.41","0.61","0.89","2.3","3.2","2.85","5.28","3.67","1.84","4.45","5.34","5.11","5.96","7.38","7.44","7.83","13.85","17.85","-1.12","-20.88","-7.15","-8.300000000000001","-3.67","-3.55"
"shares_basic","859.5","816.2","799","805.4","807","788.5","771","759.3","722.8","709.6","735","744.1","755.7","758.9","727.6","686.9","635.5","602.5","579.2","565.4","568.6","587.6","594.9","605.8","605.8"
"shares_diluted","871.3","829.3","808.4","808.9","813","802.9","787.6","772.5","729","713.4","741.2","750.6","761.5","767.6","736.7","695","642.8","610","585.5","565.4","568.6","587.6","594.9","605.8","605.8"
"cash_and_equiv","1010","633","2333","4633","3204","5412","6118","7042","3268","9215","5359","10049","10341","9088","11733","11302","8801","8813","7637","9485","7752","8052","14614","12691","12691"
"st_investments","","","","","319","554","268","2266","11","2008","5158","1223","3217","6170","1359","750","1228","1179","927","545","17838","8192","2606","3274","3274"
"receivables","5519","5156","5007","4665","4653","5246","5285","5740","5602","5785","5422","6269","5972","6890","7919","8925","9260","11397","14364","12471","10051","11378","11305","11065","11065"
"inventories","6852","7559","6184","5338","6508","7878","8105","9563","15612","16933","24317","32240","37751","42912","46756","47257","43199","61388","62567","76622","81715","78823","78151","79741","79741"
"other_current_assets","3132","3497","3331","4655","2677","2816","3207","2669","1471","1334","316","29","28","14","","","","2417","2335","3106","4286","2221","2847","2504","2504"
"total_current_assets","16513","16845","16855","19291","17361","21906","22983","27280","25964","35275","40572","49810","57309","65074","67767","68234","62488","85194","87830","102229","121642","108666","109523","109275","109275"
"equity_and_other_investments","","","","646","3050","2852","4085","4111","1328","1030","1111","1043","1180","1204","1154","1284","1317","1260","1087","1092","1016","975","983","1035","1035"
"ppe_gross","20970","20828","21484","21548","21405","19692","19310","20180","21042","21579","22253","23306","24305","25294","26696","28362","29690","30313","31213","31844","32327","31456","33442","33766","33766"
"accumulated_depreciation","-12156","-12369","-12719","-12951","-12962","-11272","-11635","-11915","-12280","-12795","-13322","-13993","-14645","-15070","-15689","-16286","-16883","-17641","-18568","-19342","-20507","-20538","-21442","-22245","-22245"
"ppe_net","8814","8459","8765","8597","8443","8420","7675","8265","8762","8784","8931","9313","9660","10224","11007","12076","12807","12672","12645","12502","11820","10918","12000","11521","11521"
"intangible_assets","5214","1320","1128","1035","955","875","1698","2093","2685","2877","2979","3044","3111","3052","2869","2657","2540","2573","3429","3338","2843","2562","2311","2094","2094"
"goodwill","","5127","2760","1913","1948","1924","3047","3081","3647","4319","4937","4945","5035","5043","5119","5126","5324","5559","7840","8060","8081","8068","8057","8093","8093"
"other_lt_assets","12136","17227","22834","21504","24467","24019","12306","14156","11393","9768","10035","11831","12601","8066","5005","5031","5521","5104","4528","6404","6734","7363","4226","4994","4994"
"total_assets","42677","48978","52342","52986","56224","59996","51794","58986","53779","62053","68565","79986","88896","92663","92921","94408","89997","112362","117359","133625","152136","138552","137100","137012","137012"
"accounts_payable","12312","14237","13739","13514","14869","16513","16201","16676","5871","7096","7715","8406","9394","9498","10667","10800","11190","12202","12916","15553","12928","9261","10200","11964","11964"
"tax_payable","1866","909","1134","277","522","556","670","253","41","182","607","","","","119","262","89","380","485","670","43","","","",""
"current_accrued_liabilities","","","","","","","","","11564","12822","13802","6192","6472","7071","6424","6650","6631","4403","4834","13524","12826","9600","10400","10142","10142"
"st_debt","1232","1399","1814","1144","1321","1189","1381","762","560","707","948","2256","1340","1495","865","1181","327","1283","3133","7269","1628","1235","5125","5127","5127"
"current_deferred_revenue","","","","","","","","","","","","15496","16672","20027","23175","24364","23869","48042","50676","51551","50488","52980","53081","56328","56328"
"current_deferred_tax_liability","","","","","","","","","","","","2780","4485","6267","","","","","","","","","","",""
"other_current_liabilities","3517","4021","3123","3464","6384","9868","11449","13847","12737","12076","12323","6047","6523","7060","6919","7102","7971","8286","9489","8422","9034","8587","10905","11893","11893"
