"Company: ","The Clorox Company (CLX:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","134.37","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Household Products","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","16904","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","19165","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-06","2001-06","2002-06","2003-06","2004-06","2005-06","2006-06","2007-06","2008-06","2009-06","2010-06","2011-06","2012-06","2013-06","2014-06","2015-06","2016-06","2017-06","2018-06","2019-06","2020-06","2021-06","2022-06","2023-06","TTM"
"revenue","3989","3903","4022","3986","4162","4388","4644","4847","5273","5450","5234","5231","5468","5533","5514","5655","5761","5973","6124","6214","6721","7341","7107","7389","7209"
"cogs","2250","2319","2279","2171","2331","2493","2685","2756","3098","3104","2915","2958","3164","3142","3158","3190","3163","3302","3449","3486","3658","4142","4562","4481","4183"
"gross_profit","1739","1584","1743","1815","1831","1895","1959","2091","2175","2346","2319","2273","2304","2391","2356","2465","2598","2671","2675","2728","3063","3199","2545","2908","3026"
"sga","896","847","917","969","963","986","1081","1116","1176","1214","1228","1237","1280","1291","1254","1321","1393","1409","1407","1468","1644","1794","1663","1917","2005"
"rnd","63","67","66","75","84","88","99","108","111","114","118","115","121","130","125","136","141","135","132","136","145","149","132","138","131"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","55","60","","11","","","","","","","","","3","6","8","8","8","10","11","17","13","31","31","30","30"
"total_opex","1014","974","983","1055","1047","1074","1180","1224","1287","1328","1346","1352","1404","1427","1387","1465","1542","1554","1550","1621","1802","1974","1826","2085","2166"
"operating_income","725","610","760","760","784","821","779","867","888","1018","973","921","900","964","969","1000","1056","1117","1125","1107","1261","1225","719","823","860"
"net_interest_income_normal","","","","","","","","","-156","-161","-139","-120","-122","-119","-100","-96","-83","-84","-79","-94","-97","-94","-101","-74","-74"
"other_nonoperating_income","-103","-123","-199","-42","-32","-92","-126","-124","-39","-46","-29","-238","13","7","15","17","10","","8","11","21","-231","-11","-511","-426"
"pretax_income","622","487","561","718","752","729","653","743","693","811","805","563","791","852","884","921","983","1033","1054","1024","1185","900","607","238","360"
"income_tax","-228","-162","-204","-257","-262","-214","-210","-247","-232","-274","-279","-276","-248","-279","-305","-315","-335","-330","-231","-204","-246","-181","-136","-77","-108"
"net_income_continuing","394","325","357","461","490","515","443","496","461","537","526","287","543","573","579","606","648","703","823","820","939","719","471","161","252"
"net_income_discontinued","","","-35","32","59","579","1","5","","","77","270","-2","-1","-21","-26","","-2","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","-9","-9","-12","-12"
"other_income_statement_items","","-2","","","","2","","","","","","","","","","","","","","","","","","",""
"net_income","394","323","322","493","549","1096","444","501","461","537","603","557","541","572","558","580","648","701","823","820","939","710","462","149","240"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","394","323","322","493","549","1096","444","501","461","537","603","557","541","572","558","580","648","701","823","820","939","710","462","149","240"
"eps_basic","1.67","1.37","1.39","2.26","2.59","6.2","2.95","3.31","3.3","3.82","4.28","4.06","4.14","4.37","4.31","4.45","5.01","5.43","6.37","6.42","7.46","5.66","3.75","1.21","1.94"
"eps_diluted","1.64","1.35","1.37","2.23","2.56","6.11","2.9","3.26","3.24","3.79","4.24","4.02","4.09","4.3","4.23","4.37","4.92","5.33","6.26","6.32","7.36","5.58","3.73","1.2","1.93"
"shares_basic","236.108","236.149","231.849","218.174","211.683","176.586","150.545","151.445","139.633","139.015","140.272","136.699","130.852","131.075","129.558","130.31","129.472","128.953","129.293","127.734","125.828","125.57","123.113","123.589","123.589"
"shares_diluted","239.614","239.483","234.704","220.692","214.371","179.176","153.001","153.935","142.004","140.169","141.534","138.101","132.31","132.969","131.742","132.776","131.717","131.566","131.581","129.792","127.671","127.299","123.906","124.181","124.181"
"cash_and_equiv","254","251","177","172","232","293","192","182","214","206","87","259","267","299","329","382","401","418","131","111","871","319","183","367","367"
"st_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"receivables","624","514","481","463","460","411","435","460","505","486","540","525","576","580","546","519","569","565","600","631","648","604","681","688","688"
"inventories","376","281","252","264","301","323","292","309","384","366","332","382","384","394","386","385","443","459","506","512","454","752","755","696","696"
"other_current_assets","200","57","134","52","50","63","88","81","150","122","530","113","149","147","134","143","72","72","74","51","47","154","106","77","77"
