"Company: ","The Mosaic Company (MOS:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","29.36","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Chemicals","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","9355","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","12240","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","1999-12","2000-12","2001-12","2002-12","2003-12","2005-05","2006-05","2007-05","2008-05","2009-05","2010-05","2011-05","2012-05","2013-05","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","2282.9","2095.9","1958.7","2057.4","2190.6","4396.7","5305.8","5773.7","9812.6","10298","6759.1","9937.799999999999","11107.8","9974.1","9055.799999999999","8895.299999999999","7162.8","7409.4","9587.299999999999","8906.299999999999","8681.700000000001","12357.4","19125.2","13696.1","12771.2"
"cogs","1611","1767.2","1769.8","1794.4","2009.4","3871.2","4668.4","4847.6","6652.1","7531.3","5065.8","6816","8022.8","7213.9","7129.2","7177.4","6352.8","6566.6","8088.9","8009","7616.8","9157.1","13369.4","11485.5","10831.8"
"gross_profit","671.9","328.7","188.9","263","181.2","525.5","637.4","926.1","3160.5","2766.7","1693.3","3121.8","3085","2760.2","1926.6","1717.9","810","842.8","1498.4","897.3","1064.9","3200.3","5755.8","2210.6","1939.4"
"sga","127.8","102.7","81.8","80.7","79.59999999999999","207","241.3","309.8","323.8","321.4","360.3","372.5","410.1","427.3","382.4","361.2","304.2","301.3","341.1","354.1","371.5","430.5","498","500.5","479.6"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","232.5","-1.2","","","-31.3","","2.7","2.1","30","44.4","","85.09999999999999","63.8","123.3","123.4","77.90000000000001","186.8","75.8","229","176","280.5","143.2","472.5","372","493.4"
"total_opex","360.3","101.5","81.8","80.7","48.3","207","244","311.9","353.8","365.8","360.3","457.6","473.9","550.6","505.8","439.1","491","377.1","570.1","530.1","652","573.7","970.5","872.5","973"
"operating_income","311.6","227.2","107.1","182.3","132.9","318.5","393.4","614.2","2806.7","2400.9","1333","2664.2","2611.1","2209.6","1420.8","1278.8","319","465.7","928.3","367.2","412.9","2626.6","4785.3","1338.1","966.4"
"net_interest_income_normal","","","","","","","","","-90.5","-43.3","-49.6","-5.1","18.7","18.8","-107.6","-97.8","-112.4","-138.1","-166.1","-182.9","-180.6","-169.1","-137.8","-129.4","-136.3"
"other_nonoperating_income","-702.4","-96.09999999999999","-137.8","-165.4","-207","-103.6","-553.5","-108.5","-33.8","548.1","-93.7","612.2","-0.9","-13.9","-95.90000000000001","-77.7","35.8","46.4","-210.7","-1440.4","-51.4","-232.7","-5","117.2","-25"
"pretax_income","-390.8","131.1","-30.7","16.9","-74.09999999999999","214.9","-160.1","505.7","2682.4","2905.7","1189.7","3271.3","2628.9","2214.5","1217.3","1103.3","242.4","374","551.5","-1256.1","180.9","2224.8","4642.5","1325.9","805.1"
"income_tax","-141.3","-46.8","10.4","-29.8","36.5","-98.3","-5.3","-123.4","-714.9","-649.3","-347.3","-752.8","-711.4","-341","-184.7","-99.09999999999999","74.2","-494.9","-77.09999999999999","224.7","578.5","-597.7","-1224.3","-177","-64.90000000000001"
"net_income_continuing","-532.1","84.3","-20.3","-12.9","-37.6","116.6","-165.4","382.3","1967.5","2256.4","842.4","2518.5","1917.5","1873.5","1032.6","1004.2","316.6","-120.9","474.4","-1031.4","759.4","1627.1","3418.2","1148.9","740.2"
"net_income_discontinued","-234.2","-429.3","","-96.40000000000001","-92.90000000000001","","","","","","","","","","","","","","","","","","","",""
