"Company: ","eBay Inc (EBAY:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","53.95","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Internet & Direct Marketing Retail","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","27113","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","25174","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","431.424","748.821","1214.1","2165.096","3271.309","4552.401","5969.741","7672.329","8541.261","8727.361999999999","9156","11652","14072","8257","8790","8592","9298","9927","8650","7429","8894","10420","9795","10112","10158"
"cogs","51.695","134.816","213.876","416.058","614.415","818.104","1256.792","1762.972","2228.069","2479.762","2564","3461","4216","1492","1663","1771","2004","2221","2023","1585","1797","2650","2680","2833","2833"
"gross_profit","379.729","614.005","1000.224","1749.038","2656.894","3734.297","4712.949","5909.357","6313.192","6247.6","6592","8191","9856","6765","7127","6821","7294","7706","6627","5844","7097","7770","7115","7279","7325"
"sga","239.794","359.258","521.4349999999999","870.268","1291.078","1835.458","2598.22","3081.408","2880.422","3304.066","3048","3799","4480","3024","3331","3389","3590","3908","3555","2854","3076","3091","3099","3413","3384"
"rnd","55.863","75.288","104.636","159.315","240.647","328.191","494.693","619.727","725.6","803.0700000000001","908","1235","1573","915","983","923","1114","1224","1051","930","1028","1325","1330","1544","1543"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","47.528","39.033","19.956","90.214","65.92700000000001","128.941","197.08","1595.042","582.369","645.511","582","784","915","372","337","312","265","310","269","290","357","431","336","381","384"
"total_opex","343.185","473.579","646.027","1119.797","1597.652","2292.59","3289.993","5296.177","4188.391","4752.647","4538","5818","6968","4311","4651","4624","4969","5442","4875","4074","4461","4847","4765","5338","5311"
"operating_income","36.544","140.426","354.197","629.241","1059.242","1441.707","1422.956","613.1799999999999","2124.801","1494.953","2054","2373","2888","2454","2476","2197","2325","2264","1752","1770","2636","2923","2350","1941","2014"
"net_interest_income_normal","","","","","","","","","107.882","1422.385","82","86","71","7","16","-47","-100","-115","-166","-199","-266","-250","-162","-59","-38"
"other_nonoperating_income","44.473","22.517","41.64","32.259","68.988","107.67","124.105","137.671","-49.119","-38.187","-38","1451","125","110","23","256","1426","126","663","81","975","-2275","-3789","1825","1537"
"pretax_income","81.017","162.943","395.837","661.5","1128.23","1549.377","1547.061","750.851","2183.564","2879.151","2098","3910","3084","2571","2515","2406","3651","2275","2249","1652","3345","398","-1601","3707","3513"
"income_tax","-32.725","-80.009","-145.946","-206.738","-343.885","-467.285","-421.418","-402.6","-404.09","-490.054","-297","-681","-475","-504","-3380","-459","3634","-3288","-121","-219","-858","-146","327","-932","-868"
"net_income_continuing","48.292","82.934","249.891","454.762","784.345","1082.092","1125.643","348.251","1779.474","2389.097","1801","3229","2609","2067","-865","1947","7285","-1013","2128","1433","2487","252","-1274","2775","2645"
"net_income_discontinued","","","","","","","","","","","","","","789","911","-222","-19","-4","402","353","3180","13356","5","-8","-7"
"income_allocated_to_minority_interest","3.062","7.514","-2.296","-7.578","-6.122","-0.049","-0.004","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","-3.062","-1.4210854715202E-14","2.296","-5.413","-1.1368683772162E-13","","-2.2737367544323E-13","","","4.5474735088646E-13","","","","","","","","","","","","","","",""
"net_income","48.292","90.44799999999999","249.891","441.771","778.223","1082.043","1125.639","348.251","1779.474","2389.097","1801","3229","2609","2856","46","1725","7266","-1017","2530","1786","5667","13608","-1269","2767","2638"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","48.292","90.44799999999999","249.891","441.771","778.223","1082.043","1125.639","348.251","1779.474","2389.097","1801","3229","2609","2856","46","1725","7266","-1017","2530","1786","5667","13608","-1269","2767","2638"
"eps_basic","0.05","0.09","0.11","0.35","0.3","0.79","0.8","0.26","1.37","1.85","1.38","2.5","2.02","2.2","0.04","1.43","6.41","-0.95","2.58","2.1","7.98","20.87","-2.27","5.22","5.04"
"eps_diluted","0.04","0.08","0.11","0.34","0.29","0.78","0.79","0.25","1.36","1.83","1.36","2.46","1.99","2.18","0.04","1.42","6.35","-0.95","2.55","2.09","7.89","20.54","-2.27","5.19","5.02"
"shares_basic","1007.104","1075.884","2299.968","1276.576","2638.916","1361.708","1399.251","1358.797","1303.454","1289.848","1306","1293","1292","1295","1251","1208","1133","1064","980","849","710","652","558","530","530"
"shares_diluted","1121.384","1122.38","2342.56","1313.314","2735.44","1393.875","1425.472","1376.174","1312.608","1304.981","1327","1313","1313","1313","1251","1220","1144","1064","991","856","718","663","558","533","533"
